expt,subject_id,condition,median_rt
Experiment1,Q30,Same-scene,1.072144
Experiment1,Q22,Same-scene,0.8959961
Experiment1,Q27,Same-scene,1.1835025
Experiment1,Q19,Same-scene,1.043945
Experiment1,Q35,Same-scene,1.016327
Experiment1,Q14,Same-scene,1.09729
Experiment1,Q28,Same-scene,1.0791015
Experiment1,Q31,Same-scene,1.0929565
Experiment1,Q21,Same-scene,1.204102
Experiment1,Q18_2,Same-scene,0.8630066
Experiment1,member003_ds,Same-scene,0.7935791
Experiment1,Q38_2,Same-scene,1.002014
Experiment1,Q16_2,Same-scene,1.016174
Experiment1,member006_ds,Same-scene,1.086121
Experiment1,member001_ds,Same-scene,0.93991085
Experiment1,member010_ds,Same-scene,0.9745483
Experiment1,member015_ds,Same-scene,0.97457885
Experiment1,member014_ds,Same-scene,1.0927735
Experiment1,Q30,Neutral,1.141663
Experiment1,Q22,Neutral,0.97235105
Experiment1,Q27,Neutral,1.099915
Experiment1,Q19,Neutral,1.057983
Experiment1,Q35,Neutral,1.030273
Experiment1,Q14,Neutral,1.180664
Experiment1,Q28,Neutral,1.100037
Experiment1,Q31,Neutral,1.1280215
Experiment1,Q21,Neutral,1.120819
Experiment1,Q18_2,Neutral,0.90496825
Experiment1,member003_ds,Neutral,0.9612427
Experiment1,Q38_2,Neutral,1.002563
Experiment1,Q16_2,Neutral,1.086243
Experiment1,member006_ds,Neutral,1.1142885
Experiment1,member001_ds,Neutral,1.043396
Experiment1,member010_ds,Neutral,0.9746399
Experiment1,member015_ds,Neutral,1.058105
Experiment1,member014_ds,Neutral,1.176575
Experiment1,Q30,Different-scene,1.239014
Experiment1,Q22,Different-scene,1.0417175
Experiment1,Q27,Different-scene,1.211243
Experiment1,Q19,Different-scene,1.044373
Experiment1,Q35,Different-scene,1.058289
Experiment1,Q14,Different-scene,1.090576
Experiment1,Q28,Different-scene,1.114075
Experiment1,Q31,Different-scene,1.113586
Experiment1,Q21,Different-scene,1.238953
Experiment1,Q18_2,Different-scene,0.9885864
Experiment1,member003_ds,Different-scene,1.065094
Experiment1,Q38_2,Different-scene,1.0374455
Experiment1,Q16_2,Different-scene,1.19043
Experiment1,member006_ds,Different-scene,1.211121
Experiment1,member001_ds,Different-scene,0.9747009
Experiment1,member010_ds,Different-scene,1.0303955
Experiment1,member015_ds,Different-scene,1.14859
Experiment1,member014_ds,Different-scene,1.2463075
