expt,subject_id,condition,median_rt
Experiment2,member010_pilot,Same-scene,0.9885864
Experiment2,member008_pilot,Same-scene,1.128052
Experiment2,member006_pilot,Same-scene,1.2289885
Experiment2,member001_pilot,Same-scene,1.085999
Experiment2,member002_pilot,Same-scene,1.448059
Experiment2,kahlo338_pilot,Same-scene,1.430176
Experiment2,K2,Same-scene,1.169678
Experiment2,K3,Same-scene,1.517792
Experiment2,K4,Same-scene,1.423279
Experiment2,K5,Same-scene,1.3300475
Experiment2,K6,Same-scene,1.2149965
Experiment2,member003,Same-scene,1.002533
Experiment2,kahlo384,Same-scene,1.3365785
Experiment2,kahlo385,Same-scene,1.454834
Experiment2,kahlo388,Same-scene,1.169556
Experiment2,kahlo380,Same-scene,1.573364
Experiment2,kahlo381,Same-scene,1.058258
Experiment2,kahlo389,Same-scene,0.981781
Experiment2,kahlo390,Same-scene,1.3785095
Experiment2,kahlo383,Same-scene,1.294861
Experiment2,member010_pilot,Neutral,1.044373
Experiment2,member008_pilot,Neutral,1.1052705
Experiment2,member006_pilot,Neutral,1.291229
Experiment2,member001_pilot,Neutral,1.086075
Experiment2,member002_pilot,Neutral,1.336441
Experiment2,kahlo338_pilot,Neutral,1.6247255
Experiment2,K2,Neutral,1.242325
Experiment2,K3,Neutral,1.4443205
Experiment2,K4,Neutral,1.471863
Experiment2,K5,Neutral,1.3921815
Experiment2,K6,Neutral,1.166443
Experiment2,member003,Neutral,1.0246425
Experiment2,kahlo384,Neutral,1.33197
Experiment2,kahlo385,Neutral,1.450119
Experiment2,kahlo388,Neutral,1.225342
Experiment2,kahlo380,Neutral,1.4338685
Experiment2,kahlo381,Neutral,1.060257
Experiment2,kahlo389,Neutral,1.041687
Experiment2,kahlo390,Neutral,1.434021
Experiment2,kahlo383,Neutral,1.3204345
Experiment2,member010_pilot,Different-scene,0.99276735
Experiment2,member008_pilot,Different-scene,1.169678
Experiment2,member006_pilot,Different-scene,1.248871
Experiment2,member001_pilot,Different-scene,1.0826645
Experiment2,member002_pilot,Different-scene,1.448067
Experiment2,kahlo338_pilot,Different-scene,1.444702
Experiment2,K2,Different-scene,1.239166
Experiment2,K3,Different-scene,1.44809
Experiment2,K4,Different-scene,1.499756
Experiment2,K5,Different-scene,1.2648315
Experiment2,K6,Different-scene,1.124573
Experiment2,member003,Different-scene,1.058167
Experiment2,kahlo384,Different-scene,1.391632
Experiment2,kahlo385,Different-scene,1.408508
Experiment2,kahlo388,Different-scene,1.1346745
Experiment2,kahlo380,Different-scene,1.642944
Experiment2,kahlo381,Different-scene,1.011261
Experiment2,kahlo389,Different-scene,0.97476195
Experiment2,kahlo390,Different-scene,1.462097
Experiment2,kahlo383,Different-scene,1.2462005
