trialIdx, primeName, targetName, targetSide, condition, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, BakerBerry2nd, BakerBerry2nd, -90, ss, closed, closed, -2.924164, 1.22332, -65.05396, 1.263489, 697.0011
2, NeutralZimmerman, Zimmerman, 90, neutral, open, open, -11.39468, 5.883839, 68.16802, 1.222046, 706.7193
3, BakerBerryHistoric2, BakerBerryHistoric2, 90, ss, open, open, -8.145813, 11.90156, 65.9557, 1.749573, 716.3829
4, Fairbanks, Fairbanks_mirror, -90, mirror, open, open, -0.845459, 1.525272, -69.10724, 1.268677, 724.788
5, Umplebys, Umplebys, 90, ss, closed, closed, -9.827667, 6.683347, 63.76835, 1.082947, 730.0919
6, NeutralMooreLot, MooreLot, 90, neutral, open, open, -11.086, 7.739852, 65.36327, 1.263611, 736.241
7, Fairbanks, Fairbanks, 90, ss, closed, open, -9.781281, 8.046231, 67.68808, 1.083008, 745.1968
8, Zimmerman, Zimmerman_mirror, 90, mirror, open, open, -10.67166, 5.835515, 68.20747, 1.255432, 758.8508
9, Maynard, Maynard_mirror, 90, mirror, closed, closed, -8.846039, 12.60087, 71.62199, 1.293457, 762.7406
10, RollinsChapel3, RollinsChapel3, 90, ss, closed, closed, -9.179108, 13.2789, 68.13017, 1.38855, 766.9754
11, Zimmerman, Zimmerman, -90, ss, closed, closed, -0.1574402, 1.258752, -67.07471, 1.513306, 771.946
12, 53Commons, 53Commons_mirror, -90, mirror, closed, open, -1.636841, 2.818519, -71.58722, 1.563049, 777.7301
13, NeutralFairbanks, Fairbanks, -90, neutral, open, open, -1.064972, 0.5650133, -70.89462, 1.735718, 785.3297
14, PineBackHall, PineBackHall, 90, ss, closed, closed, -8.571259, 12.10192, 67.81348, 1.222046, 789.4675
15, RaunerFirst, RaunerFirst, 90, ss, open, open, -9.33374, 11.70478, 68.12731, 1.458252, 792.6887
16, Hop2, Hop2, -90, ss, closed, closed, -2.360168, 3.297759, -64.22647, 0.9024658, 798.4229
17, Maynard, Maynard, -90, ss, open, open, -1.662415, 1.314037, -67.99646, 0.9024658, 804.1155
18, NeutralBakerBerryCharter, BakerBerryCharter, 90, neutral, closed, closed, -10.33691, 11.23168, 67.95539, 1.013794, 811.9971
19, Hop4, Hop4, -90, ss, open, open, -0.2945251, 2.626383, -67.638, 0.8053589, 816.3846
20, Hop2, Hop2, -90, ss, closed, closed, -0.7187195, 2.052417, -64.36261, 0.7497559, 819.6058
21, NeutralHop4, Hop4, 90, neutral, closed, closed, -9.891632, 9.978227, 64.53899, 1.166382, 823.5889
22, NeutralPineEntrance, PineEntrance, 90, neutral, closed, closed, -9.001587, 8.963677, 66.43026, 1.18042, 828.5509
23, Umplebys, Umplebys, 90, ss, closed, closed, -8.415649, 10.19721, 67.3256, 1.208069, 831.675
24, AllenSt, AllenSt, 90, ss, closed, closed, -11.60596, 9.633664, 68.25502, 1.069214, 834.5631
25, 53Commons, 53Commons, 90, ss, open, open, -11.0571, 7.759806, 69.50717, 1.277405, 837.9091
26, BakerBerryCharter, BakerBerryCharter_mirror, 90, mirror, closed, closed, -10.20099, 11.13007, 68.00192, 1.170776, 841.093
27, PineEntrance, PineEntrance_mirror, 90, mirror, closed, closed, -9.059326, 9.01873, 64.35496, 1.090027, 846.2792
28, NeutralAllenSt, AllenSt, -90, neutral, open, closed, -1.353699, 1.879755, -65.30664, 1.402405, 857.2174
29, RaunerFirst, RaunerFirst, 90, ss, open, open, -10.85056, 8.649209, 63.24106, 1.305359, 861.1191
30, NeutralMaynard, Maynard, 90, neutral, closed, closed, -10.70273, 9.342932, 65.10483, 1.097046, 863.7758
31, NeutralPineBackHall, PineBackHall, -90, neutral, open, open, -3.031036, 6.830865, -76.68732, 1.541382, 867.4709
32, MooreLot, MooreLot, -90, ss, closed, closed, -1.821289, 5.881579, -70.11096, 1.30542, 870.8451
33, AllenSt, AllenSt_mirror, -90, mirror, open, open, -1.072479, 2.909656, -65.86673, 1.710999, 874.4304
34, RaunerBackHall, RaunerBackHall, -90, ss, closed, closed, -1.87381, 2.698, -64.80927, 0.9302979, 877.2211
35, McLaughlinCluster, McLaughlinCluster_mirror, -90, mirror, closed, closed, -2.053345, 1.22297, -63.4165, 1.424622, 888.101
36, NeutralRaunerBackHall, RaunerBackHall, 90, neutral, open, open, -8.786591, 9.773643, 64.36104, 1.430298, 892.0259
37, BakerBerryHistoric2, BakerBerryHistoric2_mirror, -90, mirror, closed, closed, -3.811432, 3.771236, -62.9964, 0.9901123, 894.9874
38, MooreLot, MooreLot_mirror, 90, mirror, open, open, -8.366791, 9.568317, 64.40422, 1.815796, 898.5388
39, BakerBerryHistoric2, BakerBerryHistoric2, 90, ss, open, open, -7.206665, 11.57128, 66.01445, 1.194275, 901.4964
40, BakerBerryCharter, BakerBerryCharter, -90, ss, open, closed, 0.4722344, 5.191235, -67.28543, 0.9581299, 903.9401
