trialIdx, primeName, targetName, targetSide, condition, correctResponse, response, roll, pitch, yaw, rt, timestamp
53, BakerBerryCharter, BakerBerryCharter, -90, ss, open, open, -0.2791748, 43.82499, -39.98578, 2.867981, 1012.651
54, Neutral53Commons, 53Commons, -90, neutral, closed, closed, -4.985901, 35.89978, -32.54584, 2.478088, 1016.767
55, Hop4, Hop4, -90, ss, open, open, -8.080475, 38.28269, -41.25342, 2.450378, 1020.609
56, PineBackHall, PineBackHall_mirror, -90, mirror, open, open, -6.585144, 38.13408, -33.36371, 3.98938, 1026.2
57, Hop4, Hop4_mirror, 90, mirror, closed, closed, -0.1590881, 41.92934, -40.39252, 3.010376, 1031.215
58, AllenSt, AllenSt, 90, ss, closed, closed, -0.6401672, 43.25349, -52.46143, 2.756714, 1035.238
59, NeutralHop2, Hop2, 90, neutral, open, open, -6.621674, 41.15913, -41.211, 3.077026, 1040.394
60, RaunerBackHall, RaunerBackHall, -90, ss, closed, closed, -10.51755, 34.26799, -30.33798, 2.436401, 1044.097
61, NeutralBakerBerry2nd, BakerBerry2nd, 90, neutral, open, open, -6.790375, 39.28496, -32.69458, 2.687134, 1047.968
62, NeutralRollinsChapel3, RollinsChapel3, -90, neutral, open, open, -4.710266, 39.73419, -33.82162, 2.645508, 1052.062
63, McLaughlinCluster, McLaughlinCluster, 90, ss, open, closed, -7.612396, 40.51449, -44.41882, 3.132568, 1056.573
64, Fairbanks, Fairbanks, 90, ss, closed, closed, -4.038483, 34.83802, -38.77542, 2.603149, 1060.513
65, McLaughlinCluster, McLaughlinCluster, 90, ss, open, closed, -8.290771, 33.82286, -34.96402, 2.617554, 1064.564
66, MooreLot, MooreLot, -90, ss, closed, closed, -1.243073, 41.26356, -48.87939, 2.506104, 1068.852
67, Hop2, Hop2_mirror, 90, mirror, open, open, -5.364136, 32.54644, -39.29272, 2.436768, 1072.64
68, RaunerFirst, RaunerFirst_mirror, -90, mirror, closed, closed, -5.118408, 36.23808, -40.29309, 2.763184, 1076.976
69, PineEntrance, PineEntrance, -90, ss, open, open, -4.614288, 34.76959, -33.2168, 2.561768, 1080.86
70, Maynard, Maynard, -90, ss, open, open, -8.068573, 42.07147, -43.41684, 2.868164, 1084.842
67, Hop2, Hop2_mirror, 90, mirror, open, open, -5.364136, 32.54644, -39.29272, 2.436768, 1072.64
71, NeutralBakerBerryHistoric2, BakerBerryHistoric2, -90, neutral, closed, closed, 1.376163, 46.52775, -49.31079, 2.088501, 1118.224
72, Umplebys, Umplebys_mirror, -90, mirror, open, open, 1.204594, 45.54029, -48.57764, 2.463867, 1123.722
73, BakerBerryHistoric2, BakerBerryHistoric2_mirror, 90, mirror, open, open, -1.70401, 42.25061, -40.91556, 2.923828, 1127.996
74, RollinsChapel3, RollinsChapel3, -90, ss, open, open, -2.168854, 36.04153, -43.71637, 2.213623, 1131.714
75, AllenSt, AllenSt, -90, ss, open, open, 1.737067, 27.91946, -35.69174, 2.325073, 1135.389
76, PineBackHall, PineBackHall, -90, ss, open, open, -1.366486, 34.13599, -44.65652, 3.021362, 1139.747
77, BakerBerryCharter, BakerBerryCharter_mirror, -90, mirror, open, open, -5.553345, 42.21748, -35.80664, 2.116455, 1143.297
78, Zimmerman, Zimmerman, 90, ss, open, open, -4.048401, 39.8462, -37.77402, 2.519897, 1147.056
79, BakerBerry2nd, BakerBerry2nd, 90, ss, open, open, -6.240112, 31.42504, -28.68988, 2.478271, 1150.968
80, NeutralPineBackHall, PineBackHall, 90, neutral, closed, closed, -5.75061, 35.50551, -34.14877, 2.505859, 1154.853
81, NeutralRaunerBackHall, RaunerBackHall, -90, neutral, closed, closed, -8.978363, 41.00072, -34.29587, 2.534058, 1158.598
82, RollinsChapel3, RollinsChapel3_mirror, 90, mirror, closed, closed, -8.619934, 37.51378, -30.87555, 2.63147, 1162.538
83, NeutralBakerBerryCharter, BakerBerryCharter, -90, neutral, open, open, -9.18222, 42.6989, -49.52368, 1.990967, 1165.837
84, McLaughlinCluster, McLaughlinCluster, -90, ss, closed, closed, -10.7074, 46.66808, -43.07657, 2.64563, 1169.805
85, Maynard, Maynard_mirror, -90, mirror, open, open, -8.376495, 37.01178, -39.87573, 2.004883, 1173.063
86, Fairbanks, Fairbanks_mirror, 90, mirror, closed, closed, -10.39694, 40.75264, -41.26556, 2.547852, 1177.003
87, NeutralMcLaughlinCluster, McLaughlinCluster, 90, neutral, open, closed, -6.664307, 41.89887, -37.21338, 2.742798, 1181.319
88, Fairbanks, Fairbanks, -90, ss, open, open, -11.03592, 38.01521, -28.75757, 2.311279, 1184.981
89, BakerBerry2nd, BakerBerry2nd, 90, ss, open, open, -2.807617, 37.06903, -44.73587, 3.202026, 1189.31
90, RaunerBackHall, RaunerBackHall_mirror, -90, mirror, closed, closed, -9.521942, 44.72667, -43.27173, 2.533936, 1193.125
91, Maynard, Maynard, 90, ss, closed, closed, -7.148651, 40.31548, -43.79141, 2.673096, 1197.009
92, RaunerBackHall, RaunerBackHall, 90, ss, open, open, -7.545441, 37.49038, -35.01379, 2.909546, 1201.144
93, Hop4, Hop4, 90, ss, closed, closed, -10.3013, 36.47452, -34.29596, 3.133057, 1205.572
94, Umplebys, Umplebys, -90, ss, open, open, -10.51706, 42.83949, -37.49326, 2.506104, 1209.4
95, MooreLot, MooreLot_mirror, -90, mirror, closed, closed, -6.454071, 38.0931, -37.36368, 2.99353, 1213.674
96, PineEntrance, PineEntrance, 90, ss, closed, closed, -2.506775, 25.09931, -19.55148, 2.937378, 1217.879
97, NeutralZimmerman, Zimmerman, -90, neutral, closed, open, -4.829681, 34.74885, -30.93015, 3.09082, 1222.654
98, 53Commons, 53Commons_mirror, 90, mirror, open, open, -4.486206, 40.09855, -44.07834, 2.840088, 1226.887
99, RaunerBackHall, RaunerBackHall, 90, ss, open, open, -4.659821, 39.72692, -47.42828, 2.714966, 1230.882
100, BakerBerryHistoric2, BakerBerryHistoric2, -90, ss, closed, closed, -6.20816, 29.41556, -23.66812, 2.478394, 1237.37
101, PineBackHall, PineBackHall, -90, ss, open, open, -8.116486, 36.79691, -29.73474, 2.311157, 1241.101
102, PineEntrance, PineEntrance, 90, ss, closed, closed, -6.481445, 39.8678, -42.0491, 2.394897, 1244.888
103, MooreLot, MooreLot, 90, ss, open, open, -4.156799, 39.26935, -51.12646, 2.756714, 1248.87
104, Neutral53Commons, 53Commons, 90, neutral, open, open, -5.11496, 33.40742, -29.32147, 2.770508, 1253.325
105, McLaughlinCluster, McLaughlinCluster, -90, ss, closed, closed, -12.04385, 39.03228, -26.42834, 2.56189, 1257.418
106, 53Commons, 53Commons, -90, ss, closed, closed, -11.63181, 36.00251, -30.83835, 1.977051, 1260.774
107, Hop2, Hop2_mirror, -90, mirror, closed, closed, -8.098145, 38.23602, -43.3605, 2.297241, 1271.299
108, BakerBerry2nd, BakerBerry2nd_mirror, -90, mirror, closed, closed, -7.977509, 41.73587, -41.26974, 2.673096, 1275.322
109, NeutralHop2, Hop2, -90, neutral, closed, closed, -13.32135, 38.47668, -33.58344, 2.492065, 1279.109
110, NeutralHop4, Hop4, -90, neutral, open, open, -9.708313, 36.61844, -33.44476, 2.687012, 1283.021
111, NeutralMaynard, Maynard, -90, neutral, open, open, -9.242737, 35.82648, -34.35571, 2.714966, 1287.073
