42, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -3.946259, 5.434116, 161.2286, 1.016235, 808.3763
43, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, right, 1, closed, closed, -3.687683, 5.99655, 61.26791, 0.723999, 813.903
44, NeutralPineEntrance, 0, PineEntrance, 90, 90, right, 2, closed, closed, -4.279083, 4.58068, 145.354, 1.141785, 817.7328
45, 53Commons, 0, 53Commons, 90, 90, left, 3, open, open, -3.092896, 4.940478, 154.1465, 0.8909912, 821.5474
46, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 262, 90, right, 2, open, open, -3.365082, 6.092339, 329.917, 1.086182, 825.6837
47, Fairbanks, 0, Fairbanks, -90, -90, right, 3, open, open, -0.6037903, 3.537781, -162.1262, 1.294495, 830.027
48, NeutralMaynard, 0, Maynard, 90, 90, right, 2, closed, closed, -2.632538, 3.306152, 155.9479, 0.9606323, 833.7836
49, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, left, 3, open, open, -3.545868, 9.139257, 347.4297, 1.614685, 838.2523
50, Hop2, -1, Hop2, -91, -90, left, 1, closed, closed, -1.496613, 4.336113, -161.6603, 0.6820679, 841.3151
51, NeutralPineBackHall, 0, PineBackHall, 270, 90, right, 2, closed, closed, -5.176392, 8.070314, 341.967, 0.7936401, 845.155
52, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, open, -1.912567, 3.783201, -249.9016, 0.6265259, 848.9139
53, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, closed, -0.3823547, 3.368581, -162.0324, 0.6962891, 858.2555
54, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -4.269867, 5.944108, 256.1721, 0.6264038, 862.1254
55, Hop4, -3, Hop4, -93, -90, left, 1, open, open, -0.8017273, 4.533034, -163.4753, 0.723938, 865.9816
56, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, -5.001465, 6.40616, 334.9502, 0.7379761, 870.0607
57, Hop4, -3, Hop4, -93, -90, left, 1, open, open, -0.3417969, 4.031487, -160.4829, 0.723938, 874.0283
58, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, open, 0.3345455, 2.252383, -158.0833, 0.696106, 877.815
59, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, -4.89801, 3.740183, 59.11572, 0.765625, 881.852
60, NeutralAllenSt, 0, AllenSt, -90, -90, right, 4, open, open, -2.204071, 5.202755, -164.5388, 1.086243, 885.7474
61, NeutralBakerBerry2nd, 0, BakerBerry2nd, 4, -90, left, 2, closed, closed, -1.949677, 5.564794, -68.73975, 0.8909302, 889.5616
62, NeutralPineBackHall, 0, PineBackHall, 270, 90, left, 4, closed, closed, -3.408234, 6.712547, 353.5903, 1.90741, 894.4066
63, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, -1.554169, 6.366885, 22.74139, 0.9465942, 898.1791
64, NeutralRaunerFirst, 0, RaunerFirst, 90, 90, left, 4, open, closed, -1.985626, 9.382864, 159.6245, 1.253113, 902.275
65, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, closed, -0.5891113, 2.818701, -157.5383, 0.8076782, 905.8947
66, Umplebys, -50, Umplebys, 40, 90, right, 1, closed, closed, -0.7929077, 3.242493, 118.6154, 0.5986938, 909.7369
67, RaunerBackHall, 0, RaunerBackHall, -90, -90, right, 3, closed, open, 1.985836, 5.539296, -168.1104, 1.392456, 914.4007
68, NeutralMooreLot, 0, MooreLot, 270, 90, right, 2, open, open, -1.973999, 7.548397, 343.1142, 0.9473267, 918.4866
69, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, closed, -3.088593, 6.685465, 249.4337, 0.7796631, 922.2449
70, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 262, 90, left, 4, open, closed, 9.904861, 12.84803, 337.0591, 1.809998, 929.2057
71, NeutralFairbanks, 0, Fairbanks, 90, 90, right, 2, closed, closed, -3.557739, 5.430867, 165.2155, 0.9887695, 934.1758
72, NeutralPineEntrance, 0, PineEntrance, 90, 90, left, 4, closed, closed, 1.405489, 11.16288, 174.2924, 1.712219, 938.686
73, NeutralRaunerBackHall, 0, RaunerBackHall, 90, 90, left, 4, open, open, -2.577393, 8.388882, 160.6649, 1.19751, 943.9937
74, Hop2, -1, Hop2, 89, 90, right, 1, open, open, -2.691437, 6.068511, 159.8436, 0.8074951, 947.8359
75, NeutralFairbanks, 0, Fairbanks, -90, -90, right, 4, open, open, -0.7802429, 3.196842, -158.2303, 1.295044, 952.1239
76, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, -3.376617, 11.99133, 341.8502, 0.8493652, 955.8966
77, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 82, -90, left, 2, closed, closed, -1.572906, 1.466473, 17.24329, 0.9888306, 959.7529
78, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, closed, -0.05633545, 3.695093, -151.1152, 0.9196167, 963.7489
79, NeutralRollinsChapel3, 0, RollinsChapel3, 267, 90, right, 2, closed, closed, -2.060486, 7.88246, 336.0633, 0.8631592, 967.7194
80, NeutralHop2, 0, Hop2, 89, 90, right, 2, open, open, -3.20755, 7.803428, 152.8063, 0.9748535, 971.7047
81, Zimmerman, -100, Zimmerman, -10, 90, left, 3, open, closed, -3.181091, 7.168157, 54.47164, 1.364563, 976.1042
82, Hop2, -1, Hop2, 89, 90, right, 1, open, open, -3.653381, 8.095691, 156.2814, 0.7658691, 979.5426
83, Umplebys, -50, Umplebys, -140, -90, left, 1, open, open, -1.826935, 4.834656, -201.7064, 0.7241211, 983.552
84, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, -2.128174, 7.046782, 336.0412, 0.682251, 987.0742
85, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, -2.111237, 2.415995, -247.1201, 0.6821899, 990.4293
86, 53Commons, 0, 53Commons, 90, 90, right, 1, open, open, -3.288086, 6.475569, 167.4333, 0.62677, 993.8261
87, NeutralRollinsChapel3, 0, RollinsChapel3, 87, -90, right, 4, open, open, 1.10124, 5.833172, 3.957886, 1.113831, 997.7937
88, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, closed, -3.286835, 5.098588, 156.4788, 0.612854, 1001.052
89, RaunerBackHall, 0, RaunerBackHall, -90, -90, left, 1, closed, closed, -0.5630798, 4.301858, -166.7966, 0.640625, 1004.615
90, NeutralAllenSt, 0, AllenSt, 90, 90, right, 2, closed, closed, -2.211639, 6.825111, 166.7828, 0.723938, 1008.235
91, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 82, -90, right, 4, closed, open, 0.02044191, 4.382774, 5.718903, 1.058228, 1012.175
92, Maynard, 0, Maynard, 90, 90, right, 1, closed, closed, -2.848511, 6.284462, 163.6637, 0.7103882, 1016.017
93, AllenSt, 0, AllenSt, -90, -90, left, 1, open, open, -1.086151, 4.666348, -165.8259, 0.7102051, 1019.484
94, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, open, 0.4017389, 4.471441, -68.95184, 0.626709, 1023.228
95, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 270, 90, left, 4, open, open, -1.430542, 6.979131, 359.9006, 1.615112, 1028.393
96, Umplebys, -50, Umplebys, -140, -90, right, 3, open, open, -1.383423, 3.67006, -207.6546, 0.8631592, 1031.679
97, PineBackHall, 180, PineBackHall, 90, -90, left, 1, open, open, -0.7955017, 6.452708, 14.1745, 0.7375488, 1035.452
98, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -3.654602, 6.307939, 257.3549, 0.6407471, 1039.043
99, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, left, 1, closed, closed, 0.07360975, 3.953464, 1.371918, 0.751709, 1042.76
100, NeutralHop2, 0, Hop2, -91, -90, right, 4, closed, closed, 1.182331, 3.693435, -168.9849, 1.281006, 1046.714
101, MooreLot, 180, MooreLot, 270, 90, left, 3, open, open, -2.961884, 9.448755, 340.2106, 0.9747314, 1050.487
102, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, closed, -1.191315, 6.406193, -172.9245, 0.8074951, 1054.204
103, PineBackHall, 180, PineBackHall, 270, 90, left, 3, closed, closed, -5.589386, 10.79339, 342.323, 1.155884, 1058.422
104, Hop4, -3, Hop4, 87, 90, left, 3, closed, closed, -4.241364, 10.2216, 161.9927, 1.057983, 1062.334
105, NeutralBakerBerry2nd, 0, BakerBerry2nd, 184, 90, left, 4, open, open, -2.837311, 8.882312, 262.1401, 0.9887695, 1066.023
106, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 270, 90, right, 2, open, open, -2.0159, 6.288181, 351.3935, 0.8217773, 1069.921
107, NeutralHop4, 0, Hop4, -93, -90, right, 4, open, open, -0.8989258, 3.062859, -154.7754, 1.406372, 1099.049
108, Maynard, 0, Maynard, 90, 90, right, 1, closed, closed, -3.573029, 5.890808, 158.9146, 0.5847168, 1102.307
109, Neutral53Commons, 0, 53Commons, -90, -90, right, 4, closed, closed, 0.6038917, 4.981606, -157.4035, 1.072021, 1106.302
110, RollinsChapel3, 177, RollinsChapel3, 267, 90, right, 1, closed, closed, -3.309052, 7.655705, 339.8526, 0.682373, 1109.671
111, NeutralUmplebys, 0, Umplebys, -140, -90, left, 2, open, open, -1.707336, 4.472468, -212.791, 0.7102051, 1113.193
112, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, left, 3, closed, closed, -4.16568, 10.4777, 77.98937, 1.392456, 1117.537
113, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -2.887329, 6.156978, 160.7261, 0.7796631, 1120.836
114, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, right, 1, open, closed, -3.459778, 8.889193, 335.1536, 0.737793, 1124.205
