41, NeutralUmplebys, 0, Umplebys, -140, -90, right, 4, open, open, -1.600677, -0.2747498, -215.5768, 1.058105, 888.4057
42, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -3.235382, 1.545647, 176.0926, 0.8772583, 891.8447
43, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, right, 1, closed, closed, -0.2227173, 2.777028, 71.47894, 1.197388, 895.5618
44, NeutralPineEntrance, 0, PineEntrance, 90, 90, right, 2, closed, closed, -0.0802002, -0.1560059, 147.031, 1.11377, 899.2346
45, 53Commons, 0, 53Commons, 90, 90, left, 3, open, open, -1.3638, -4.294006, 166.1445, 1.058044, 903.0215
46, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 262, 90, right, 2, open, closed, 0.348473, -0.3011475, 340.6566, 1.016479, 906.7886
47, Fairbanks, 0, Fairbanks, -90, -90, right, 3, open, open, 0.07151709, -1.237793, -179.1935, 1.044434, 910.6035
48, NeutralMaynard, 0, Maynard, 90, 90, right, 2, closed, closed, -0.9766541, 1.051077, 168.9418, 0.8076172, 914.1253
49, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, left, 3, open, open, -1.430267, 1.255059, 351.1844, 1.489807, 918.0653
50, Hop2, -1, Hop2, -91, -90, left, 1, closed, closed, 0.4138172, -1.44339, -173.7527, 0.7936401, 921.1699
51, NeutralPineBackHall, 0, PineBackHall, 270, 90, right, 2, closed, open, -2.115051, 1.3148, 344.3528, 0.6824341, 924.6002
52, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, open, -1.292206, -3.079041, -253.5679, 0.6264648, 928.4705
53, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, closed, 5.247353, 2.653552, -163.9099, 0.8773193, 944.8154
54, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -1.593597, 3.157202, 258.2015, 0.682373, 949.2844
55, Hop4, -3, Hop4, -93, -90, left, 1, open, open, 5.641561, 5.192883, -163.817, 0.7102051, 953.0852
56, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, 1.454236, 1.289394, 345.2227, 0.5988159, 956.4405
57, Hop4, -3, Hop4, -93, -90, left, 1, open, open, 7.872219, -0.6110535, -168.5517, 0.4317627, 959.6008
58, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, open, 3.791102, 1.695344, -167.2446, 0.5014038, 962.7195
59, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, -3.497559, 0.3115982, 73.36988, 0.4733276, 965.8659
60, NeutralAllenSt, 0, AllenSt, -90, -90, right, 4, open, open, 4.178385, 5.372873, -163.6479, 1.336853, 969.85
61, NeutralBakerBerry2nd, 0, BakerBerry2nd, 4, -90, left, 2, closed, closed, 3.531476, 2.477044, -70.56882, 0.9746094, 973.5114
62, NeutralPineBackHall, 0, PineBackHall, 270, 90, left, 4, closed, closed, 4.889737, -0.6419373, 362.0008, 1.281555, 977.494
63, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, -1.375122, 4.041632, 11.2854, 0.8214722, 980.9043
64, NeutralRaunerFirst, 0, RaunerFirst, 90, 90, left, 4, open, open, -1.378998, 3.166606, 164.7816, 1.197571, 984.6304
65, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, closed, 2.678293, 4.99483, -163.9626, 0.9328613, 988.4729
66, Umplebys, -50, Umplebys, 40, 90, right, 1, closed, closed, -3.280487, 5.963094, 114.4847, 0.7240601, 991.9118
67, RaunerBackHall, 0, RaunerBackHall, -90, -90, right, 3, closed, closed, 0.05087035, 6.420392, -136.2842, 0.8773804, 995.5594
68, NeutralMooreLot, 0, MooreLot, 270, 90, right, 2, open, open, 0.6228226, 7.353119, 324.9166, 0.9609985, 999.5892
69, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -1.274963, 2.801201, 248.171, 0.7102661, 1002.986
70, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 262, 90, left, 4, open, closed, -0.5658875, 5.29655, 312.5068, 0.9607544, 1006.62
71, NeutralFairbanks, 0, Fairbanks, 90, 90, right, 2, closed, open, 0.2500933, 5.175472, 89.81784, 1.239197, 1010.546
72, NeutralPineEntrance, 0, PineEntrance, 90, 90, left, 4, closed, closed, -1.937439, 4.674795, 131.991, 1.099365, 1014.556
73, NeutralRaunerBackHall, 0, RaunerBackHall, 90, 90, left, 4, open, open, 0.4328584, 6.859776, 154.1003, 0.9470825, 1018.013
74, Hop2, -1, Hop2, 89, 90, right, 1, open, open, 2.659228, 2.130122, 169.2516, 0.668396, 1021.075
75, NeutralFairbanks, 0, Fairbanks, -90, -90, right, 4, open, open, 1.4067, 5.863863, -152.3553, 1.211365, 1025.169
76, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, -3.861115, 7.071168, 344.9604, 0.6402588, 1028.315
77, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 82, -90, left, 2, closed, open, 2.29694, -1.589142, 27.42029, 0.9050293, 1031.907
78, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, closed, 2.699986, 3.131501, -114.9406, 0.7657471, 1035.694
79, NeutralRollinsChapel3, 0, RollinsChapel3, 267, 90, right, 2, closed, closed, -1.09079, 4.66374, 304.8885, 1.086792, 1039.301
80, NeutralHop2, 0, Hop2, 89, 90, right, 2, open, open, -1.945129, 1.172545, 152.91, 0.9050293, 1042.703
81, Zimmerman, -100, Zimmerman, -10, 90, left, 3, open, open, -2.664642, -1.193085, 55.50278, 1.239258, 1046.434
82, Hop2, -1, Hop2, 89, 90, right, 1, open, open, -3.040131, 0.5857056, 145.3053, 0.5568848, 1049.956
83, Umplebys, -50, Umplebys, -140, -90, left, 1, open, open, -3.210266, -1.72287, -188.0771, 0.6265869, 1053.13
84, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, 0.5516, 3.920876, 336.7168, 0.654541, 1056.333
85, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, 0.3418474, 1.243676, -230.738, 0.8354492, 1059.646
86, 53Commons, 0, 53Commons, 90, 90, right, 1, open, open, -0.5250549, 2.541463, 155.0809, 0.4726563, 1062.765
87, NeutralRollinsChapel3, 0, RollinsChapel3, 87, -90, right, 4, open, open, -2.823486, -0.5778503, 12.32861, 1.11377, 1066.579
88, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, closed, 1.345726, 2.90032, 150.6042, 0.7935791, 1069.935
89, RaunerBackHall, 0, RaunerBackHall, -90, -90, left, 1, closed, closed, -2.942169, 2.946197, -92.59625, 0.7519531, 1073.206
90, NeutralAllenSt, 0, AllenSt, 90, 90, right, 2, closed, closed, -1.947327, 3.675801, 155.6358, 0.7799072, 1076.645
91, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 82, -90, right, 4, closed, open, -2.666077, 0.4751315, 22.89685, 1.169434, 1080.307
92, Maynard, 0, Maynard, 90, 90, right, 1, closed, open, -2.091095, -1.373444, 151.321, 0.6544189, 1083.662
93, AllenSt, 0, AllenSt, -90, -90, left, 1, open, open, -0.7367554, 4.296566, -168.0336, 2.060669, 1088.716
94, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, closed, 4.888905, 1.357702, -64.0531, 0.6682129, 1095.496
95, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 270, 90, left, 4, open, open, -1.323212, 7.277027, 319.1078, 0.9608154, 1099.269
96, Umplebys, -50, Umplebys, -140, -90, right, 3, open, open, -2.926788, 3.862324, -143.811, 0.8494873, 1102.708
97, PineBackHall, 180, PineBackHall, 90, -90, left, 1, open, closed, 2.437599, 5.838895, 21.85864, 1.294678, 1106.703
98, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -0.45047, 3.281909, 251.7254, 0.7935791, 1110.184
99, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, left, 1, closed, closed, -3.63501, -2.09549, 30.12845, 0.668457, 1113.428
100, NeutralHop2, 0, Hop2, -91, -90, right, 4, closed, closed, 0.235015, 2.947347, -142.494, 1.351196, 1117.424
101, MooreLot, 180, MooreLot, 270, 90, left, 3, open, open, -1.801544, 2.716341, 347.2951, 1.044067, 1120.988
102, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, closed, -2.01355, 3.484502, -143.0364, 0.9749756, 1124.496
103, PineBackHall, 180, PineBackHall, 270, 90, left, 3, closed, closed, -2.078552, -2.97876, 333.1429, 1.266968, 1128.436
104, Hop4, -3, Hop4, 87, 90, left, 3, closed, closed, 2.571105, -1.194244, 148.5076, 0.7796631, 1131.68
105, NeutralBakerBerry2nd, 0, BakerBerry2nd, 184, 90, left, 4, open, open, -0.8874512, 3.927433, 241.3887, 0.8076172, 1134.966
