0, McLaughlinCluster, study, 0, 0, study, -0.7985229, -6.171326, -1.358826, 20210827, 15:59:07.05638, 85.50822
0, McLaughlinCluster, study, 0, 0, study, -0.8067627, -6.127167, -1.318481, 20210827, 15:59:07.06984, 85.52214
0, McLaughlinCluster, study, 0, 0, study, -0.7910156, -6.126495, -1.308716, 20210827, 15:59:07.08342, 85.536
0, McLaughlinCluster, study, 0, 0, study, -0.817749, -6.125214, -1.303345, 20210827, 15:59:07.09768, 85.55003
0, McLaughlinCluster, study, 0, 0, study, -0.8181152, -6.114777, -1.305084, 20210827, 15:59:07.11157, 85.56388
0, McLaughlinCluster, study, 0, 0, study, -0.8088684, -6.099121, -1.291809, 20210827, 15:59:07.12520, 85.57778
0, McLaughlinCluster, study, 0, 0, study, -0.8200378, -6.095825, -1.283386, 20210827, 15:59:07.13947, 85.59178
0, McLaughlinCluster, study, 0, 0, study, -0.8353271, -6.095642, -1.273804, 20210827, 15:59:07.15365, 85.60559
0, McLaughlinCluster, study, 0, 0, study, -0.8300171, -6.094727, -1.272156, 20210827, 15:59:07.16703, 85.61957
0, McLaughlinCluster, study, 0, 0, study, -0.8222656, -6.0979, -1.271606, 20210827, 15:59:07.18119, 85.63348
0, McLaughlinCluster, study, 0, 0, study, -0.8157654, -6.096802, -1.268555, 20210827, 15:59:07.19510, 85.64742
0, McLaughlinCluster, study, 0, 0, study, -0.8149109, -6.08316, -1.275513, 20210827, 15:59:07.20906, 85.66131
0, McLaughlinCluster, study, 0, 0, study, -0.8283386, -6.068756, -1.272461, 20210827, 15:59:07.22268, 85.67524
0, McLaughlinCluster, study, 0, 0, study, -0.8259583, -6.063202, -1.282257, 20210827, 15:59:07.23700, 85.68922
0, McLaughlinCluster, study, 0, 0, study, -0.8118591, -6.069977, -1.281067, 20210827, 15:59:07.25071, 85.70306
0, McLaughlinCluster, study, 0, 0, study, -0.8234863, -6.066376, -1.279938, 20210827, 15:59:07.26482, 85.71702
0, McLaughlinCluster, study, 0, 0, study, -0.8374329, -6.058105, -1.27417, 20210827, 15:59:07.27892, 85.73093
0, McLaughlinCluster, study, 0, 0, study, -0.8372192, -6.052734, -1.26828, 20210827, 15:59:07.29256, 85.74487
0, McLaughlinCluster, study, 0, 0, study, -0.8232422, -6.047272, -1.266937, 20210827, 15:59:07.30633, 85.75885
0, McLaughlinCluster, study, 0, 0, study, -0.8175049, -6.042664, -1.273834, 20210827, 15:59:07.32045, 85.77268
0, McLaughlinCluster, study, 0, 0, study, -0.8075256, -6.038055, -1.273285, 20210827, 15:59:07.33438, 85.78664
0, McLaughlinCluster, study, 0, 0, study, -0.7983704, -6.029846, -1.28949, 20210827, 15:59:07.34916, 85.80146
0, McLaughlinCluster, study, 0, 0, study, -0.7915344, -6.002899, -1.30957, 20210827, 15:59:07.36192, 85.81448
0, McLaughlinCluster, study, 0, 0, study, -0.8035278, -5.99054, -1.35965, 20210827, 15:59:07.37621, 85.82841
