0, McLaughlinCluster, study, 0, 0, study, 0.5161232, -3.282867, 5.128238, 20211027, 14:42:35.79512, 26.38206
0, McLaughlinCluster, study, 0, 0, study, 0.5568581, -3.240051, 5.454704, 20211027, 14:42:35.80910, 26.39594
0, McLaughlinCluster, study, 0, 0, study, 0.6391206, -3.173553, 5.802022, 20211027, 14:42:35.82296, 26.40985
0, McLaughlinCluster, study, 0, 0, study, 0.7616131, -3.069641, 6.18529, 20211027, 14:42:35.83698, 26.42386
0, McLaughlinCluster, study, 0, 0, study, 0.9075698, -2.922485, 6.605483, 20211027, 14:42:35.85089, 26.43774
0, McLaughlinCluster, study, 0, 0, study, 1.14399, -2.786835, 7.041015, 20211027, 14:42:35.86532, 26.45224
0, McLaughlinCluster, study, 0, 0, study, 1.380267, -2.682037, 7.458658, 20211027, 14:42:35.87914, 26.46587
0, McLaughlinCluster, study, 0, 0, study, 1.589747, -2.614044, 7.850364, 20211027, 14:42:35.89255, 26.47943
0, McLaughlinCluster, study, 0, 0, study, 1.768125, -2.516602, 8.267066, 20211027, 14:42:35.90682, 26.49344
0, McLaughlinCluster, study, 0, 0, study, 1.918459, -2.423279, 8.724614, 20211027, 14:42:35.92045, 26.50729
0, McLaughlinCluster, study, 0, 0, study, 2.084358, -2.358124, 9.210962, 20211027, 14:42:35.93455, 26.52149
0, McLaughlinCluster, study, 0, 0, study, 2.227225, -2.286163, 9.713061, 20211027, 14:42:35.94850, 26.53524
0, McLaughlinCluster, study, 0, 0, study, 2.339848, -2.297913, 10.21334, 20211027, 14:42:35.96234, 26.54919
0, McLaughlinCluster, study, 0, 0, study, 2.407338, -2.339844, 10.71401, 20211027, 14:42:35.97613, 26.56301
0, McLaughlinCluster, study, 0, 0, study, 2.445652, -2.405487, 11.25373, 20211027, 14:42:35.98989, 26.57698
0, McLaughlinCluster, study, 0, 0, study, 2.430511, -2.508453, 11.79389, 20211027, 14:42:36.00402, 26.59092
0, McLaughlinCluster, study, 0, 0, study, 2.348085, -2.58728, 12.37347, 20211027, 14:42:36.01789, 26.6048
0, McLaughlinCluster, study, 0, 0, study, 2.273143, -2.71167, 13.01114, 20211027, 14:42:36.03176, 26.61892
0, McLaughlinCluster, study, 0, 0, study, 2.221679, -2.803223, 13.69018, 20211027, 14:42:36.04589, 26.63277
0, McLaughlinCluster, study, 0, 0, study, 2.138681, -2.908722, 14.4582, 20211027, 14:42:36.05973, 26.64658
0, McLaughlinCluster, study, 0, 0, study, 2.034853, -3.060791, 15.32123, 20211027, 14:42:36.07389, 26.66047
0, McLaughlinCluster, study, 0, 0, study, 2.006279, -3.141815, 16.28146, 20211027, 14:42:36.08753, 26.67437
0, McLaughlinCluster, study, 0, 0, study, 2.025517, -3.220062, 17.32432, 20211027, 14:42:36.10150, 26.6884
