0, McLaughlinCluster, study, 0, 0, study, 0.2702321, 0.4902498, -0.9607849, 20211019, 13:34:31.84823, 20.03699
0, McLaughlinCluster, study, 0, 0, study, 0.1438778, 0.5352978, -0.228363, 20211019, 13:34:31.86239, 20.0509
0, McLaughlinCluster, study, 0, 0, study, 0.06806692, 0.552692, 0.5529014, 20211019, 13:34:31.87620, 20.06491
0, McLaughlinCluster, study, 0, 0, study, 0.04369199, 0.5828896, 1.412574, 20211019, 13:34:31.89000, 20.07875
0, McLaughlinCluster, study, 0, 0, study, 0.01298554, 0.6044844, 2.347274, 20211019, 13:34:31.90432, 20.0929
0, McLaughlinCluster, study, 0, 0, study, -0.08743286, 0.5930471, 3.28181, 20211019, 13:34:31.91760, 20.10643
0, McLaughlinCluster, study, 0, 0, study, -0.2746277, 0.6110947, 4.239675, 20211019, 13:34:31.93202, 20.12048
0, McLaughlinCluster, study, 0, 0, study, -0.4618835, 0.6197144, 5.250193, 20211019, 13:34:31.94572, 20.13445
0, McLaughlinCluster, study, 0, 0, study, -0.749939, 0.5794192, 6.328046, 20211019, 13:34:31.95955, 20.14836
0, McLaughlinCluster, study, 0, 0, study, -1.09079, 0.4841581, 7.447751, 20211019, 13:34:31.97344, 20.1623
0, McLaughlinCluster, study, 0, 0, study, -1.320923, 0.4305079, 8.611944, 20211019, 13:34:31.98744, 20.1762
0, McLaughlinCluster, study, 0, 0, study, -1.579163, 0.4100433, 9.719761, 20211019, 13:34:32.00173, 20.19013
0, McLaughlinCluster, study, 0, 0, study, -1.890167, 0.3912091, 10.795, 20211019, 13:34:32.01528, 20.20401
0, McLaughlinCluster, study, 0, 0, study, -2.224365, 0.408589, 11.86284, 20211019, 13:34:32.02928, 20.21799
0, McLaughlinCluster, study, 0, 0, study, -2.533234, 0.5015836, 12.90113, 20211019, 13:34:32.04341, 20.23189
0, McLaughlinCluster, study, 0, 0, study, -2.801849, 0.7117944, 13.80867, 20211019, 13:34:32.05706, 20.24579
