0, McLaughlinCluster, study, 0, 0, study, -0.4151611, -3.934692, 0.5380068, 20211022, 15:16:38.18590, 22.42341
0, McLaughlinCluster, study, 0, 0, study, -0.436676, -3.934052, 0.5429673, 20211022, 15:16:38.19948, 22.4373
0, McLaughlinCluster, study, 0, 0, study, -0.4396057, -3.914154, 0.5456704, 20211022, 15:16:38.21372, 22.45123
0, McLaughlinCluster, study, 0, 0, study, -0.4380188, -3.904297, 0.5483498, 20211022, 15:16:38.22775, 22.46523
0, McLaughlinCluster, study, 0, 0, study, -0.4466248, -3.885681, 0.5461798, 20211022, 15:16:38.24122, 22.47906
0, McLaughlinCluster, study, 0, 0, study, -0.4590759, -3.874634, 0.5390438, 20211022, 15:16:38.25550, 22.49305
0, McLaughlinCluster, study, 0, 0, study, -0.46521, -3.867584, 0.5312477, 20211022, 15:16:38.26935, 22.50696
0, McLaughlinCluster, study, 0, 0, study, -0.4773254, -3.853058, 0.5340632, 20211022, 15:16:38.28376, 22.52095
0, McLaughlinCluster, study, 0, 0, study, -0.4893799, -3.841797, 0.5322526, 20211022, 15:16:38.29746, 22.53529
0, McLaughlinCluster, study, 0, 0, study, -0.4890137, -3.838318, 0.5216982, 20211022, 15:16:38.31124, 22.54872
0, McLaughlinCluster, study, 0, 0, study, -0.4916382, -3.832214, 0.5147151, 20211022, 15:16:38.32551, 22.56265
0, McLaughlinCluster, study, 0, 0, study, -0.4855042, -3.83606, 0.515027, 20211022, 15:16:38.33878, 22.57658
0, McLaughlinCluster, study, 0, 0, study, -0.48526, -3.83493, 0.5083815, 20211022, 15:16:38.35301, 22.59057
0, McLaughlinCluster, study, 0, 0, study, -0.4745483, -3.834351, 0.4958057, 20211022, 15:16:38.36684, 22.60441
0, McLaughlinCluster, study, 0, 0, study, -0.4559631, -3.826447, 0.4647306, 20211022, 15:16:38.38059, 22.61836
0, McLaughlinCluster, study, 0, 0, study, -0.4323425, -3.829987, 0.397531, 20211022, 15:16:38.39479, 22.6323
0, McLaughlinCluster, study, 0, 0, study, -0.3986206, -3.864777, 0.2960169, 20211022, 15:16:38.40872, 22.64626
0, McLaughlinCluster, study, 0, 0, study, -0.3331604, -3.929016, 0.1068573, 20211022, 15:16:38.42259, 22.66017
0, McLaughlinCluster, study, 0, 0, study, -0.2892456, -3.97641, -0.1577454, 20211022, 15:16:38.43632, 22.67408
0, McLaughlinCluster, study, 0, 0, study, -0.223175, -4.026672, -0.5127258, 20211022, 15:16:38.45049, 22.68799
0, McLaughlinCluster, study, 0, 0, study, -0.1434937, -4.042358, -0.9976807, 20211022, 15:16:38.46506, 22.70257
0, McLaughlinCluster, study, 0, 0, study, -0.05749512, -4.049133, -1.629547, 20211022, 15:16:38.47798, 22.71585
0, McLaughlinCluster, study, 0, 0, study, 0.02079551, -4.14682, -2.491608, 20211022, 15:16:38.49231, 22.7298
0, McLaughlinCluster, study, 0, 0, study, 0.05522652, -4.205414, -3.515289, 20211022, 15:16:38.50611, 22.74353
0, McLaughlinCluster, study, 0, 0, study, 0.03685048, -4.195801, -4.619629, 20211022, 15:16:38.51982, 22.7576
0, McLaughlinCluster, study, 0, 0, study, -0.04211426, -4.175903, -5.841034, 20211022, 15:16:38.53391, 22.7715
0, McLaughlinCluster, study, 0, 0, study, -0.09918213, -4.115204, -7.075714, 20211022, 15:16:38.54788, 22.78542
0, McLaughlinCluster, study, 0, 0, study, -0.1881714, -3.977875, -8.411591, 20211022, 15:16:38.56153, 22.79936
0, McLaughlinCluster, study, 0, 0, study, -0.2487183, -3.858978, -9.836823, 20211022, 15:16:38.57581, 22.81332
0, McLaughlinCluster, study, 0, 0, study, -0.3302917, -3.780884, -11.24966, 20211022, 15:16:38.58971, 22.82722
0, McLaughlinCluster, study, 0, 0, study, -0.4978333, -3.75473, -12.73285, 20211022, 15:16:38.60358, 22.84109
0, McLaughlinCluster, study, 0, 0, study, -0.5926819, -3.743927, -14.23816, 20211022, 15:16:38.61720, 22.85505
0, McLaughlinCluster, study, 0, 0, study, -0.643219, -3.74353, -15.80283, 20211022, 15:16:38.63144, 22.86895
0, McLaughlinCluster, study, 0, 0, study, -0.661377, -3.705383, -17.41147, 20211022, 15:16:38.64544, 22.88288
0, McLaughlinCluster, study, 0, 0, study, -0.6668091, -3.666565, -19.03769, 20211022, 15:16:38.65908, 22.89681
0, McLaughlinCluster, study, 0, 0, study, -0.6382446, -3.598694, -20.69916, 20211022, 15:16:38.67307, 22.91056
0, McLaughlinCluster, study, 0, 0, study, -0.5342102, -3.593536, -22.42548, 20211022, 15:16:38.68704, 22.92458
0, McLaughlinCluster, study, 0, 0, study, -0.4316711, -3.616791, -24.19867, 20211022, 15:16:38.70075, 22.93855
0, McLaughlinCluster, study, 0, 0, study, -0.3370056, -3.620941, -25.97934, 20211022, 15:16:38.71497, 22.95255
0, McLaughlinCluster, study, 0, 0, study, -0.2778015, -3.661255, -27.7847, 20211022, 15:16:38.72896, 22.96653
0, McLaughlinCluster, study, 0, 0, study, -0.1970825, -3.769745, -29.65265, 20211022, 15:16:38.74284, 22.98035
0, McLaughlinCluster, study, 0, 0, study, -0.008178711, -3.899384, -31.64063, 20211022, 15:16:38.75678, 22.99432
0, McLaughlinCluster, study, 0, 0, study, 0.276218, -3.942505, -33.65726, 20211022, 15:16:38.77054, 23.00813
0, McLaughlinCluster, study, 0, 0, study, 0.6284995, -3.971741, -35.74857, 20211022, 15:16:38.78454, 23.02214
0, McLaughlinCluster, study, 0, 0, study, 1.025097, -4.045135, -37.89777, 20211022, 15:16:38.79811, 23.03603
0, McLaughlinCluster, study, 0, 0, study, 1.429362, -4.072601, -40.07913, 20211022, 15:16:38.81235, 23.04993
0, McLaughlinCluster, study, 0, 0, study, 1.762422, -4.101868, -42.23688, 20211022, 15:16:38.82639, 23.06397
0, McLaughlinCluster, study, 0, 0, study, 1.983387, -4.119812, -44.31052, 20211022, 15:16:38.83987, 23.07767
0, McLaughlinCluster, study, 0, 0, study, 2.139262, -4.140167, -46.30084, 20211022, 15:16:38.85407, 23.09168
0, McLaughlinCluster, study, 0, 0, study, 2.318334, -4.10614, -48.21359, 20211022, 15:16:38.86805, 23.10559
0, McLaughlinCluster, study, 0, 0, study, 2.540247, -4.022644, -50.04468, 20211022, 15:16:38.88206, 23.11964
0, McLaughlinCluster, study, 0, 0, study, 2.806811, -3.916534, -51.77551, 20211022, 15:16:38.89616, 23.13358
0, McLaughlinCluster, study, 0, 0, study, 3.103608, -3.794281, -53.44308, 20211022, 15:16:38.90999, 23.14751
0, McLaughlinCluster, study, 0, 0, study, 3.416143, -3.593811, -55.00897, 20211022, 15:16:38.92378, 23.16131
0, McLaughlinCluster, study, 0, 0, study, 3.707971, -3.441193, -56.45834, 20211022, 15:16:38.93737, 23.1752
0, McLaughlinCluster, study, 0, 0, study, 4.032984, -3.289368, -57.83578, 20211022, 15:16:38.95162, 23.18916
0, McLaughlinCluster, study, 0, 0, study, 4.302165, -3.174927, -59.14261, 20211022, 15:16:38.96555, 23.20304
0, McLaughlinCluster, study, 0, 0, study, 4.548882, -3.036041, -60.4259, 20211022, 15:16:38.97918, 23.21702
0, McLaughlinCluster, study, 0, 0, study, 4.744258, -2.977325, -61.67065, 20211022, 15:16:38.99343, 23.231
0, McLaughlinCluster, study, 0, 0, study, 4.854886, -3.01123, -62.97025, 20211022, 15:16:39.00721, 23.24472
0, McLaughlinCluster, study, 0, 0, study, 4.930061, -3.1427, -64.32922, 20211022, 15:16:39.02096, 23.25879
0, McLaughlinCluster, study, 0, 0, study, 5.03938, -3.28894, -65.76624, 20211022, 15:16:39.03517, 23.27271
0, McLaughlinCluster, study, 0, 0, study, 5.141748, -3.34729, -67.26871, 20211022, 15:16:39.04917, 23.28673
0, McLaughlinCluster, study, 0, 0, study, 5.236279, -3.355713, -68.78259, 20211022, 15:16:39.06299, 23.30056
0, McLaughlinCluster, study, 0, 0, study, 5.283732, -3.314087, -70.21075, 20211022, 15:16:39.07666, 23.3145
0, McLaughlinCluster, study, 0, 0, study, 5.302798, -3.303223, -71.49136, 20211022, 15:16:39.09069, 23.32829
0, McLaughlinCluster, study, 0, 0, study, 5.380758, -3.292511, -72.69058, 20211022, 15:16:39.10504, 23.34226
0, McLaughlinCluster, study, 0, 0, study, 5.48869, -3.210205, -73.7294, 20211022, 15:16:39.11859, 23.35641
0, McLaughlinCluster, study, 0, 0, study, 5.561803, -3.160156, -74.56613, 20211022, 15:16:39.13305, 23.37023
0, McLaughlinCluster, study, 0, 0, study, 5.619215, -3.10083, -75.15903, 20211022, 15:16:39.14661, 23.38412
0, McLaughlinCluster, study, 0, 0, study, 5.615249, -3.003754, -75.51215, 20211022, 15:16:39.16035, 23.39814
0, McLaughlinCluster, study, 0, 0, study, 5.555392, -2.771423, -75.74667, 20211022, 15:16:39.17438, 23.41188
0, McLaughlinCluster, study, 0, 0, study, 5.406437, -2.556915, -75.83676, 20211022, 15:16:39.18832, 23.4258
0, McLaughlinCluster, study, 0, 0, study, 5.21444, -2.418365, -75.94067, 20211022, 15:16:39.20187, 23.43973
0, McLaughlinCluster, study, 0, 0, study, 5.061589, -2.487061, -75.95609, 20211022, 15:16:39.21619, 23.4537
0, McLaughlinCluster, study, 0, 0, study, 5.055253, -2.586945, -76.03058, 20211022, 15:16:39.23007, 23.46762
0, McLaughlinCluster, study, 0, 0, study, 5.097474, -2.675476, -76.07828, 20211022, 15:16:39.24398, 23.48148
0, McLaughlinCluster, study, 0, 0, study, 5.103829, -2.770203, -76.05511, 20211022, 15:16:39.25764, 23.49534
0, McLaughlinCluster, study, 0, 0, study, 5.059389, -2.899872, -76.05643, 20211022, 15:16:39.27193, 23.50929
0, McLaughlinCluster, study, 0, 0, study, 5.099864, -3.067505, -75.98657, 20211022, 15:16:39.28625, 23.52333
0, McLaughlinCluster, study, 0, 0, study, 5.133727, -3.175018, -75.9278, 20211022, 15:16:39.30008, 23.53798
0, McLaughlinCluster, study, 0, 0, study, 5.17969, -3.21402, -75.84515, 20211022, 15:16:39.31360, 23.55115
0, McLaughlinCluster, study, 0, 0, study, 5.169348, -3.28595, -75.68381, 20211022, 15:16:39.32757, 23.56513
0, McLaughlinCluster, study, 0, 0, study, 5.12213, -3.355652, -75.44614, 20211022, 15:16:39.34136, 23.57909
0, McLaughlinCluster, study, 0, 0, study, 5.09765, -3.409637, -75.15936, 20211022, 15:16:39.35559, 23.59286
0, McLaughlinCluster, study, 0, 0, study, 5.102158, -3.393311, -74.86377, 20211022, 15:16:39.36932, 23.60688
0, McLaughlinCluster, study, 0, 0, study, 5.065538, -3.315002, -74.46045, 20211022, 15:16:39.38319, 23.62077
