0, McLaughlinCluster, study, 0, 0, study, 0.5744407, -10.05862, -3.32785, 20210825, 09:35:59.22619, 27.2769
0, McLaughlinCluster, study, 0, 0, study, 0.5657727, -10.04199, -3.314331, 20210825, 09:35:59.24050, 27.29093
0, McLaughlinCluster, study, 0, 0, study, 0.577056, -10.01306, -3.301483, 20210825, 09:35:59.25429, 27.30475
0, McLaughlinCluster, study, 0, 0, study, 0.5632684, -9.996735, -3.316803, 20210825, 09:35:59.26880, 27.3188
0, McLaughlinCluster, study, 0, 0, study, 0.5499774, -9.965179, -3.333557, 20210825, 09:35:59.28214, 27.33259
0, McLaughlinCluster, study, 0, 0, study, 0.5045487, -9.973083, -3.314117, 20210825, 09:35:59.29604, 27.34651
0, McLaughlinCluster, study, 0, 0, study, 0.4951072, -9.970734, -3.317657, 20210825, 09:35:59.30994, 27.36041
0, McLaughlinCluster, study, 0, 0, study, 0.480567, -9.984314, -3.30719, 20210825, 09:35:59.32395, 27.37436
0, McLaughlinCluster, study, 0, 0, study, 0.4411045, -10.03052, -3.28894, 20210825, 09:35:59.33787, 27.38823
0, McLaughlinCluster, study, 0, 0, study, 0.4327813, -10.0437, -3.269104, 20210825, 09:35:59.35170, 27.40219
0, McLaughlinCluster, study, 0, 0, study, 0.420207, -10.06848, -3.252747, 20210825, 09:35:59.36543, 27.41615
0, McLaughlinCluster, study, 0, 0, study, 0.4296749, -10.05264, -3.233154, 20210825, 09:35:59.37960, 27.43007
0, McLaughlinCluster, study, 0, 0, study, 0.4267612, -10.06021, -3.190247, 20210825, 09:35:59.39353, 27.44401
0, McLaughlinCluster, study, 0, 0, study, 0.4114453, -10.05865, -3.121399, 20210825, 09:35:59.40747, 27.45787
0, McLaughlinCluster, study, 0, 0, study, 0.3764709, -10.01697, -3.119537, 20210825, 09:35:59.42165, 27.47181
0, McLaughlinCluster, study, 0, 0, study, 0.394881, -10.00006, -3.062805, 20210825, 09:35:59.43522, 27.48571
0, McLaughlinCluster, study, 0, 0, study, 0.4146144, -9.955048, -3.044952, 20210825, 09:35:59.44910, 27.49968
0, McLaughlinCluster, study, 0, 0, study, 0.4213543, -9.929626, -3.020264, 20210825, 09:35:59.46344, 27.51361
0, McLaughlinCluster, study, 0, 0, study, 0.4096523, -9.917053, -2.994965, 20210825, 09:35:59.47709, 27.52759
0, McLaughlinCluster, study, 0, 0, study, 0.4026337, -9.903839, -2.938629, 20210825, 09:35:59.49105, 27.54149
0, McLaughlinCluster, study, 0, 0, study, 0.3666837, -9.897064, -2.915375, 20210825, 09:35:59.50465, 27.55533
0, McLaughlinCluster, study, 0, 0, study, 0.3402786, -9.891205, -2.854279, 20210825, 09:35:59.51883, 27.56919
0, McLaughlinCluster, study, 0, 0, study, 0.318715, -9.873474, -2.840271, 20210825, 09:35:59.53274, 27.58323
0, McLaughlinCluster, study, 0, 0, study, 0.3289186, -9.866669, -2.795807, 20210825, 09:35:59.54642, 27.59712
0, McLaughlinCluster, study, 0, 0, study, 0.3070662, -9.842834, -2.746887, 20210825, 09:35:59.56079, 27.61113
0, McLaughlinCluster, study, 0, 0, study, 0.2934105, -9.826172, -2.683868, 20210825, 09:35:59.57456, 27.62492
0, McLaughlinCluster, study, 0, 0, study, 0.2801109, -9.801239, -2.646301, 20210825, 09:35:59.58820, 27.63885
