42, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -5.689789, -2.127625, 160.4892, 0.9885864, 784.9075
43, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, right, 1, closed, closed, -7.528198, 6.837176, 71.51529, 1.656982, 788.8618
44, NeutralPineEntrance, 0, PineEntrance, 90, 90, right, 2, closed, closed, -4.619141, 6.722342, 158.8619, 1.33667, 792.5493
45, 53Commons, 0, 53Commons, 90, 90, left, 3, open, open, -5.386688, 1.806213, 158.5871, 1.016541, 795.891
46, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 262, 90, right, 2, open, open, -7.146118, 0.4249802, 333.2724, 0.9469604, 799.2057
47, Fairbanks, 0, Fairbanks, -90, -90, right, 3, open, open, 7.242124, -6.100555, -159.4398, 1.016479, 802.4916
48, NeutralMaynard, 0, Maynard, 90, 90, right, 2, closed, closed, -6.826263, -3.164429, 157.1696, 0.9746704, 805.7103
49, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, left, 3, open, open, -3.384094, 4.138517, 339.7464, 1.127869, 809.0938
50, Hop2, -1, Hop2, -91, -90, left, 1, closed, closed, 5.883026, -2.782166, -156.4226, 0.9328613, 812.2823
51, NeutralPineBackHall, 0, PineBackHall, 270, 90, right, 2, closed, closed, -7.453735, -1.116394, 334.9414, 1.030396, 815.6508
52, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, open, 6.385519, -2.93512, -252.8237, 0.8773193, 818.8949
53, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, closed, 5.454222, -6.930756, -158.2066, 1.267151, 830.0198
54, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -4.905334, -1.285034, 251.8963, 0.8633423, 833.2778
55, Hop4, -3, Hop4, -93, -90, left, 1, open, open, 3.70829, -0.3383484, -159.994, 0.8912354, 836.5499
56, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, -4.32016, -3.635193, 336.4856, 0.9331665, 841.7435
57, Hop4, -3, Hop4, -93, -90, left, 1, open, open, 7.15475, -5.436646, -159.0066, 0.8633423, 844.9318
58, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, open, 6.735233, -4.999634, -164.0976, 1.113831, 848.3012
59, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, -6.524353, -0.04190063, 59.72332, 0.9328003, 851.5871
60, NeutralAllenSt, 0, AllenSt, -90, -90, right, 4, open, open, 6.196188, -3.575165, -161.367, 0.9746704, 854.9686
61, NeutralBakerBerry2nd, 0, BakerBerry2nd, 4, -90, left, 2, closed, closed, 6.993515, -1.078186, -71.66675, 1.058228, 858.3937
62, NeutralPineBackHall, 0, PineBackHall, 270, 90, left, 4, closed, closed, -6.310883, 1.049413, 339.6872, 1.336731, 862.0417
63, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, 4.062093, -6.220978, 18.00726, 0.9608154, 865.4252
64, NeutralRaunerFirst, 0, RaunerFirst, 90, 90, left, 4, open, open, -7.153015, 0.9495452, 160.2314, 0.9190674, 868.6664
65, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, closed, 5.423424, -0.286499, -165.4317, 1.002502, 871.9663
66, Umplebys, -50, Umplebys, 40, 90, right, 1, closed, closed, -6.537079, 2.637887, 110.7924, 1.113953, 875.4472
67, RaunerBackHall, 0, RaunerBackHall, -90, -90, right, 3, closed, closed, 6.747194, 0.6692145, -171.0103, 1.072144, 878.9419
