42, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -7.612091, 10.46467, 160.6876, 1.420166, 892.8757
43, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, right, 1, closed, closed, -6.226898, 19.73787, 72.97009, 1.294922, 897.122
44, NeutralPineEntrance, 0, PineEntrance, 90, 90, right, 2, closed, closed, -9.085144, 12.8161, 169.4551, 1.30896, 901.6813
45, 53Commons, 0, 53Commons, 90, 90, left, 3, open, open, -9.884857, 15.36202, 168.44, 1.169434, 905.7744
46, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 262, 90, right, 2, open, open, -7.699615, 13.54556, 342.4292, 1.406433, 910.6376
47, Fairbanks, 0, Fairbanks, -90, -90, right, 3, open, open, 8.757711, 1.668543, -165.079, 1.322876, 914.9535
48, NeutralMaynard, 0, Maynard, 90, 90, right, 2, closed, closed, -8.905518, 13.43384, 163.3888, 1.573364, 920.1584
49, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, left, 3, open, open, -8.3125, 19.40166, 349.9488, 1.392212, 924.53
50, Hop2, -1, Hop2, -91, -90, left, 1, closed, closed, 13.93763, -0.5332947, -163.9336, 1.239136, 928.6649
51, NeutralPineBackHall, 0, PineBackHall, 270, 90, right, 2, closed, closed, -8.804138, 16.90417, 346.7947, 1.378174, 932.8589
52, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, open, 8.511866, 4.750857, -256.7951, 1.32251, 937.3417
53, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, closed, 7.244308, 3.688571, -165.4023, 1.253174, 953.7562
54, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -6.384125, 8.844654, 255.2388, 1.2948, 958.615
55, Hop4, -3, Hop4, -93, -90, left, 1, open, open, 7.28284, 4.755158, -162.1183, 0.9465942, 962.3044
56, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, -5.49411, 9.390416, 342.6222, 1.169312, 966.3975
57, Hop4, -3, Hop4, -93, -90, left, 1, open, open, 10.03775, 4.990449, -164.781, 0.9188232, 970.1149
58, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, open, 11.57451, 4.417179, -164.226, 1.04425, 973.9853
59, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, -4.959503, 7.375337, 63.93367, 0.9885254, 977.619
60, NeutralAllenSt, 0, AllenSt, -90, -90, right, 4, open, open, 8.344743, 5.878409, -164.0927, 1.141846, 981.861
61, NeutralBakerBerry2nd, 0, BakerBerry2nd, 4, -90, left, 2, closed, closed, 8.661672, 6.862566, -65.24661, 1.127747, 985.7593
62, NeutralPineBackHall, 0, PineBackHall, 270, 90, left, 4, closed, closed, -5.013092, 10.20189, 340.3415, 1.281067, 989.7551
63, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, 8.061127, 9.032104, 17.81833, 1.030334, 993.4722
64, NeutralRaunerFirst, 0, RaunerFirst, 90, 90, left, 4, open, open, -5.998871, 11.20656, 163.6931, 1.211548, 997.6653
65, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, closed, 8.632926, 4.572266, -152.1716, 0.9190063, 1001.257
66, Umplebys, -50, Umplebys, 40, 90, right, 1, closed, closed, -3.79068, 11.10501, 115.8209, 1.030212, 1005.378
67, RaunerBackHall, 0, RaunerBackHall, -90, -90, right, 3, closed, closed, 9.596611, 3.793909, -167.4337, 1.002625, 1009.082
68, NeutralMooreLot, 0, MooreLot, 270, 90, right, 2, open, open, -4.882843, 9.346901, 343.5316, 1.058411, 1012.954
69, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -3.231964, 7.284925, 255.5404, 0.9049072, 1016.545
70, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 262, 90, left, 4, open, open, -5.296417, 10.82285, 340.2905, 1.127747, 1020.36
71, NeutralFairbanks, 0, Fairbanks, 90, 90, right, 2, closed, closed, -5.10849, 7.134123, 165.6495, 0.9467773, 1024.077
72, NeutralPineEntrance, 0, PineEntrance, 90, 90, left, 4, closed, closed, -4.262543, 13.26665, 168.3754, 1.15564, 1027.92
73, NeutralRaunerBackHall, 0, RaunerBackHall, 90, 90, left, 4, open, open, -6.032867, 11.22016, 166.1577, 1.016602, 1031.715
74, Hop2, -1, Hop2, 89, 90, right, 1, open, open, -2.658112, 7.654752, 165.2889, 0.8355713, 1035.112
75, NeutralFairbanks, 0, Fairbanks, -90, -90, right, 4, open, open, 8.530653, 6.385331, -166.2682, 1.044434, 1038.815
76, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, -3.129547, 11.12992, 344.479, 1.141846, 1042.588
77, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 82, -90, left, 2, closed, closed, 7.020863, 5.479009, 11.0593, 1.141724, 1046.25
78, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, closed, 7.740185, 4.424823, -159.5843, 0.8076172, 1049.619
79, NeutralRollinsChapel3, 0, RollinsChapel3, 267, 90, right, 2, closed, closed, -2.438171, 9.776758, 340.6991, 1.127686, 1053.345
80, NeutralHop2, 0, Hop2, 89, 90, right, 2, open, open, -4.560028, 6.303519, 156.2429, 0.9608154, 1056.934
81, Zimmerman, -100, Zimmerman, -10, 90, left, 3, open, open, -2.746918, 6.748941, 59.65529, 1.58728, 1061.083
82, Hop2, -1, Hop2, 89, 90, right, 1, open, open, -5.169495, 3.940253, 153.1716, 0.8492432, 1064.716
83, Umplebys, -50, Umplebys, -140, -90, left, 1, open, open, 7.923801, 4.356756, -208.8357, 0.9467773, 1068.601
84, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, -4.381104, 5.000494, 334.2097, 0.9191895, 1071.97
85, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, 8.32484, 1.858814, -259.2436, 1.099976, 1075.618
