0, McLaughlinCluster, study, 0, 0, study, -4.267822, -10.88589, -8.145935, 20211018, 10:11:51.89418, 31.1258
0, McLaughlinCluster, study, 0, 0, study, -4.077026, -11.28854, -8.880646, 20211018, 10:11:51.90851, 31.14725
0, McLaughlinCluster, study, 0, 0, study, -4.037842, -11.33197, -9.072723, 20211018, 10:11:51.91124, 31.15025
0, McLaughlinCluster, study, 0, 0, study, -4.103394, -11.20676, -9.320251, 20211018, 10:11:51.92569, 31.16439
0, McLaughlinCluster, study, 0, 0, study, -4.210938, -10.98862, -9.550659, 20211018, 10:11:51.93923, 31.17817
0, McLaughlinCluster, study, 0, 0, study, -4.411072, -10.74765, -9.767181, 20211018, 10:11:51.95337, 31.19207
0, McLaughlinCluster, study, 0, 0, study, -4.52121, -10.66364, -9.972351, 20211018, 10:11:51.96912, 31.20783
0, McLaughlinCluster, study, 0, 0, study, -4.550964, -10.5986, -10.15302, 20211018, 10:11:51.98139, 31.22008
0, McLaughlinCluster, study, 0, 0, study, -4.580597, -10.41013, -10.2951, 20211018, 10:11:51.99496, 31.23392
0, McLaughlinCluster, study, 0, 0, study, -4.587128, -10.19339, -10.41595, 20211018, 10:11:52.00894, 31.24769
0, McLaughlinCluster, study, 0, 0, study, -4.539551, -9.956787, -10.49603, 20211018, 10:11:52.02292, 31.26168
0, McLaughlinCluster, study, 0, 0, study, -4.449738, -9.773071, -10.4877, 20211018, 10:11:52.03738, 31.27642
0, McLaughlinCluster, study, 0, 0, study, -4.310211, -9.641998, -10.49756, 20211018, 10:11:52.05085, 31.28955
0, McLaughlinCluster, study, 0, 0, study, -4.118561, -9.423462, -10.48984, 20211018, 10:11:52.06477, 31.30351
0, McLaughlinCluster, study, 0, 0, study, -3.964966, -9.205902, -10.50571, 20211018, 10:11:52.07837, 31.31739
0, McLaughlinCluster, study, 0, 0, study, -3.799469, -9.062561, -10.50592, 20211018, 10:11:52.09249, 31.33132
0, McLaughlinCluster, study, 0, 0, study, -3.75708, -8.844788, -10.51431, 20211018, 10:11:52.10657, 31.34523
0, McLaughlinCluster, study, 0, 0, study, -3.838165, -8.650085, -10.53656, 20211018, 10:11:52.12059, 31.35929
0, McLaughlinCluster, study, 0, 0, study, -3.868835, -8.457581, -10.6203, 20211018, 10:11:52.13451, 31.37309
0, McLaughlinCluster, study, 0, 0, study, -3.881042, -8.160126, -10.72861, 20211018, 10:11:52.14829, 31.38702
0, McLaughlinCluster, study, 0, 0, study, -3.906921, -7.798981, -10.87817, 20211018, 10:11:52.16249, 31.40093
0, McLaughlinCluster, study, 0, 0, study, -3.913788, -7.402435, -11.04584, 20211018, 10:11:52.17585, 31.4148
0, McLaughlinCluster, study, 0, 0, study, -3.906036, -7.066071, -11.23825, 20211018, 10:11:52.19005, 31.4288
0, McLaughlinCluster, study, 0, 0, study, -3.924011, -6.707642, -11.45688, 20211018, 10:11:52.20420, 31.44265
0, McLaughlinCluster, study, 0, 0, study, -3.992523, -6.325317, -11.70377, 20211018, 10:11:52.21764, 31.45658
0, McLaughlinCluster, study, 0, 0, study, -4.135254, -6.095245, -11.96973, 20211018, 10:11:52.23177, 31.47054
0, McLaughlinCluster, study, 0, 0, study, -4.347992, -5.941254, -12.26068, 20211018, 10:11:52.24573, 31.48443
0, McLaughlinCluster, study, 0, 0, study, -4.600494, -5.748474, -12.547, 20211018, 10:11:52.25930, 31.49836
0, McLaughlinCluster, study, 0, 0, study, -4.851959, -5.602386, -12.90768, 20211018, 10:11:52.27343, 31.51223
0, McLaughlinCluster, study, 0, 0, study, -5.137207, -5.554474, -13.33417, 20211018, 10:11:52.28781, 31.52629
0, McLaughlinCluster, study, 0, 0, study, -5.399475, -5.500458, -13.85934, 20211018, 10:11:52.30145, 31.5402
0, McLaughlinCluster, study, 0, 0, study, -5.566528, -5.411804, -14.40564, 20211018, 10:11:52.31521, 31.55419
0, McLaughlinCluster, study, 0, 0, study, -5.778564, -5.332947, -15.03189, 20211018, 10:11:52.32977, 31.56811
0, McLaughlinCluster, study, 0, 0, study, -6.012299, -5.333466, -15.72229, 20211018, 10:11:52.34378, 31.58205
0, McLaughlinCluster, study, 0, 0, study, -6.196472, -5.58963, -16.51831, 20211018, 10:11:52.35700, 31.59596
0, McLaughlinCluster, study, 0, 0, study, -6.341309, -6.106995, -17.39789, 20211018, 10:11:52.37142, 31.60982
0, McLaughlinCluster, study, 0, 0, study, -6.375824, -6.73819, -18.41257, 20211018, 10:11:52.38507, 31.62381
0, McLaughlinCluster, study, 0, 0, study, -6.232086, -7.1604, -19.51926, 20211018, 10:11:52.39869, 31.6377
0, McLaughlinCluster, study, 0, 0, study, -5.947632, -7.39093, -20.79413, 20211018, 10:11:52.41290, 31.65165
0, McLaughlinCluster, study, 0, 0, study, -5.511749, -7.519592, -22.26266, 20211018, 10:11:52.42689, 31.66557
0, McLaughlinCluster, study, 0, 0, study, -4.93512, -7.83728, -23.95407, 20211018, 10:11:52.44072, 31.67938
0, McLaughlinCluster, study, 0, 0, study, -4.294342, -8.222107, -25.88943, 20211018, 10:11:52.45478, 31.69342
0, McLaughlinCluster, study, 0, 0, study, -3.760437, -8.615295, -28.12744, 20211018, 10:11:52.46858, 31.70732
0, McLaughlinCluster, study, 0, 0, study, -3.431, -8.809967, -30.35522, 20211018, 10:11:52.48261, 31.72125
0, McLaughlinCluster, study, 0, 0, study, -3.142212, -8.880859, -32.6203, 20211018, 10:11:52.49617, 31.73512
0, McLaughlinCluster, study, 0, 0, study, -2.836151, -9.022369, -34.84122, 20211018, 10:11:52.51059, 31.74911
0, McLaughlinCluster, study, 0, 0, study, -2.603485, -9.216736, -37.02905, 20211018, 10:11:52.52433, 31.76305
0, McLaughlinCluster, study, 0, 0, study, -2.387634, -9.290131, -39.21637, 20211018, 10:11:52.53799, 31.77696
0, McLaughlinCluster, study, 0, 0, study, -2.113892, -9.15979, -41.29163, 20211018, 10:11:52.55222, 31.79084
0, McLaughlinCluster, study, 0, 0, study, -1.717102, -9.003784, -43.38406, 20211018, 10:11:52.56614, 31.8048
0, McLaughlinCluster, study, 0, 0, study, -1.409912, -8.736237, -45.41888, 20211018, 10:11:52.58005, 31.81871
0, McLaughlinCluster, study, 0, 0, study, -1.18396, -8.40863, -47.3078, 20211018, 10:11:52.59413, 31.83273
0, McLaughlinCluster, study, 0, 0, study, -0.9252319, -8.21875, -49.05188, 20211018, 10:11:52.60792, 31.84652
0, McLaughlinCluster, study, 0, 0, study, -0.6985168, -8.296112, -50.6886, 20211018, 10:11:52.62182, 31.86053
0, McLaughlinCluster, study, 0, 0, study, -0.5942993, -8.584961, -52.23514, 20211018, 10:11:52.63544, 31.87436
0, McLaughlinCluster, study, 0, 0, study, -0.6570129, -8.735535, -53.65637, 20211018, 10:11:52.64961, 31.88834
0, McLaughlinCluster, study, 0, 0, study, -0.8315125, -8.598785, -54.95584, 20211018, 10:11:52.66348, 31.90224
0, McLaughlinCluster, study, 0, 0, study, -1.109406, -8.296692, -56.0766, 20211018, 10:11:52.67719, 31.91619
0, McLaughlinCluster, study, 0, 0, study, -1.320129, -8.215393, -57.12219, 20211018, 10:11:52.69148, 31.93015
0, McLaughlinCluster, study, 0, 0, study, -1.472565, -8.306885, -58.14038, 20211018, 10:11:52.70545, 31.94408
0, McLaughlinCluster, study, 0, 0, study, -1.568085, -8.281525, -59.13168, 20211018, 10:11:52.71903, 31.95799
0, McLaughlinCluster, study, 0, 0, study, -1.740906, -8.139679, -60.05521, 20211018, 10:11:52.73309, 31.9719
0, McLaughlinCluster, study, 0, 0, study, -1.968292, -8.013184, -60.93713, 20211018, 10:11:52.74707, 31.98581
0, McLaughlinCluster, study, 0, 0, study, -2.228027, -8.069519, -61.75848, 20211018, 10:11:52.76083, 31.99976
0, McLaughlinCluster, study, 0, 0, study, -2.558746, -8.260681, -62.58719, 20211018, 10:11:52.77491, 32.0137
0, McLaughlinCluster, study, 0, 0, study, -2.698242, -8.4617, -63.39886, 20211018, 10:11:52.78887, 32.02763
0, McLaughlinCluster, study, 0, 0, study, -2.670441, -8.56665, -64.20932, 20211018, 10:11:52.80275, 32.04153
0, McLaughlinCluster, study, 0, 0, study, -2.643738, -8.672058, -65.05109, 20211018, 10:11:52.81648, 32.05542
0, McLaughlinCluster, study, 0, 0, study, -2.663239, -8.782318, -65.95752, 20211018, 10:11:52.83065, 32.06933
0, McLaughlinCluster, study, 0, 0, study, -2.722229, -9.046387, -66.90106, 20211018, 10:11:52.84461, 32.08334
0, McLaughlinCluster, study, 0, 0, study, -2.865906, -9.322998, -67.84412, 20211018, 10:11:52.85820, 32.0971
0, McLaughlinCluster, study, 0, 0, study, -3.105438, -9.533875, -68.68332, 20211018, 10:11:52.87233, 32.11107
0, McLaughlinCluster, study, 0, 0, study, -3.343964, -9.663483, -69.44696, 20211018, 10:11:52.88638, 32.12503
0, McLaughlinCluster, study, 0, 0, study, -3.556519, -9.802094, -70.21008, 20211018, 10:11:52.90003, 32.13896
0, McLaughlinCluster, study, 0, 0, study, -3.813782, -9.898407, -70.98398, 20211018, 10:11:52.91433, 32.15294
0, McLaughlinCluster, study, 0, 0, study, -4.03421, -9.969299, -71.67029, 20211018, 10:11:52.92864, 32.16694
0, McLaughlinCluster, study, 0, 0, study, -4.184509, -10.03336, -72.24905, 20211018, 10:11:52.94203, 32.18066
0, McLaughlinCluster, study, 0, 0, study, -4.290649, -10.09323, -72.70828, 20211018, 10:11:52.95565, 32.19458
0, McLaughlinCluster, study, 0, 0, study, -4.43335, -10.17136, -73.03857, 20211018, 10:11:52.96980, 32.20846
