1, RaunerFirst, RaunerFirst, 90, 90, right, -3.475861, -6.879395, 88.21118, 20211019, 12:00:51.05778, 716.381
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.459961, -6.872162, 88.20572, 20211019, 12:00:51.07132, 716.3949
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.44043, -6.846344, 88.20432, 20211019, 12:00:51.08556, 716.4088
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.438751, -6.823914, 88.19766, 20211019, 12:00:51.09945, 716.4228
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.43692, -6.802551, 88.18909, 20211019, 12:00:51.11321, 716.4368
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.448242, -6.786804, 88.1803, 20211019, 12:00:51.12735, 716.4506
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.437378, -6.771027, 88.16992, 20211019, 12:00:51.14129, 716.4645
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.43515, -6.757782, 88.17044, 20211019, 12:00:51.15496, 716.4785
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.431305, -6.753937, 88.15189, 20211019, 12:00:51.16892, 716.4922
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.420166, -6.755737, 88.14423, 20211019, 12:00:51.18329, 716.5062
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.398285, -6.751831, 88.13495, 20211019, 12:00:51.19704, 716.5203
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.388367, -6.73703, 88.11542, 20211019, 12:00:51.21074, 716.5342
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.364166, -6.735962, 88.09464, 20211019, 12:00:51.22494, 716.5482
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.323303, -6.743561, 88.06741, 20211019, 12:00:51.23876, 716.562
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.303467, -6.752747, 88.00397, 20211019, 12:00:51.25231, 716.5759
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.269379, -6.735168, 87.95911, 20211019, 12:00:51.26650, 716.5898
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.225616, -6.706421, 87.91107, 20211019, 12:00:51.28055, 716.6038
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.197296, -6.693085, 87.81973, 20211019, 12:00:51.29459, 716.6182
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.14389, -6.689575, 87.66635, 20211019, 12:00:51.30836, 716.6317
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.062744, -6.706726, 87.40439, 20211019, 12:00:51.32228, 716.6456
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.961792, -6.736206, 87.00247, 20211019, 12:00:51.33591, 716.6594
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.811554, -6.80011, 86.54974, 20211019, 12:00:51.35002, 716.6733
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.572418, -6.885864, 86.05948, 20211019, 12:00:51.36429, 716.6873
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.371155, -6.977753, 85.63074, 20211019, 12:00:51.37789, 716.7012
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.285919, -7.032867, 85.28348, 20211019, 12:00:51.39155, 716.7151
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.201599, -7.062439, 85.00879, 20211019, 12:00:51.40573, 716.7291
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.047272, -7.076355, 84.71826, 20211019, 12:00:51.41974, 716.743
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.885651, -7.088104, 84.31937, 20211019, 12:00:51.43324, 716.7568
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.827942, -7.150452, 83.91193, 20211019, 12:00:51.44773, 716.7708
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.761444, -7.184021, 83.578, 20211019, 12:00:51.46151, 716.7849
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.73288, -7.195953, 83.32294, 20211019, 12:00:51.47523, 716.7988
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.794464, -7.199768, 83.19925, 20211019, 12:00:51.48937, 716.8126
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.807495, -7.191376, 83.13232, 20211019, 12:00:51.50309, 716.8264
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.740051, -7.138733, 83.06369, 20211019, 12:00:51.51708, 716.8404
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.69397, -7.103027, 82.94598, 20211019, 12:00:51.53066, 716.8543
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.661713, -7.109375, 82.76828, 20211019, 12:00:51.54495, 716.8682
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.594269, -7.081665, 82.55627, 20211019, 12:00:51.55888, 716.8822
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.558746, -7.067902, 82.29556, 20211019, 12:00:51.57263, 716.8961
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.558838, -7.091339, 81.94955, 20211019, 12:00:51.58678, 716.9101
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.551819, -7.070129, 81.62164, 20211019, 12:00:51.60068, 716.9239
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.547211, -7.00238, 81.45758, 20211019, 12:00:51.61425, 716.9379
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.538208, -6.917786, 81.47421, 20211019, 12:00:51.62870, 716.9518
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.490631, -6.819641, 81.58734, 20211019, 12:00:51.64241, 716.9657
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.442627, -6.692841, 81.81393, 20211019, 12:00:51.65608, 716.9797
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.382629, -6.663361, 82.05347, 20211019, 12:00:51.67039, 716.9935
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.325653, -6.67984, 82.24817, 20211019, 12:00:51.68432, 717.0074
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.325348, -6.702545, 82.44101, 20211019, 12:00:51.69821, 717.0214
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.411774, -6.713104, 82.62466, 20211019, 12:00:51.71173, 717.0353
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.492828, -6.725433, 82.82147, 20211019, 12:00:51.72630, 717.0493
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.568542, -6.675659, 83.02414, 20211019, 12:00:51.74011, 717.0631
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.674011, -6.600891, 83.23679, 20211019, 12:00:51.75355, 717.0771
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.95108, -6.521057, 83.67233, 20211019, 12:00:51.76771, 717.091
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.514618, -6.456421, 84.5434, 20211019, 12:00:51.78160, 717.1049
