1, RaunerFirst, RaunerFirst, 90, 90, right, -7.359711, 1.295249, 169.6827, 20211020, 15:48:25.98299, 708.0112
1, RaunerFirst, RaunerFirst, 90, 90, right, -7.257446, 1.289861, 169.6551, 20211020, 15:48:25.99712, 708.0251
1, RaunerFirst, RaunerFirst, 90, 90, right, -7.210907, 1.344986, 169.6461, 20211020, 15:48:26.01067, 708.0391
1, RaunerFirst, RaunerFirst, 90, 90, right, -7.181519, 1.410133, 169.5751, 20211020, 15:48:26.02463, 708.0529
1, RaunerFirst, RaunerFirst, 90, 90, right, -7.152191, 1.457793, 169.4653, 20211020, 15:48:26.03874, 708.0669
1, RaunerFirst, RaunerFirst, 90, 90, right, -7.15802, 1.520776, 169.2781, 20211020, 15:48:26.05266, 708.0808
1, RaunerFirst, RaunerFirst, 90, 90, right, -7.206055, 1.5943, 169.0702, 20211020, 15:48:26.06642, 708.0948
1, RaunerFirst, RaunerFirst, 90, 90, right, -7.25946, 1.696078, 168.8766, 20211020, 15:48:26.08050, 708.1087
1, RaunerFirst, RaunerFirst, 90, 90, right, -7.276611, 1.772758, 168.6851, 20211020, 15:48:26.09440, 708.1226
1, RaunerFirst, RaunerFirst, 90, 90, right, -7.28952, 1.880394, 168.4993, 20211020, 15:48:26.10805, 708.1365
1, RaunerFirst, RaunerFirst, 90, 90, right, -7.284027, 1.991251, 168.3024, 20211020, 15:48:26.12217, 708.1504
1, RaunerFirst, RaunerFirst, 90, 90, right, -7.303528, 2.042682, 168.1122, 20211020, 15:48:26.13624, 708.1644
1, RaunerFirst, RaunerFirst, 90, 90, right, -7.325073, 2.104078, 167.9327, 20211020, 15:48:26.14979, 708.1783
1, RaunerFirst, RaunerFirst, 90, 90, right, -7.304321, 2.170693, 167.7663, 20211020, 15:48:26.16421, 708.1924
1, RaunerFirst, RaunerFirst, 90, 90, right, -7.267883, 2.211173, 167.5835, 20211020, 15:48:26.17797, 708.2062
1, RaunerFirst, RaunerFirst, 90, 90, right, -7.259155, 2.218803, 167.4495, 20211020, 15:48:26.19182, 708.22
1, RaunerFirst, RaunerFirst, 90, 90, right, -7.246185, 2.206238, 167.3253, 20211020, 15:48:26.20547, 708.2339
