0, McLaughlinCluster, study, 0, 0, study, -3.980133, -6.260193, 1.898404, 20211021, 13:01:06.12990, 54.69645
0, McLaughlinCluster, study, 0, 0, study, -3.972351, -6.258606, 1.907977, 20211021, 13:01:06.14478, 54.71797
0, McLaughlinCluster, study, 0, 0, study, -3.974426, -6.254333, 1.905811, 20211021, 13:01:06.14835, 54.72158
0, McLaughlinCluster, study, 0, 0, study, -3.995056, -6.238678, 1.906454, 20211021, 13:01:06.16218, 54.73562
0, McLaughlinCluster, study, 0, 0, study, -4.000092, -6.251129, 1.920634, 20211021, 13:01:06.17644, 54.74966
0, McLaughlinCluster, study, 0, 0, study, -3.987762, -6.253906, 1.936522, 20211021, 13:01:06.19014, 54.76344
0, McLaughlinCluster, study, 0, 0, study, -3.997803, -6.279602, 1.952574, 20211021, 13:01:06.20402, 54.77738
0, McLaughlinCluster, study, 0, 0, study, -3.995667, -6.293915, 1.956764, 20211021, 13:01:06.21813, 54.79121
0, McLaughlinCluster, study, 0, 0, study, -4.00589, -6.296967, 1.96023, 20211021, 13:01:06.23352, 54.80514
0, McLaughlinCluster, study, 0, 0, study, -4.003723, -6.295654, 1.95775, 20211021, 13:01:06.24579, 54.81914
0, McLaughlinCluster, study, 0, 0, study, -4.006073, -6.30368, 1.971079, 20211021, 13:01:06.25983, 54.83303
0, McLaughlinCluster, study, 0, 0, study, -4.006409, -6.313721, 1.965024, 20211021, 13:01:06.27387, 54.84705
0, McLaughlinCluster, study, 0, 0, study, -4.005707, -6.319275, 1.982934, 20211021, 13:01:06.28773, 54.8607
0, McLaughlinCluster, study, 0, 0, study, -4.011139, -6.325104, 1.991135, 20211021, 13:01:06.30132, 54.87476
0, McLaughlinCluster, study, 0, 0, study, -4.001862, -6.326355, 2.006711, 20211021, 13:01:06.31575, 54.88867
0, McLaughlinCluster, study, 0, 0, study, -4.000824, -6.348633, 2.008247, 20211021, 13:01:06.32966, 54.90258
0, McLaughlinCluster, study, 0, 0, study, -3.982971, -6.360901, 2.010639, 20211021, 13:01:06.34303, 54.91649
0, McLaughlinCluster, study, 0, 0, study, -3.982361, -6.358429, 2.010687, 20211021, 13:01:06.35755, 54.93048
0, McLaughlinCluster, study, 0, 0, study, -3.986969, -6.361938, 2.007238, 20211021, 13:01:06.37135, 54.94433
0, McLaughlinCluster, study, 0, 0, study, -3.981384, -6.380249, 2.011423, 20211021, 13:01:06.38493, 54.95829
0, McLaughlinCluster, study, 0, 0, study, -3.967194, -6.410065, 2.015186, 20211021, 13:01:06.39905, 54.97228
0, McLaughlinCluster, study, 0, 0, study, -4.000244, -6.444153, 2.028767, 20211021, 13:01:06.41321, 54.98616
0, McLaughlinCluster, study, 0, 0, study, -4.059265, -6.452545, 2.061622, 20211021, 13:01:06.42706, 55.00004
0, McLaughlinCluster, study, 0, 0, study, -4.12027, -6.457458, 2.104571, 20211021, 13:01:06.44054, 55.01408
