0, McLaughlinCluster, study, 0, 0, study, -4.854797, 7.930882, 1.119458, 20211027, 15:47:01.20796, 52.40941
0, McLaughlinCluster, study, 0, 0, study, -4.859406, 7.943261, 1.614261, 20211027, 15:47:01.22178, 52.42329
0, McLaughlinCluster, study, 0, 0, study, -4.879364, 7.978582, 2.222631, 20211027, 15:47:01.23568, 52.43722
0, McLaughlinCluster, study, 0, 0, study, -4.86145, 8.004697, 2.934179, 20211027, 15:47:01.24958, 52.45114
0, McLaughlinCluster, study, 0, 0, study, -4.781342, 8.011752, 3.771106, 20211027, 15:47:01.26351, 52.46501
0, McLaughlinCluster, study, 0, 0, study, -4.699738, 7.991741, 4.621226, 20211027, 15:47:01.27745, 52.47895
0, McLaughlinCluster, study, 0, 0, study, -4.64032, 7.926778, 5.500707, 20211027, 15:47:01.29122, 52.49279
0, McLaughlinCluster, study, 0, 0, study, -4.591888, 7.859829, 6.55494, 20211027, 15:47:01.30527, 52.5068
0, McLaughlinCluster, study, 0, 0, study, -4.546295, 7.832063, 7.810864, 20211027, 15:47:01.31945, 52.52067
0, McLaughlinCluster, study, 0, 0, study, -4.519836, 7.824508, 9.222471, 20211027, 15:47:01.33289, 52.53466
0, McLaughlinCluster, study, 0, 0, study, -4.421478, 7.777058, 10.70847, 20211027, 15:47:01.34710, 52.54863
0, McLaughlinCluster, study, 0, 0, study, -4.33786, 7.635115, 12.20558, 20211027, 15:47:01.36096, 52.56251
0, McLaughlinCluster, study, 0, 0, study, -4.254089, 7.518579, 13.59301, 20211027, 15:47:01.37489, 52.57639
0, McLaughlinCluster, study, 0, 0, study, -4.1633, 7.433408, 14.93661, 20211027, 15:47:01.38890, 52.59026
0, McLaughlinCluster, study, 0, 0, study, -4.118835, 7.337171, 16.22689, 20211027, 15:47:01.40274, 52.6043
0, McLaughlinCluster, study, 0, 0, study, -4.110687, 7.288933, 17.45921, 20211027, 15:47:01.41663, 52.61821
0, McLaughlinCluster, study, 0, 0, study, -4.10437, 7.18641, 18.59782, 20211027, 15:47:01.43088, 52.63206
0, McLaughlinCluster, study, 0, 0, study, -4.108978, 7.058641, 19.73127, 20211027, 15:47:01.44452, 52.64602
0, McLaughlinCluster, study, 0, 0, study, -4.084412, 6.928563, 20.87069, 20211027, 15:47:01.45830, 52.65991
0, McLaughlinCluster, study, 0, 0, study, -4.079437, 6.823633, 21.95185, 20211027, 15:47:01.47239, 52.67389
0, McLaughlinCluster, study, 0, 0, study, -4.177124, 6.700569, 23.00158, 20211027, 15:47:01.48686, 52.68847
0, McLaughlinCluster, study, 0, 0, study, -4.283569, 6.61295, 24.01502, 20211027, 15:47:01.50038, 52.70167
0, McLaughlinCluster, study, 0, 0, study, -4.352783, 6.54179, 24.98136, 20211027, 15:47:01.51409, 52.71569
0, McLaughlinCluster, study, 0, 0, study, -4.377228, 6.434363, 25.90094, 20211027, 15:47:01.52827, 52.72956
0, McLaughlinCluster, study, 0, 0, study, -4.387054, 6.208685, 26.76532, 20211027, 15:47:01.54189, 52.74347
0, McLaughlinCluster, study, 0, 0, study, -4.407959, 5.97608, 27.55021, 20211027, 15:47:01.55552, 52.75733
0, McLaughlinCluster, study, 0, 0, study, -4.501526, 5.850971, 28.24895, 20211027, 15:47:01.57009, 52.77135
0, McLaughlinCluster, study, 0, 0, study, -4.548401, 5.800418, 28.88776, 20211027, 15:47:01.58371, 52.78531
0, McLaughlinCluster, study, 0, 0, study, -4.538361, 5.776484, 29.55732, 20211027, 15:47:01.59762, 52.79916
0, McLaughlinCluster, study, 0, 0, study, -4.486603, 5.749527, 30.22808, 20211027, 15:47:01.61202, 52.81317
0, McLaughlinCluster, study, 0, 0, study, -4.476685, 5.68413, 30.8313, 20211027, 15:47:01.62546, 52.82699
0, McLaughlinCluster, study, 0, 0, study, -4.521637, 5.671383, 31.29283, 20211027, 15:47:01.63978, 52.84099
0, McLaughlinCluster, study, 0, 0, study, -4.554382, 5.591878, 31.67443, 20211027, 15:47:01.65334, 52.85486
0, McLaughlinCluster, study, 0, 0, study, -4.58786, 5.466769, 31.98122, 20211027, 15:47:01.66724, 52.86878
0, McLaughlinCluster, study, 0, 0, study, -4.588257, 5.293879, 32.30696, 20211027, 15:47:01.68115, 52.88275
0, McLaughlinCluster, study, 0, 0, study, -4.582031, 5.160252, 32.67446, 20211027, 15:47:01.69489, 52.89661
0, McLaughlinCluster, study, 0, 0, study, -4.539673, 5.074446, 33.06432, 20211027, 15:47:01.70932, 52.91059
0, McLaughlinCluster, study, 0, 0, study, -4.451965, 5.039218, 33.43087, 20211027, 15:47:01.72290, 52.92448
0, McLaughlinCluster, study, 0, 0, study, -4.381989, 4.942909, 33.79952, 20211027, 15:47:01.73688, 52.93838
0, McLaughlinCluster, study, 0, 0, study, -4.367188, 4.796401, 34.14649, 20211027, 15:47:01.75108, 52.95233
0, McLaughlinCluster, study, 0, 0, study, -4.336731, 4.678163, 34.53685, 20211027, 15:47:01.76466, 52.96622
0, McLaughlinCluster, study, 0, 0, study, -4.296783, 4.577379, 35.00608, 20211027, 15:47:01.77903, 52.9803
0, McLaughlinCluster, study, 0, 0, study, -4.291901, 4.482796, 35.65195, 20211027, 15:47:01.79224, 52.99408
0, McLaughlinCluster, study, 0, 0, study, -4.251434, 4.309648, 36.43079, 20211027, 15:47:01.80643, 53.008
0, McLaughlinCluster, study, 0, 0, study, -4.189117, 4.15626, 37.21094, 20211027, 15:47:01.82058, 53.02188
0, McLaughlinCluster, study, 0, 0, study, -4.116974, 4.029926, 38.03146, 20211027, 15:47:01.83435, 53.03585
0, McLaughlinCluster, study, 0, 0, study, -4.04892, 3.941265, 38.86594, 20211027, 15:47:01.84820, 53.0498
0, McLaughlinCluster, study, 0, 0, study, -3.9841, 3.907136, 39.78751, 20211027, 15:47:01.86221, 53.06374
0, McLaughlinCluster, study, 0, 0, study, -3.898224, 3.963254, 40.80115, 20211027, 15:47:01.87593, 53.07769
