42, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -6.778961, 0.3540532, 159.5854, 0.8632202, 1010.706
43, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, right, 1, closed, closed, -5.261993, 1.810661, 66.61385, 0.7658081, 1014.089
44, NeutralPineEntrance, 0, PineEntrance, 90, 90, right, 2, closed, closed, -5.199646, 2.539036, 161.7062, 1.253235, 1017.789
45, 53Commons, 0, 53Commons, 90, 90, left, 3, open, open, -5.092224, 1.353333, 162.3861, 2.366882, 1022.425
46, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 262, 90, right, 2, open, open, -6.070038, 4.033018, 337.5482, 1.183594, 1026.067
47, Fairbanks, 0, Fairbanks, -90, -90, right, 3, open, open, 3.258156, 0.1395542, -165.9948, 2.158081, 1031.121
48, NeutralMaynard, 0, Maynard, 90, 90, right, 2, closed, closed, -5.000214, 0.3113685, 164.0661, 3.007446, 1036.844
49, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, left, 3, open, closed, -4.389282, 0.669212, 342.5138, 2.79834, 1042.621
50, Hop2, -1, Hop2, -91, -90, left, 1, closed, closed, 6.447369, 0.4465262, -158.0518, 1.016357, 1046.881
51, NeutralPineBackHall, 0, PineBackHall, 270, 90, right, 2, closed, closed, -3.886108, 2.224771, 340.278, 1.002197, 1050.325
52, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, open, 6.020947, 0.4795756, -244.1859, 1.489746, 1054.224
53, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, closed, 10.11647, -1.256714, -164.4075, 0.9468994, 1069.664
54, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -6.572693, 0.2712978, 252.9958, 1.281006, 1073.437
55, Hop4, -3, Hop4, -93, -90, left, 1, open, open, 9.712078, -0.1938171, -164.4236, 1.33667, 1078.003
56, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, -4.802399, 1.540148, 337.3646, 0.8076172, 1081.47
57, Hop4, -3, Hop4, -93, -90, left, 1, open, open, 2.543152, 0.3445884, -162.0948, 0.8909912, 1084.811
58, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, open, 4.659165, -1.446136, -162.1453, 1.044312, 1088.347
59, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, -3.973022, 0.9707055, 60.66203, 0.973999, 1091.814
60, NeutralAllenSt, 0, AllenSt, -90, -90, right, 4, open, open, 3.799506, -1.100647, -165.6651, 2.074463, 1096.496
61, NeutralBakerBerry2nd, 0, BakerBerry2nd, 4, -90, left, 2, closed, closed, 4.20632, -0.3157043, -68.24805, 0.9884033, 1100.004
62, NeutralPineBackHall, 0, PineBackHall, 270, 90, left, 4, closed, closed, -6.349304, 1.174807, 337.6373, 2.171631, 1104.975
63, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, 4.071235, -0.1939392, 15.88126, 2.756714, 1110.349
64, NeutralRaunerFirst, 0, RaunerFirst, 90, 90, left, 4, open, open, -5.529755, 1.888937, 157.9727, 2.241577, 1115.76
65, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, closed, 2.998987, -0.6253357, -156.8878, 0.9049072, 1119.602
