1, RaunerFirst, RaunerFirst, 90, 90, right, 0.5579964, 8.507767, 154.4167, 20211005, 15:28:31.30022, 686.5396
1, RaunerFirst, RaunerFirst, 90, 90, right, 0.5378701, 8.643634, 155.5689, 20211005, 15:28:31.31448, 686.5535
1, RaunerFirst, RaunerFirst, 90, 90, right, 0.6076926, 8.903417, 156.7261, 20211005, 15:28:31.32839, 686.5674
1, RaunerFirst, RaunerFirst, 90, 90, right, 0.6671101, 9.149079, 157.8546, 20211005, 15:28:31.34244, 686.5814
1, RaunerFirst, RaunerFirst, 90, 90, right, 0.7396122, 9.348424, 158.9572, 20211005, 15:28:31.35594, 686.5953
1, RaunerFirst, RaunerFirst, 90, 90, right, 0.8652342, 9.534169, 160.0167, 20211005, 15:28:31.37021, 686.6092
1, RaunerFirst, RaunerFirst, 90, 90, right, 0.9752811, 9.692333, 161.022, 20211005, 15:28:31.38430, 686.6231
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.037952, 9.834824, 161.9975, 20211005, 15:28:31.39784, 686.6371
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.062145, 9.986328, 162.939, 20211005, 15:28:31.41201, 686.651
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.118409, 10.11899, 163.8272, 20211005, 15:28:31.42588, 686.6649
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.256087, 10.27228, 164.6679, 20211005, 15:28:31.43953, 686.6788
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.353571, 10.39195, 165.4196, 20211005, 15:28:31.45383, 686.6928
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.429417, 10.5815, 166.1655, 20211005, 15:28:31.46764, 686.7067
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.428225, 10.69871, 166.7893, 20211005, 15:28:31.48161, 686.7206
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.445076, 10.78203, 167.3679, 20211005, 15:28:31.49517, 686.7344
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.410097, 10.8112, 167.8698, 20211005, 15:28:31.50947, 686.7485
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.394672, 10.89235, 168.3447, 20211005, 15:28:31.52332, 686.7623
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.398389, 10.96118, 168.7415, 20211005, 15:28:31.53698, 686.7762
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.371585, 10.9917, 169.0815, 20211005, 15:28:31.55146, 686.7903
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.302933, 11.04167, 169.3489, 20211005, 15:28:31.56510, 686.8041
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.296914, 11.10241, 169.5837, 20211005, 15:28:31.57875, 686.818
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.305105, 11.12742, 169.7271, 20211005, 15:28:31.59292, 686.832
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.296253, 11.18425, 169.8215, 20211005, 15:28:31.60695, 686.8459
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.266416, 11.2068, 169.8514, 20211005, 15:28:31.62061, 686.8599
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.262771, 11.21846, 169.8569, 20211005, 15:28:31.63466, 686.8737
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.263522, 11.3004, 169.8076, 20211005, 15:28:31.64852, 686.8875
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.223584, 11.368, 169.7669, 20211005, 15:28:31.66255, 686.9016
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.237963, 11.46432, 169.6885, 20211005, 15:28:31.67613, 686.9155
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.249645, 11.49602, 169.606, 20211005, 15:28:31.69047, 686.9294
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.247767, 11.55311, 169.5032, 20211005, 15:28:31.70457, 686.9435
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.219143, 11.60766, 169.4279, 20211005, 15:28:31.71843, 686.9574
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.167732, 11.66722, 169.3282, 20211005, 15:28:31.73217, 686.9711
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.15965, 11.73651, 169.2592, 20211005, 15:28:31.74604, 686.985
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.152877, 11.8048, 169.1546, 20211005, 15:28:31.75968, 686.999
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.187017, 11.85919, 169.0783, 20211005, 15:28:31.77394, 687.013
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.226662, 11.93694, 169.006, 20211005, 15:28:31.78794, 687.0269
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.248127, 11.99123, 168.9237, 20211005, 15:28:31.80181, 687.0408
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.189161, 12.05268, 168.8661, 20211005, 15:28:31.81541, 687.0547
