0, McLaughlinCluster, study, 0, 0, study, 8.213646, 16.00768, 9.158272, 20210928, 17:00:20.80154, 22.15886
0, McLaughlinCluster, study, 0, 0, study, 8.301679, 15.91768, 9.166657, 20210928, 17:00:20.81576, 22.17278
0, McLaughlinCluster, study, 0, 0, study, 8.327145, 15.83155, 9.122749, 20210928, 17:00:20.82958, 22.18662
0, McLaughlinCluster, study, 0, 0, study, 8.299124, 15.62664, 9.068476, 20210928, 17:00:20.84385, 22.20059
0, McLaughlinCluster, study, 0, 0, study, 8.318462, 15.38939, 9.032895, 20210928, 17:00:20.85742, 22.21464
0, McLaughlinCluster, study, 0, 0, study, 8.32468, 15.24671, 9.00211, 20210928, 17:00:20.87144, 22.22849
0, McLaughlinCluster, study, 0, 0, study, 8.314214, 15.1289, 9.000874, 20210928, 17:00:20.88544, 22.24242
0, McLaughlinCluster, study, 0, 0, study, 8.317102, 14.94533, 8.966085, 20210928, 17:00:20.89894, 22.25625
0, McLaughlinCluster, study, 0, 0, study, 8.343528, 14.63297, 8.887314, 20210928, 17:00:20.91313, 22.27014
0, McLaughlinCluster, study, 0, 0, study, 8.419601, 14.17787, 8.790582, 20210928, 17:00:20.92715, 22.28426
0, McLaughlinCluster, study, 0, 0, study, 8.533384, 13.64437, 8.710144, 20210928, 17:00:20.94077, 22.29813
0, McLaughlinCluster, study, 0, 0, study, 8.766057, 12.97352, 8.679067, 20210928, 17:00:20.95502, 22.31208
0, McLaughlinCluster, study, 0, 0, study, 9.103122, 12.06394, 8.601594, 20210928, 17:00:20.96894, 22.32592
0, McLaughlinCluster, study, 0, 0, study, 9.429932, 11.18236, 8.508977, 20210928, 17:00:20.98253, 22.33988
0, McLaughlinCluster, study, 0, 0, study, 9.674663, 10.47136, 8.429096, 20210928, 17:00:20.99670, 22.35372
0, McLaughlinCluster, study, 0, 0, study, 9.870337, 9.852095, 8.378728, 20210928, 17:00:21.01068, 22.36769
0, McLaughlinCluster, study, 0, 0, study, 10.04254, 9.286283, 8.341621, 20210928, 17:00:21.02455, 22.3816
0, McLaughlinCluster, study, 0, 0, study, 10.21265, 8.865844, 8.307654, 20210928, 17:00:21.03816, 22.39547
