0, McLaughlinCluster, study, 0, 0, study, 5.912322, 8.205173, -0.5706787, 20210928, 11:17:49.80755, 19.74724
0, McLaughlinCluster, study, 0, 0, study, 5.918436, 8.078483, -0.6123352, 20210928, 11:17:49.82310, 19.77003
0, McLaughlinCluster, study, 0, 0, study, 5.919486, 8.051661, -0.6204224, 20210928, 11:17:49.82494, 19.77219
0, McLaughlinCluster, study, 0, 0, study, 5.932919, 7.993802, -0.6481628, 20210928, 11:17:49.83957, 19.78634
0, McLaughlinCluster, study, 0, 0, study, 5.919545, 7.977927, -0.6659851, 20210928, 11:17:49.85352, 19.80028
0, McLaughlinCluster, study, 0, 0, study, 5.91036, 7.953068, -0.6691895, 20210928, 11:17:49.86715, 19.81416
0, McLaughlinCluster, study, 0, 0, study, 5.919491, 7.936096, -0.6617126, 20210928, 11:17:49.88269, 19.82951
0, McLaughlinCluster, study, 0, 0, study, 5.926362, 7.910096, -0.660675, 20210928, 11:17:49.89508, 19.84196
0, McLaughlinCluster, study, 0, 0, study, 5.923678, 7.901833, -0.6394348, 20210928, 11:17:49.90881, 19.85582
0, McLaughlinCluster, study, 0, 0, study, 5.915878, 7.868744, -0.6381531, 20210928, 11:17:49.92334, 19.86988
0, McLaughlinCluster, study, 0, 0, study, 5.905593, 7.855161, -0.625061, 20210928, 11:17:49.93721, 19.88375
0, McLaughlinCluster, study, 0, 0, study, 5.888582, 7.849803, -0.6286926, 20210928, 11:17:49.95054, 19.89767
0, McLaughlinCluster, study, 0, 0, study, 5.860809, 7.834043, -0.627594, 20210928, 11:17:49.96513, 19.91162
0, McLaughlinCluster, study, 0, 0, study, 5.81699, 7.81292, -0.6294556, 20210928, 11:17:49.97871, 19.92552
0, McLaughlinCluster, study, 0, 0, study, 5.788488, 7.805659, -0.6278992, 20210928, 11:17:49.99219, 19.93934
0, McLaughlinCluster, study, 0, 0, study, 5.776619, 7.788439, -0.6157532, 20210928, 11:17:50.00639, 19.95326
0, McLaughlinCluster, study, 0, 0, study, 5.766437, 7.775023, -0.6048584, 20210928, 11:17:50.02050, 19.96728
0, McLaughlinCluster, study, 0, 0, study, 5.733072, 7.749856, -0.5661316, 20210928, 11:17:50.03467, 19.98119
0, McLaughlinCluster, study, 0, 0, study, 5.715611, 7.709201, -0.5473328, 20210928, 11:17:50.04802, 19.99506
0, McLaughlinCluster, study, 0, 0, study, 5.699748, 7.723718, -0.5030823, 20210928, 11:17:50.06222, 20.0091
0, McLaughlinCluster, study, 0, 0, study, 5.683755, 7.749418, -0.4677429, 20210928, 11:17:50.07622, 20.023
0, McLaughlinCluster, study, 0, 0, study, 5.623185, 7.749214, -0.416687, 20210928, 11:17:50.08965, 20.03683
0, McLaughlinCluster, study, 0, 0, study, 5.590563, 7.715044, -0.3831177, 20210928, 11:17:50.10426, 20.05075
0, McLaughlinCluster, study, 0, 0, study, 5.646176, 7.753082, -0.3561401, 20210928, 11:17:50.11779, 20.0647
0, McLaughlinCluster, study, 0, 0, study, 5.67968, 7.80078, -0.3408203, 20210928, 11:17:50.13145, 20.07862
0, McLaughlinCluster, study, 0, 0, study, 5.600704, 7.821343, -0.3081055, 20210928, 11:17:50.14558, 20.09252
0, McLaughlinCluster, study, 0, 0, study, 5.472098, 7.794736, -0.2960815, 20210928, 11:17:50.15957, 20.10645
0, McLaughlinCluster, study, 0, 0, study, 5.399022, 7.787397, -0.2576904, 20210928, 11:17:50.17355, 20.12044
0, McLaughlinCluster, study, 0, 0, study, 5.455291, 7.844138, -0.2286987, 20210928, 11:17:50.18717, 20.13436
0, McLaughlinCluster, study, 0, 0, study, 5.483036, 7.878297, -0.2000427, 20210928, 11:17:50.20148, 20.14832
0, McLaughlinCluster, study, 0, 0, study, 5.447714, 7.849039, -0.1692505, 20210928, 11:17:50.21536, 20.16219
0, McLaughlinCluster, study, 0, 0, study, 5.426175, 7.842093, -0.1367493, 20210928, 11:17:50.22912, 20.17615
0, McLaughlinCluster, study, 0, 0, study, 5.413178, 7.831571, -0.1273804, 20210928, 11:17:50.24328, 20.19006
0, McLaughlinCluster, study, 0, 0, study, 5.401776, 7.815604, -0.08816528, 20210928, 11:17:50.25713, 20.20396
0, McLaughlinCluster, study, 0, 0, study, 5.381948, 7.816229, -0.05627441, 20210928, 11:17:50.27090, 20.21807
0, McLaughlinCluster, study, 0, 0, study, 5.369091, 7.836935, -0.05038452, 20210928, 11:17:50.28532, 20.23191
0, McLaughlinCluster, study, 0, 0, study, 5.368449, 7.849536, -0.03820801, 20210928, 11:17:50.29929, 20.24578
0, McLaughlinCluster, study, 0, 0, study, 5.334977, 7.881461, -0.03890991, 20210928, 11:17:50.31290, 20.2597
0, McLaughlinCluster, study, 0, 0, study, 5.334219, 7.898506, -0.0300293, 20210928, 11:17:50.32685, 20.27368
0, McLaughlinCluster, study, 0, 0, study, 5.335481, 7.925789, -0.01712036, 20210928, 11:17:50.34073, 20.28754
0, McLaughlinCluster, study, 0, 0, study, 5.325066, 7.908545, 0.001716375, 20210928, 11:17:50.35463, 20.30142
0, McLaughlinCluster, study, 0, 0, study, 5.354269, 7.906982, -0.007049561, 20210928, 11:17:50.36828, 20.31536
0, McLaughlinCluster, study, 0, 0, study, 5.346808, 7.918633, -0.0008126708, 20210928, 11:17:50.38264, 20.32933
0, McLaughlinCluster, study, 0, 0, study, 5.28941, 7.923813, 0.02093322, 20210928, 11:17:50.39650, 20.3433
0, McLaughlinCluster, study, 0, 0, study, 5.266414, 7.927224, 0.0163548, 20210928, 11:17:50.41011, 20.35713
0, McLaughlinCluster, study, 0, 0, study, 5.311374, 7.939881, 0.02294992, 20210928, 11:17:50.42417, 20.37101
0, McLaughlinCluster, study, 0, 0, study, 5.355257, 7.946918, 0.03556446, 20210928, 11:17:50.43821, 20.38502
0, McLaughlinCluster, study, 0, 0, study, 5.38338, 7.91809, 0.024716, 20210928, 11:17:50.45186, 20.39893
0, McLaughlinCluster, study, 0, 0, study, 5.390866, 7.899659, 0.011033, 20210928, 11:17:50.46604, 20.41285
0, McLaughlinCluster, study, 0, 0, study, 5.396918, 7.889858, -0.0138855, 20210928, 11:17:50.48001, 20.42679
0, McLaughlinCluster, study, 0, 0, study, 5.395896, 7.897688, -0.05883789, 20210928, 11:17:50.49386, 20.44074
0, McLaughlinCluster, study, 0, 0, study, 5.3829, 7.916455, -0.128418, 20210928, 11:17:50.50742, 20.45454
0, McLaughlinCluster, study, 0, 0, study, 5.37903, 7.89587, -0.1530151, 20210928, 11:17:50.52169, 20.46851
0, McLaughlinCluster, study, 0, 0, study, 5.378961, 7.87864, -0.1855469, 20210928, 11:17:50.53565, 20.48244
0, McLaughlinCluster, study, 0, 0, study, 5.374135, 7.868716, -0.20224, 20210928, 11:17:50.54926, 20.49634
0, McLaughlinCluster, study, 0, 0, study, 5.369289, 7.875926, -0.2193298, 20210928, 11:17:50.56346, 20.51032
0, McLaughlinCluster, study, 0, 0, study, 5.372379, 7.916836, -0.2217712, 20210928, 11:17:50.57750, 20.52435
0, McLaughlinCluster, study, 0, 0, study, 5.384495, 7.959002, -0.216217, 20210928, 11:17:50.59088, 20.53802
0, McLaughlinCluster, study, 0, 0, study, 5.393566, 7.983734, -0.2160645, 20210928, 11:17:50.60560, 20.55253
0, McLaughlinCluster, study, 0, 0, study, 5.395216, 7.993187, -0.2026672, 20210928, 11:17:50.61930, 20.5659
0, McLaughlinCluster, study, 0, 0, study, 5.392994, 7.999453, -0.2013855, 20210928, 11:17:50.63292, 20.57993
0, McLaughlinCluster, study, 0, 0, study, 5.389585, 8.017771, -0.1823425, 20210928, 11:17:50.64704, 20.59386
0, McLaughlinCluster, study, 0, 0, study, 5.387242, 8.027022, -0.172821, 20210928, 11:17:50.66100, 20.60774
0, McLaughlinCluster, study, 0, 0, study, 5.382695, 8.044267, -0.1695251, 20210928, 11:17:50.67477, 20.62161
0, McLaughlinCluster, study, 0, 0, study, 5.386057, 8.049455, -0.1636353, 20210928, 11:17:50.68857, 20.63553
0, McLaughlinCluster, study, 0, 0, study, 5.383332, 8.051454, -0.1751709, 20210928, 11:17:50.70309, 20.64962
0, McLaughlinCluster, study, 0, 0, study, 5.363917, 8.050605, -0.1847839, 20210928, 11:17:50.71658, 20.66341
0, McLaughlinCluster, study, 0, 0, study, 5.341834, 8.055657, -0.1903076, 20210928, 11:17:50.73030, 20.67737
0, McLaughlinCluster, study, 0, 0, study, 5.333529, 8.075679, -0.1944275, 20210928, 11:17:50.74459, 20.69137
0, McLaughlinCluster, study, 0, 0, study, 5.338542, 8.106401, -0.1988831, 20210928, 11:17:50.75824, 20.7051
0, McLaughlinCluster, study, 0, 0, study, 5.328685, 8.131091, -0.1824951, 20210928, 11:17:50.77190, 20.71907
0, McLaughlinCluster, study, 0, 0, study, 5.313014, 8.106075, -0.1911316, 20210928, 11:17:50.78619, 20.73301
0, McLaughlinCluster, study, 0, 0, study, 5.337253, 8.105117, -0.1928711, 20210928, 11:17:50.80053, 20.74708
0, McLaughlinCluster, study, 0, 0, study, 5.38808, 8.129133, -0.219635, 20210928, 11:17:50.81414, 20.76093
0, McLaughlinCluster, study, 0, 0, study, 5.380774, 8.147794, -0.2313843, 20210928, 11:17:50.82767, 20.7748
0, McLaughlinCluster, study, 0, 0, study, 5.300836, 8.132336, -0.2342834, 20210928, 11:17:50.84181, 20.78869
0, McLaughlinCluster, study, 0, 0, study, 5.157148, 8.039159, -0.2116089, 20210928, 11:17:50.85580, 20.80264
0, McLaughlinCluster, study, 0, 0, study, 5.227268, 8.064419, -0.2020874, 20210928, 11:17:50.86950, 20.81658
0, McLaughlinCluster, study, 0, 0, study, 5.275945, 8.101344, -0.1891479, 20210928, 11:17:50.88369, 20.83054
0, McLaughlinCluster, study, 0, 0, study, 5.30965, 8.152326, -0.1675415, 20210928, 11:17:50.89762, 20.84443
0, McLaughlinCluster, study, 0, 0, study, 5.29416, 8.179629, -0.1502686, 20210928, 11:17:50.91132, 20.85847
0, McLaughlinCluster, study, 0, 0, study, 5.288736, 8.184234, -0.1278687, 20210928, 11:17:50.92547, 20.87226
0, McLaughlinCluster, study, 0, 0, study, 5.291304, 8.162785, -0.1029358, 20210928, 11:17:50.93940, 20.88627
0, McLaughlinCluster, study, 0, 0, study, 5.290786, 8.168926, -0.09768677, 20210928, 11:17:50.95333, 20.90011
0, McLaughlinCluster, study, 0, 0, study, 5.282045, 8.163364, -0.1068115, 20210928, 11:17:50.96699, 20.91406
0, McLaughlinCluster, study, 0, 0, study, 5.258904, 8.170358, -0.1278076, 20210928, 11:17:50.98109, 20.92797
0, McLaughlinCluster, study, 0, 0, study, 5.240166, 8.190907, -0.1534119, 20210928, 11:17:50.99492, 20.94185
0, McLaughlinCluster, study, 0, 0, study, 5.215337, 8.193553, -0.1818848, 20210928, 11:17:51.00865, 20.95573
0, McLaughlinCluster, study, 0, 0, study, 5.178094, 8.186885, -0.1791382, 20210928, 11:17:51.02281, 20.96967
0, McLaughlinCluster, study, 0, 0, study, 5.15144, 8.161706, -0.1855164, 20210928, 11:17:51.03688, 20.98366
0, McLaughlinCluster, study, 0, 0, study, 5.164094, 8.122503, -0.1921387, 20210928, 11:17:51.05057, 20.99766
0, McLaughlinCluster, study, 0, 0, study, 5.178243, 8.128901, -0.2008667, 20210928, 11:17:51.06506, 21.01147
0, McLaughlinCluster, study, 0, 0, study, 5.176341, 8.154824, -0.2038879, 20210928, 11:17:51.07863, 21.02543
0, McLaughlinCluster, study, 0, 0, study, 5.08831, 8.171496, -0.2052307, 20210928, 11:17:51.09221, 21.0393
0, McLaughlinCluster, study, 0, 0, study, 5.061832, 8.173759, -0.2130432, 20210928, 11:17:51.10637, 21.05322
0, McLaughlinCluster, study, 0, 0, study, 5.0628, 8.207605, -0.2064819, 20210928, 11:17:51.12043, 21.06714
0, McLaughlinCluster, study, 0, 0, study, 5.050806, 8.205523, -0.2122498, 20210928, 11:17:51.13423, 21.0811
0, McLaughlinCluster, study, 0, 0, study, 5.037626, 8.183389, -0.1996155, 20210928, 11:17:51.14783, 21.09503
0, McLaughlinCluster, study, 0, 0, study, 5.025775, 8.173348, -0.1930542, 20210928, 11:17:51.16214, 21.10896
0, McLaughlinCluster, study, 0, 0, study, 5.009817, 8.176431, -0.192749, 20210928, 11:17:51.17605, 21.12287
0, McLaughlinCluster, study, 0, 0, study, 4.995511, 8.197963, -0.1741028, 20210928, 11:17:51.18964, 21.13683
0, McLaughlinCluster, study, 0, 0, study, 4.964008, 8.232851, -0.1820068, 20210928, 11:17:51.20390, 21.15077
