1, RaunerFirst, RaunerFirst, 90, 90, right, -5.282593, -7.81546, 140.7942, 20210825, 09:46:17.58067, 643.3322
1, RaunerFirst, RaunerFirst, 90, 90, right, -5.247467, -7.106964, 143.4505, 20210825, 09:46:17.59455, 643.3461
1, RaunerFirst, RaunerFirst, 90, 90, right, -5.164429, -6.412872, 145.9532, 20210825, 09:46:17.60857, 643.36
1, RaunerFirst, RaunerFirst, 90, 90, right, -5.050873, -5.710388, 148.2598, 20210825, 09:46:17.62210, 643.3738
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.864594, -5.012695, 150.3948, 20210825, 09:46:17.63628, 643.3878
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.610748, -4.306763, 152.2062, 20210825, 09:46:17.65022, 643.4016
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.393921, -3.683868, 153.8313, 20210825, 09:46:17.66384, 643.4156
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.223938, -3.111938, 155.2517, 20210825, 09:46:17.67841, 643.4296
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.090454, -2.647095, 156.3598, 20210825, 09:46:17.69227, 643.4436
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.947144, -2.308258, 157.3935, 20210825, 09:46:17.70571, 643.4575
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.789673, -2.030792, 158.1317, 20210825, 09:46:17.72018, 643.4713
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.594391, -1.693115, 158.6665, 20210825, 09:46:17.73379, 643.4852
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.452454, -1.340576, 159.0614, 20210825, 09:46:17.74789, 643.4994
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.390289, -1.043274, 159.3705, 20210825, 09:46:17.76191, 643.5132
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.420258, -0.9058838, 159.478, 20210825, 09:46:17.77561, 643.527
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.486115, -0.8245544, 159.5753, 20210825, 09:46:17.78949, 643.541
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.55545, -0.7984924, 159.5441, 20210825, 09:46:17.80325, 643.555
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.564697, -0.7458191, 159.4976, 20210825, 09:46:17.81735, 643.5688
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.559052, -0.7070923, 159.3715, 20210825, 09:46:17.83138, 643.5827
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.636719, -0.7085876, 159.236, 20210825, 09:46:17.84499, 643.5966
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.728729, -0.7662659, 159.0837, 20210825, 09:46:17.85910, 643.6106
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.804962, -0.8271179, 158.9539, 20210825, 09:46:17.87297, 643.6245
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.880066, -0.9463196, 158.782, 20210825, 09:46:17.88672, 643.6384
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.93866, -1.051422, 158.5841, 20210825, 09:46:17.90079, 643.6523
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.963898, -1.156189, 158.3937, 20210825, 09:46:17.91519, 643.6663
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.009125, -1.324799, 158.1836, 20210825, 09:46:17.92891, 643.6802
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.058838, -1.458679, 157.9696, 20210825, 09:46:17.94248, 643.6942
2, Fairbanks, Fairbanks, -90, -90, left, 2.368331, -13.03021, -94.20581, 20210825, 09:46:21.01973, 646.7712
2, Fairbanks, Fairbanks, -90, -90, left, 2.373667, -13.01959, -94.21262, 20210825, 09:46:21.03370, 646.7852
2, Fairbanks, Fairbanks, -90, -90, left, 2.364211, -13.01599, -94.22122, 20210825, 09:46:21.04737, 646.7991
2, Fairbanks, Fairbanks, -90, -90, left, 2.366268, -13.00812, -94.23193, 20210825, 09:46:21.06167, 646.813
2, Fairbanks, Fairbanks, -90, -90, left, 2.362365, -13.00336, -94.25314, 20210825, 09:46:21.07553, 646.827
2, Fairbanks, Fairbanks, -90, -90, left, 2.358835, -12.99014, -94.27328, 20210825, 09:46:21.08930, 646.8408
2, Fairbanks, Fairbanks, -90, -90, left, 2.366094, -12.9744, -94.29227, 20210825, 09:46:21.10302, 646.8547
2, Fairbanks, Fairbanks, -90, -90, left, 2.357471, -12.93274, -94.32007, 20210825, 09:46:21.11711, 646.8686
2, Fairbanks, Fairbanks, -90, -90, left, 2.35525, -12.90378, -94.33859, 20210825, 09:46:21.13109, 646.8826
2, Fairbanks, Fairbanks, -90, -90, left, 2.373901, -12.88821, -94.36658, 20210825, 09:46:21.14477, 646.8965
2, Fairbanks, Fairbanks, -90, -90, left, 2.390706, -12.84879, -94.43137, 20210825, 09:46:21.15896, 646.9105
2, Fairbanks, Fairbanks, -90, -90, left, 2.354485, -12.84909, -94.54254, 20210825, 09:46:21.17309, 646.9244
2, Fairbanks, Fairbanks, -90, -90, left, 2.325633, -12.80908, -94.70477, 20210825, 09:46:21.18695, 646.9387
2, Fairbanks, Fairbanks, -90, -90, left, 2.300398, -12.81485, -94.92218, 20210825, 09:46:21.20085, 646.9523
2, Fairbanks, Fairbanks, -90, -90, left, 2.28093, -12.78876, -95.23782, 20210825, 09:46:21.21463, 646.9661
2, Fairbanks, Fairbanks, -90, -90, left, 2.313991, -12.72986, -95.71445, 20210825, 09:46:21.22864, 646.9801
2, Fairbanks, Fairbanks, -90, -90, left, 2.358719, -12.66412, -96.35809, 20210825, 09:46:21.24235, 646.994
2, Fairbanks, Fairbanks, -90, -90, left, 2.349247, -12.6077, -97.21387, 20210825, 09:46:21.25636, 647.0079
2, Fairbanks, Fairbanks, -90, -90, left, 2.362724, -12.59439, -98.27579, 20210825, 09:46:21.27042, 647.0218
2, Fairbanks, Fairbanks, -90, -90, left, 2.439572, -12.66846, -99.63312, 20210825, 09:46:21.28404, 647.0357
2, Fairbanks, Fairbanks, -90, -90, left, 2.49814, -12.80798, -101.3132, 20210825, 09:46:21.29825, 647.0497
2, Fairbanks, Fairbanks, -90, -90, left, 2.446879, -12.98492, -103.2277, 20210825, 09:46:21.31215, 647.0636
2, Fairbanks, Fairbanks, -90, -90, left, 2.355628, -13.16638, -105.3833, 20210825, 09:46:21.32609, 647.0775
2, Fairbanks, Fairbanks, -90, -90, left, 2.331187, -13.28741, -107.7593, 20210825, 09:46:21.34004, 647.0914
2, Fairbanks, Fairbanks, -90, -90, left, 2.339229, -13.41138, -110.3171, 20210825, 09:46:21.35394, 647.1054
2, Fairbanks, Fairbanks, -90, -90, left, 2.361593, -13.55331, -113.2202, 20210825, 09:46:21.36755, 647.1192
2, Fairbanks, Fairbanks, -90, -90, left, 2.335999, -13.73489, -116.192, 20210825, 09:46:21.38179, 647.1331
2, Fairbanks, Fairbanks, -90, -90, left, 2.396286, -13.9321, -119.4328, 20210825, 09:46:21.39571, 647.1472
2, Fairbanks, Fairbanks, -90, -90, left, 2.516743, -14.12805, -122.8694, 20210825, 09:46:21.40977, 647.1611
2, Fairbanks, Fairbanks, -90, -90, left, 2.612088, -14.2699, -126.2882, 20210825, 09:46:21.42334, 647.175
2, Fairbanks, Fairbanks, -90, -90, left, 2.676645, -14.34717, -129.7686, 20210825, 09:46:21.43748, 647.189
2, Fairbanks, Fairbanks, -90, -90, left, 2.793471, -14.37814, -133.2256, 20210825, 09:46:21.45133, 647.2029
2, Fairbanks, Fairbanks, -90, -90, left, 2.939671, -14.30792, -136.7381, 20210825, 09:46:21.46502, 647.2167
2, Fairbanks, Fairbanks, -90, -90, left, 3.041155, -14.24899, -140.2678, 20210825, 09:46:21.47915, 647.2307
2, Fairbanks, Fairbanks, -90, -90, left, 3.201627, -14.20657, -143.7664, 20210825, 09:46:21.49311, 647.2446
2, Fairbanks, Fairbanks, -90, -90, left, 3.371614, -14.12866, -147.2106, 20210825, 09:46:21.50687, 647.2586
2, Fairbanks, Fairbanks, -90, -90, left, 3.531386, -13.99802, -150.4726, 20210825, 09:46:21.52127, 647.2726
2, Fairbanks, Fairbanks, -90, -90, left, 3.658924, -13.81824, -153.5807, 20210825, 09:46:21.53527, 647.2864
2, Fairbanks, Fairbanks, -90, -90, left, 3.765327, -13.52905, -156.51, 20210825, 09:46:21.54884, 647.3003
2, Fairbanks, Fairbanks, -90, -90, left, 3.859298, -13.21698, -159.2593, 20210825, 09:46:21.56282, 647.3142
2, Fairbanks, Fairbanks, -90, -90, left, 3.95122, -13.01538, -161.7545, 20210825, 09:46:21.57722, 647.3287
2, Fairbanks, Fairbanks, -90, -90, left, 4.051317, -12.81699, -164.123, 20210825, 09:46:21.59061, 647.3421
2, Fairbanks, Fairbanks, -90, -90, left, 4.104147, -12.60562, -166.2172, 20210825, 09:46:21.60420, 647.356
2, Fairbanks, Fairbanks, -90, -90, left, 4.04859, -12.38333, -167.9811, 20210825, 09:46:21.61843, 647.3699
2, Fairbanks, Fairbanks, -90, -90, left, 3.904462, -12.13187, -169.54, 20210825, 09:46:21.63236, 647.3839
2, Fairbanks, Fairbanks, -90, -90, left, 3.742573, -11.84262, -170.9253, 20210825, 09:46:21.64637, 647.3978
2, Fairbanks, Fairbanks, -90, -90, left, 3.664287, -11.51785, -172.0836, 20210825, 09:46:21.66040, 647.4117
