1, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, -3.28775, 5.352252, 169.4706, 5.262329, 708.3227
2, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, open, -0.6962891, -3.638794, -165.8787, 1.238953, 718.1931
3, Hop2, -1, Hop2, 89, 90, left, 3, open, open, -3.530304, 1.729571, 175.0201, 1.726196, 724.1237
4, NeutralFairbanks, 0, Fairbanks, 90, 90, left, 4, closed, closed, -3.240082, 1.440261, 178.1901, 1.392395, 730.4628
5, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 90, -90, right, 4, closed, closed, -2.679199, 1.392238, 3.107025, 1.030518, 735.1553
6, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, -3.482483, -0.952179, -174.7034, 1.935364, 740.3621
7, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, closed, -2.79068, 3.783872, 176.6729, 1.252991, 744.5106
8, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, closed, -5.377106, 2.481524, 173.5564, 2.18573, 750.1906
9, MooreLot, 180, MooreLot, 90, -90, left, 1, closed, closed, -4.728302, -0.5865173, 11.15659, 1.308716, 755.5087
10, Neutral53Commons, 0, 53Commons, 90, 90, right, 2, open, open, -4.651215, 3.108979, 181.6262, 1.267029, 760.4174
11, NeutralBakerBerryCharter, 0, BakerBerryCharter, 0, 90, right, 2, closed, closed, -5.834686, 2.977037, 86.05395, 1.378235, 764.7269
12, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, left, 1, closed, closed, -1.479156, -13.85495, 10.56635, 1.503601, 769.2654
13, RaunerBackHall, 0, RaunerBackHall, -90, -90, left, 1, closed, closed, 0.5864374, -2.261749, -171.5675, 1.266846, 773.9431
14, PineEntrance, 0, PineEntrance, 90, 90, left, 3, closed, closed, -5.148224, 7.751727, 178.1279, 1.447998, 778.1474
15, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, closed, -0.6177368, 2.127805, -82.5968, 1.225098, 782.0593
16, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, -0.5345154, 2.555593, -176.5522, 1.141602, 785.8598
17, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, right, 1, open, open, -2.972809, 8.257741, 348.4167, 1.099854, 789.7162
18, 53Commons, 0, 53Commons, 90, 90, right, 1, open, open, -4.563171, 1.779848, 172.6026, 1.740295, 794.0736
19, Hop4, -3, Hop4, -93, -90, right, 3, open, open, -4.008362, 1.885181, -168.1995, 1.308777, 798.264
20, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, -4.008392, 5.426855, 347.7112, 1.239136, 802.2595
21, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, right, 1, open, open, -4.63385, 6.051637, 344.7985, 1.099976, 806.0045
22, AllenSt, 0, AllenSt, -90, -90, right, 3, open, open, -3.273102, 1.257603, -166.1112, 1.25293, 810.7238
23, Hop4, -3, Hop4, 87, 90, right, 1, closed, closed, -6.123871, 5.956324, 175.2016, 1.072083, 814.2043
24, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, left, 1, closed, closed, -0.8500671, 2.7527, -1.053345, 0.9746704, 817.8517
25, RollinsChapel3, 177, RollinsChapel3, 267, 90, right, 1, closed, closed, -1.333984, 4.752956, 354.1239, 1.115479, 822.1134
26, Umplebys, -50, Umplebys, 40, 90, right, 1, closed, closed, -3.823578, 3.246423, 127.0619, 0.9466553, 825.6337
27, NeutralBakerBerry2nd, 0, BakerBerry2nd, 184, 90, right, 2, open, open, -3.983398, 2.77294, 262.8809, 1.559448, 829.9091
28, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, right, 3, closed, closed, -3.886688, -4.865295, 11.10736, 1.197327, 834.8791
29, NeutralZimmerman, 0, Zimmerman, -190, -90, left, 2, closed, closed, -0.2262268, -8.939362, -268.1338, 1.086243, 838.5472
30, RaunerBackHall, 0, RaunerBackHall, -90, -90, left, 1, closed, closed, 6.081791, -5.848358, -170.6016, 1.016418, 842.1251
31, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, open, -2.551697, 5.339259, -257.4961, 1.392212, 846.5521
32, Umplebys, -50, Umplebys, 40, 90, right, 1, closed, closed, -4.914703, 1.472629, 123.8246, 1.030334, 850.5197
33, NeutralBakerBerryCharter, 0, BakerBerryCharter, -180, -90, left, 2, open, open, -3.087097, 6.1854, -260.1517, 1.197388, 854.8074
34, AllenSt, 0, AllenSt, -90, -90, left, 1, open, open, -5.375763, -0.8254395, -171.6094, 0.9606934, 858.3992
35, RaunerFirst, 0, RaunerFirst, 90, 90, left, 3, open, open, -5.069794, 1.967036, 168.9665, 2.185913, 863.968
36, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, closed, -2.541534, 0.3540924, -83.84973, 1.044128, 867.671
37, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, left, 1, closed, closed, 0.161988, -3.550873, 3.070007, 1.08606, 871.2767
38, Hop2, -1, Hop2, -91, -90, left, 1, closed, closed, 1.874976, -5.510101, -165.7582, 0.9745483, 874.7431
39, Umplebys, -50, Umplebys, -140, -90, left, 1, open, open, -5.306244, -2.4505, -217.3983, 1.225159, 878.5159
40, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, left, 1, closed, closed, -3.178314, -0.0375061, 15.22668, 1.072021, 882.2747
41, NeutralUmplebys, 0, Umplebys, -140, -90, right, 4, open, open, -3.247467, -2.35788, -212.2956, 1.642761, 886.5608
42, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -4.353729, -0.3575745, 166.5338, 1.740234, 890.8069
43, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, right, 1, closed, closed, -7.034302, 2.146128, 79.43116, 1.225159, 894.691
44, NeutralPineEntrance, 0, PineEntrance, 90, 90, right, 2, closed, closed, -5.600494, 1.17347, 163.1014, 1.54541, 898.6724
45, 53Commons, 0, 53Commons, 90, 90, left, 3, open, open, -7.596436, 1.075922, 168.2348, 1.141602, 902.334
46, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 262, 90, right, 2, open, closed, -4.620422, 2.865156, 334.269, 1.503723, 906.3565
47, Fairbanks, 0, Fairbanks, -90, -90, right, 3, open, open, 3.414748, -4.406555, -168.1453, 1.308594, 910.4913
48, NeutralMaynard, 0, Maynard, 90, 90, right, 2, closed, closed, -9.997253, 4.131483, 176.6907, 1.322632, 914.319
49, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, left, 3, open, open, -4.174774, 9.904484, 351.9999, 1.378357, 918.2867
50, Hop2, -1, Hop2, -91, -90, left, 1, closed, closed, 0.08968936, -1.258759, -167.1589, 0.8904419, 921.9481
51, NeutralPineBackHall, 0, PineBackHall, 270, 90, right, 2, closed, closed, -5.229492, 7.430856, 356.4937, 1.030396, 925.5568
52, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, closed, -2.297699, -0.6894836, -260.5092, 0.8491821, 929.0513
53, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, closed, 2.260899, -2.048035, -162.8993, 1.225098, 939.3949
54, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -4.887268, 5.123327, 256.9012, 1.113831, 943.3904
55, Hop4, -3, Hop4, -93, -90, left, 1, open, open, -4.01709, 3.655445, -168.8765, 0.9049683, 946.8987
56, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, -4.555786, 6.30361, 342.0419, 1.267029, 950.6436
