0, McLaughlinCluster, study, 0, 0, study, -2.385529, -6.250763, 0.1595536, 20211019, 11:47:56.46913, 26.495
0, McLaughlinCluster, study, 0, 0, study, -2.536102, -6.001251, 0.6263893, 20211019, 11:47:56.48335, 26.50892
0, McLaughlinCluster, study, 0, 0, study, -2.770782, -5.687988, 1.179075, 20211019, 11:47:56.49713, 26.52269
0, McLaughlinCluster, study, 0, 0, study, -2.999268, -5.431305, 1.78855, 20211019, 11:47:56.51077, 26.53661
0, McLaughlinCluster, study, 0, 0, study, -3.347687, -5.24939, 2.471177, 20211019, 11:47:56.52559, 26.55118
0, McLaughlinCluster, study, 0, 0, study, -3.80603, -4.996918, 3.298694, 20211019, 11:47:56.53935, 26.56463
0, McLaughlinCluster, study, 0, 0, study, -4.139282, -4.799469, 4.265395, 20211019, 11:47:56.55265, 26.57848
0, McLaughlinCluster, study, 0, 0, study, -4.323029, -4.637848, 5.332689, 20211019, 11:47:56.56685, 26.59239
0, McLaughlinCluster, study, 0, 0, study, -4.588318, -4.341156, 6.306379, 20211019, 11:47:56.58085, 26.60629
0, McLaughlinCluster, study, 0, 0, study, -4.932434, -3.957642, 7.249468, 20211019, 11:47:56.59470, 26.62023
0, McLaughlinCluster, study, 0, 0, study, -5.171417, -3.551086, 8.222174, 20211019, 11:47:56.60836, 26.63417
0, McLaughlinCluster, study, 0, 0, study, -5.328064, -3.083344, 9.180064, 20211019, 11:47:56.62284, 26.64809
0, McLaughlinCluster, study, 0, 0, study, -5.519104, -2.492676, 10.16653, 20211019, 11:47:56.63640, 26.66193
0, McLaughlinCluster, study, 0, 0, study, -5.651093, -1.863098, 11.09507, 20211019, 11:47:56.65046, 26.67601
0, McLaughlinCluster, study, 0, 0, study, -5.715576, -1.154999, 11.97301, 20211019, 11:47:56.66461, 26.68987
0, McLaughlinCluster, study, 0, 0, study, -5.733734, -0.42099, 12.71257, 20211019, 11:47:56.67847, 26.70376
0, McLaughlinCluster, study, 0, 0, study, -5.751007, 0.2527872, 13.36933, 20211019, 11:47:56.69183, 26.71766
0, McLaughlinCluster, study, 0, 0, study, -5.706848, 0.8324522, 13.90203, 20211019, 11:47:56.70639, 26.73167
0, McLaughlinCluster, study, 0, 0, study, -5.671326, 1.290472, 14.32701, 20211019, 11:47:56.72042, 26.74566
0, McLaughlinCluster, study, 0, 0, study, -5.670074, 1.620781, 14.65434, 20211019, 11:47:56.73360, 26.75946
0, McLaughlinCluster, study, 0, 0, study, -5.695099, 1.75728, 14.83854, 20211019, 11:47:56.74805, 26.7733
0, McLaughlinCluster, study, 0, 0, study, -5.773682, 1.850876, 14.96979, 20211019, 11:47:56.76161, 26.78726
0, McLaughlinCluster, study, 0, 0, study, -5.827362, 1.934224, 14.99801, 20211019, 11:47:56.77563, 26.80119
