1, RaunerFirst, RaunerFirst, 90, 90, right, -3.360382, -0.9233704, 172.0732, 20210928, 11:27:30.31636, 598.0012
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.32489, -0.950592, 171.909, 20210928, 11:27:30.33007, 598.0151
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.264709, -0.9308167, 171.7572, 20210928, 11:27:30.34449, 598.0291
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.195648, -0.9059753, 171.6313, 20210928, 11:27:30.35802, 598.0428
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.173767, -0.8740845, 171.4965, 20210928, 11:27:30.37165, 598.0567
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.162537, -0.8365479, 171.3641, 20210928, 11:27:30.38584, 598.0707
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.225403, -0.8392639, 171.2451, 20210928, 11:27:30.39984, 598.0847
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.254028, -0.8849487, 171.1522, 20210928, 11:27:30.41357, 598.0986
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.188568, -0.9367676, 171.0706, 20210928, 11:27:30.42787, 598.1126
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.113617, -1.00116, 170.9983, 20210928, 11:27:30.44170, 598.1265
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.105713, -0.9875793, 170.9352, 20210928, 11:27:30.45560, 598.1404
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.096497, -0.9125671, 170.8946, 20210928, 11:27:30.46922, 598.1544
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.047577, -0.8826599, 170.8833, 20210928, 11:27:30.48340, 598.1682
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.016174, -0.8858032, 170.8565, 20210928, 11:27:30.49738, 598.1822
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.01712, -0.8408813, 170.854, 20210928, 11:27:30.51098, 598.1961
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.006653, -0.851593, 170.825, 20210928, 11:27:30.52510, 598.21
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.983612, -0.8433533, 170.7687, 20210928, 11:27:30.53920, 598.2239
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.970581, -0.8383789, 170.6874, 20210928, 11:27:30.55277, 598.2379
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.956268, -0.890686, 170.6246, 20210928, 11:27:30.56697, 598.2517
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.938538, -0.90271, 170.5716, 20210928, 11:27:30.58092, 598.2656
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.928558, -0.89505, 170.504, 20210928, 11:27:30.59518, 598.28
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.952606, -0.8562012, 170.435, 20210928, 11:27:30.60845, 598.2934
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.997803, -0.8053589, 170.3555, 20210928, 11:27:30.62294, 598.3077
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.04483, -0.7852478, 170.2738, 20210928, 11:27:30.63669, 598.3214
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.034027, -0.7664185, 170.1855, 20210928, 11:27:30.65040, 598.3353
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.015045, -0.7484741, 170.13, 20210928, 11:27:30.66445, 598.3492
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.999573, -0.6989441, 170.0557, 20210928, 11:27:30.67870, 598.3632
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.996948, -0.6592712, 170.006, 20210928, 11:27:30.69186, 598.3769
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.98465, -0.6065674, 169.9513, 20210928, 11:27:30.70645, 598.3909
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.924835, -0.5832214, 169.8961, 20210928, 11:27:30.72018, 598.4049
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.914917, -0.5640869, 169.8789, 20210928, 11:27:30.73366, 598.4188
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.938324, -0.5690613, 169.8405, 20210928, 11:27:30.74805, 598.4329
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.927582, -0.5183105, 169.8315, 20210928, 11:27:30.76175, 598.4465
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.878998, -0.4617004, 169.7898, 20210928, 11:27:30.77584, 598.4606
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.844269, -0.395874, 169.7172, 20210928, 11:27:30.78953, 598.4746
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.87793, -0.3709412, 169.6726, 20210928, 11:27:30.80358, 598.4883
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.88324, -0.3402405, 169.6425, 20210928, 11:27:30.81765, 598.5024
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.874969, -0.3113098, 169.5954, 20210928, 11:27:30.83114, 598.5163
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.833221, -0.2783813, 169.5388, 20210928, 11:27:30.84549, 598.5302
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.852081, -0.2593689, 169.5044, 20210928, 11:27:30.85934, 598.5441
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.888458, -0.2440796, 169.4702, 20210928, 11:27:30.87283, 598.5579
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.87149, -0.237793, 169.4464, 20210928, 11:27:30.88708, 598.572
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.851654, -0.2446899, 169.4021, 20210928, 11:27:30.90118, 598.5859
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.863922, -0.2269287, 169.382, 20210928, 11:27:30.91475, 598.5999
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.845917, -0.2019043, 169.3539, 20210928, 11:27:30.92896, 598.6138
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.795258, -0.1937561, 169.3146, 20210928, 11:27:30.94336, 598.6278
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.791931, -0.1865234, 169.2911, 20210928, 11:27:30.95680, 598.6415
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.805603, -0.1993408, 169.2735, 20210928, 11:27:30.97044, 598.6555
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.798096, -0.1902771, 169.2653, 20210928, 11:27:30.98460, 598.6694
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.776947, -0.1758728, 169.2545, 20210928, 11:27:30.99857, 598.6834
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.756683, -0.1599731, 169.2292, 20210928, 11:27:31.01224, 598.6973
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.731323, -0.1725159, 169.2206, 20210928, 11:27:31.02660, 598.7113
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.732605, -0.1974487, 169.205, 20210928, 11:27:31.04030, 598.7251
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.71524, -0.1979675, 169.1864, 20210928, 11:27:31.05395, 598.739
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.692688, -0.1896057, 169.1625, 20210928, 11:27:31.06816, 598.7529
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.676849, -0.1470032, 169.1273, 20210928, 11:27:31.08217, 598.7669
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.667816, -0.1052246, 169.0851, 20210928, 11:27:31.09599, 598.7808
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.669556, -0.1022644, 169.0428, 20210928, 11:27:31.10965, 598.7947
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.665161, -0.09732056, 168.9978, 20210928, 11:27:31.12381, 598.8087
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.673004, -0.09268188, 168.9359, 20210928, 11:27:31.13777, 598.8227
2, Fairbanks, Fairbanks, -90, -90, left, 4.626246, -1.837708, -91.88074, 20210928, 11:27:38.12679, 605.8115
2, Fairbanks, Fairbanks, -90, -90, left, 4.560703, -1.751465, -91.73218, 20210928, 11:27:38.14076, 605.8255
2, Fairbanks, Fairbanks, -90, -90, left, 4.436307, -1.785187, -91.78723, 20210928, 11:27:38.15431, 605.8394
2, Fairbanks, Fairbanks, -90, -90, left, 4.304209, -1.82785, -91.9436, 20210928, 11:27:38.16851, 605.8533
2, Fairbanks, Fairbanks, -90, -90, left, 4.253371, -1.823059, -92.29858, 20210928, 11:27:38.18236, 605.8672
2, Fairbanks, Fairbanks, -90, -90, left, 4.280423, -1.716553, -92.75635, 20210928, 11:27:38.19639, 605.8812
2, Fairbanks, Fairbanks, -90, -90, left, 4.310961, -1.618744, -93.31293, 20210928, 11:27:38.21008, 605.8952
2, Fairbanks, Fairbanks, -90, -90, left, 4.40203, -1.541199, -94.08957, 20210928, 11:27:38.22422, 605.909
2, Fairbanks, Fairbanks, -90, -90, left, 4.430776, -1.479645, -95.01489, 20210928, 11:27:38.23801, 605.9229
2, Fairbanks, Fairbanks, -90, -90, left, 4.31736, -1.308868, -96.02377, 20210928, 11:27:38.25168, 605.9368
