48, NeutralMaynard, 0, Maynard, 90, 90, right, 2, closed, closed, -0.2741394, 4.782988, 160.6185, 0.8911743, 870.7702
49, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, left, 3, open, open, -1.435913, 4.305509, 341.399, 1.350342, 874.9887
50, Hop2, -1, Hop2, -91, -90, left, 1, closed, closed, 10.41581, 6.624599, -157.4981, 0.696167, 878.9009
51, NeutralPineBackHall, 0, PineBackHall, 270, 90, right, 2, closed, closed, 3.259092, 5.932396, 342.2945, 0.9051514, 882.554
52, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, open, 8.998978, 6.656019, -245.2321, 0.5847168, 885.7562
53, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, open, 8.142442, 6.101708, -158.8259, 0.9744263, 901.001
54, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -1.105927, 3.499873, 256.6232, 0.5570679, 904.3842
55, Hop4, -3, Hop4, -93, -90, left, 1, open, open, 7.233627, 6.417077, -158.3423, 0.5709229, 907.4053
56, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, 1.682484, 5.764256, 339.8229, 0.8910522, 910.6492
57, Hop4, -3, Hop4, -93, -90, left, 1, open, open, 4.557865, 6.523106, -156.0945, 0.4038086, 913.4894
58, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, open, 4.655608, 7.148073, -153.1776, 0.4593506, 916.399
59, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, 1.150166, 5.039965, 61.25102, 0.4179688, 919.5875
60, NeutralAllenSt, 0, AllenSt, -90, -90, right, 4, open, open, 4.453205, 7.677141, -144.4997, 1.016418, 923.3083
61, NeutralBakerBerry2nd, 0, BakerBerry2nd, 4, -90, left, 2, closed, closed, 6.359864, 6.185687, -48.39081, 0.5986938, 926.4269
62, NeutralPineBackHall, 0, PineBackHall, 270, 90, left, 4, closed, open, 1.254538, 2.256446, 342.5408, 1.322632, 930.4366
63, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, 7.162698, 7.166403, 23.03094, 0.668396, 934.2374
64, NeutralRaunerFirst, 0, RaunerFirst, 90, 90, left, 4, open, closed, 0.3672754, 2.64344, 159.2429, 1.40625, 938.339
65, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, closed, 9.259337, 6.447696, -155.125, 1.002441, 943.0727
66, Umplebys, -50, Umplebys, 40, 90, right, 1, closed, closed, 0.09616278, 4.225011, 113.8183, 0.7796631, 946.8039
67, RaunerBackHall, 0, RaunerBackHall, -90, -90, right, 3, closed, closed, 5.79149, 7.572491, -150.1239, 1.392456, 950.9667
68, NeutralMooreLot, 0, MooreLot, 270, 90, right, 2, open, open, -0.8721008, 5.711372, 340.5508, 0.598877, 954.0098
69, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -0.817627, 5.09892, 251.9286, 0.6403198, 957.1978
70, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 262, 90, left, 4, open, open, -0.8340149, 4.722693, 329.5195, 1.350525, 961.0405
71, NeutralFairbanks, 0, Fairbanks, 90, 90, right, 2, closed, open, -0.8796082, 5.392019, 161.5724, 1.754333, 965.5374
72, NeutralPineEntrance, 0, PineEntrance, 90, 90, left, 4, closed, closed, 1.632183, 6.011271, 153.6044, 1.2948, 969.6027
73, NeutralRaunerBackHall, 0, RaunerBackHall, 90, 90, left, 4, open, open, -0.6405029, 6.826196, 156.834, 1.35022, 973.9926
74, Hop2, -1, Hop2, 89, 90, right, 1, open, open, -0.3054504, 8.565531, 160.9496, 0.5708008, 976.9719
75, NeutralFairbanks, 0, Fairbanks, -90, -90, right, 4, open, open, 4.603604, 10.05966, -139.6489, 1.04425, 980.5359
76, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, -0.7149353, 6.977869, 338.9197, 0.7241821, 983.8495
77, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 82, -90, left, 2, closed, open, 6.742272, 7.771937, 23.50403, 1.420105, 987.873
78, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, open, 6.575403, 4.481159, -151.9554, 1.00238, 991.3815
79, NeutralRollinsChapel3, 0, RollinsChapel3, 267, 90, right, 2, closed, open, -0.7615967, 6.375677, 339.0157, 0.9745483, 994.7668
71, NeutralFairbanks, 0, Fairbanks, 90, 90, right, 2, closed, open, -0.8796082, 5.392019, 161.5724, 1.754333, 965.5374
80, NeutralHop2, 0, Hop2, 89, 90, right, 2, open, open, 0.354439, 4.024786, 165.4779, 0.9329224, 998.2659
81, Zimmerman, -100, Zimmerman, -10, 90, left, 3, open, open, -0.744873, 3.984346, 59.14981, 1.531433, 1002.234
82, Hop2, -1, Hop2, 89, 90, right, 1, open, open, -0.6091003, 3.976943, 161.3812, 0.8215332, 1005.673
83, Umplebys, -50, Umplebys, -140, -90, left, 1, open, open, 7.407309, 7.435073, -201.528, 0.6125488, 1008.861
84, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, -0.3444824, 6.610226, 337.8621, 0.710144, 1012.202
85, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, open, 5.446461, 6.137902, -242.817, 0.7518311, 1015.766
86, 53Commons, 0, 53Commons, 90, 90, right, 1, open, open, -0.2862854, 6.360526, 163.7073, 0.5709839, 1018.857
87, NeutralRollinsChapel3, 0, RollinsChapel3, 87, -90, right, 4, open, open, 7.305947, 7.059973, 27.74213, 0.8632813, 1022.268
88, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, open, -0.991394, 3.917614, 160.0617, 0.7657471, 1025.609
89, RaunerBackHall, 0, RaunerBackHall, -90, -90, left, 1, closed, closed, 5.083137, 8.020169, -136.6405, 0.9333496, 1029.606
90, NeutralAllenSt, 0, AllenSt, 90, 90, right, 2, closed, closed, -0.3859863, 4.658333, 156.1254, 1.044189, 1032.988
91, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 82, -90, right, 4, closed, open, 4.366693, 9.61175, 29.27887, 1.447998, 1036.886
92, Maynard, 0, Maynard, 90, 90, right, 1, closed, closed, -2.839935, 3.481903, 164.3233, 0.723999, 1040.437
93, AllenSt, 0, AllenSt, -90, -90, left, 1, open, open, 10.01302, 3.774595, -155.2941, 0.5706787, 1043.416
94, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, closed, 12.15935, 4.413506, -58.25262, 0.9886475, 1046.827
95, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 270, 90, left, 4, open, open, -3.458405, 3.649177, 335.5467, 1.239258, 1050.642
96, Umplebys, -50, Umplebys, -140, -90, right, 3, open, open, 5.326376, 7.314412, -193.3508, 1.294678, 1054.387
97, PineBackHall, 180, PineBackHall, 90, -90, left, 1, open, closed, 9.159339, 10.17868, 23.39871, 1.420288, 1058.202
98, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -4.098938, 4.369933, 253.9925, 0.5986328, 1061.417
99, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, left, 1, closed, closed, 10.63587, 4.885139, 19.97745, 0.8773193, 1064.759
100, NeutralHop2, 0, Hop2, -91, -90, right, 4, closed, closed, 8.006854, 4.501855, -145.3935, 1.239258, 1068.365
101, MooreLot, 180, MooreLot, 270, 90, left, 3, open, open, -1.853516, 2.814841, 334.7745, 1.253296, 1072.04
102, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, closed, 8.926668, 4.73725, -152.7716, 0.6126709, 1075.34
103, PineBackHall, 180, PineBackHall, 270, 90, left, 3, closed, closed, -1.362518, 1.878878, 329.6436, 1.211182, 1078.918
