1, RaunerFirst, RaunerFirst, 90, 90, right, -4.687195, -5.441345, 92.95137, 20211020, 17:04:05.67700, 765.0407
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.28656, -5.269562, 95.32879, 20211020, 17:04:05.69074, 765.0547
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.909973, -5.027252, 97.87492, 20211020, 17:04:05.70486, 765.0686
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.572815, -4.86969, 100.5212, 20211020, 17:04:05.71879, 765.0825
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.40152, -4.816467, 102.9228, 20211020, 17:04:05.73249, 765.0965
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.526031, -4.908539, 105.033, 20211020, 17:04:05.74666, 765.1104
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.887115, -5.046753, 106.9098, 20211020, 17:04:05.76048, 765.1243
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.266449, -5.142822, 108.4509, 20211020, 17:04:05.77429, 765.1382
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.545593, -5.197906, 109.663, 20211020, 17:04:05.78878, 765.1522
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.807068, -5.181519, 110.5152, 20211020, 17:04:05.80240, 765.1661
1, RaunerFirst, RaunerFirst, 90, 90, right, -5.076508, -5.165009, 111.0993, 20211020, 17:04:05.81663, 765.18
1, RaunerFirst, RaunerFirst, 90, 90, right, -5.317383, -5.150665, 111.1396, 20211020, 17:04:05.83025, 765.1939
1, RaunerFirst, RaunerFirst, 90, 90, right, -5.594849, -5.139374, 110.6786, 20211020, 17:04:05.84402, 765.2077
1, RaunerFirst, RaunerFirst, 90, 90, right, -5.959503, -5.142944, 109.862, 20211020, 17:04:05.85796, 765.2217
1, RaunerFirst, RaunerFirst, 90, 90, right, -6.3508, -5.199951, 108.5698, 20211020, 17:04:05.87161, 765.2357
1, RaunerFirst, RaunerFirst, 90, 90, right, -6.592224, -5.323639, 107.37, 20211020, 17:04:05.88587, 765.2497
1, RaunerFirst, RaunerFirst, 90, 90, right, -6.751953, -5.39502, 106.4373, 20211020, 17:04:05.89992, 765.2636
