47, Fairbanks, 0, Fairbanks, -90, -90, right, 3, open, open, 6.488493, -1.635162, -184.5069, 3.161987, 1027.776
48, NeutralMaynard, 0, Maynard, 90, 90, right, 2, closed, closed, -6.799652, 1.586742, 208.7601, 0.7243652, 1031.428
49, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, left, 3, open, open, 7.493222, 13.14236, 356.7126, 2.70105, 1036.9
50, Hop2, -1, Hop2, -91, -90, left, 1, closed, closed, 10.13721, 3.702648, -181.3, 0.8909912, 1040.436
51, NeutralPineBackHall, 0, PineBackHall, 270, 90, right, 2, closed, closed, -1.336609, 7.155401, 376.5685, 0.7800293, 1043.924
52, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, open, 8.536063, 3.741471, -276.9499, 0.7796631, 1047.391
53, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, open, 11.01634, -3.498077, -196.2932, 0.9189453, 1076.112
54, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -6.100586, -0.9088745, 287.0938, 0.8771973, 1080.707
55, Hop4, -3, Hop4, -93, -90, left, 1, open, open, 6.406125, -1.489594, -173.6547, 0.6962891, 1084.73
56, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, -7.725037, 3.464127, 370.2064, 0.8632813, 1088.266
57, Hop4, -3, Hop4, -93, -90, left, 1, open, open, 9.355291, 2.479007, -174.591, 0.696167, 1091.733
58, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, open, 13.12175, 4.955789, -176.8539, 0.6824951, 1095.395
59, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, -5.886292, 8.358472, 103.6975, 0.6962891, 1098.889
60, NeutralAllenSt, 0, AllenSt, -90, -90, right, 4, open, open, 5.490594, -0.3933105, -184.88, 1.559448, 1103.307
61, NeutralBakerBerry2nd, 0, BakerBerry2nd, 4, -90, left, 2, closed, closed, 10.3966, 4.255128, -94.47687, 0.8913574, 1106.997
62, NeutralPineBackHall, 0, PineBackHall, 270, 90, left, 4, closed, closed, -7.624146, 6.296844, 381.4672, 1.643066, 1111.494
63, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, 10.21299, 2.578396, -2.757568, 0.5986328, 1115.629
64, NeutralRaunerFirst, 0, RaunerFirst, 90, 90, left, 4, open, open, -6.771423, 2.994182, 203.0985, 1.308838, 1119.655
65, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, open, 19.02632, 8.181988, -169.1933, 2.631348, 1125.405
66, Umplebys, -50, Umplebys, 40, 90, right, 1, closed, closed, -8.113434, 1.945585, 148.2694, 1.281006, 1129.776
67, RaunerBackHall, 0, RaunerBackHall, -90, -90, right, 3, closed, closed, 4.148986, -3.108154, -141.2985, 2.548096, 1134.983
68, NeutralMooreLot, 0, MooreLot, 270, 90, right, 2, open, open, -10.73947, 6.600917, 375.3914, 1.434326, 1139.283
69, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -11.40698, 3.968981, 285.0435, 0.8215332, 1142.847
70, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 262, 90, left, 4, open, open, -6.948486, -0.0003871864, 376.0149, 2.116211, 1147.998
71, NeutralFairbanks, 0, Fairbanks, 90, 90, right, 2, closed, closed, -12.35611, 4.462343, 194.5182, 0.9609375, 1151.827
72, NeutralPineEntrance, 0, PineEntrance, 90, 90, left, 4, closed, closed, -8.350189, 2.718371, 199.6922, 1.280884, 1155.878
73, NeutralRaunerBackHall, 0, RaunerBackHall, 90, 90, left, 4, open, open, -8.937866, 2.564444, 187.7109, 1.810059, 1160.33
74, Hop2, -1, Hop2, 89, 90, right, 1, open, open, -8.274597, -0.6118164, 164.4713, 1.072021, 1164.354
75, NeutralFairbanks, 0, Fairbanks, -90, -90, right, 4, open, open, 5.622019, -1.98877, -176.0182, 2.520142, 1169.421
76, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, -7.44339, 10.07486, 361.0885, 1.712646, 1173.863
77, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 82, -90, left, 2, closed, closed, 6.745822, 1.019107, -18.04553, 0.7935791, 1177.454
78, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, closed, 7.944886, 0.2330527, -187.2272, 0.5291748, 1180.698
