40, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, left, 1, closed, closed, 0.4284268, -2.995361, 21.35184, 0.9049683, 987.2803
41, NeutralUmplebys, 0, Umplebys, -140, -90, right, 4, open, open, -0.3965454, -1.932159, -212.0732, 1.378479, 991.2203
42, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -1.97641, -4.03064, 168.7595, 2.297363, 996.135
43, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, right, 1, closed, closed, -3.770233, -5.978912, 83.44102, 1.47583, 1000.534
44, NeutralPineEntrance, 0, PineEntrance, 90, 90, right, 2, closed, open, -4.067322, -4.953461, 175.4476, 1.267029, 1004.354
45, 53Commons, 0, 53Commons, 90, 90, left, 3, open, open, -4.496521, -8.889008, 165.1283, 1.476196, 1009.352
46, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 262, 90, right, 2, open, open, -1.95163, -2.306427, 343.386, 2.311462, 1014.575
47, Fairbanks, 0, Fairbanks, -90, -90, right, 3, open, open, 0.1778838, -4.391937, -157.6526, 1.615051, 1019.016
48, NeutralMaynard, 0, Maynard, 90, 90, right, 2, closed, closed, -2.898956, -6.281708, 173.298, 1.40625, 1022.951
49, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, left, 3, open, open, -2.393188, -1.154053, 358.3553, 1.239136, 1026.835
50, Hop2, -1, Hop2, -91, -90, left, 1, closed, closed, -0.0463562, -3.335297, -159.6089, 1.08606, 1030.552
51, NeutralPineBackHall, 0, PineBackHall, 270, 90, right, 2, closed, closed, -3.163483, -3.101105, 356.3161, 1.55957, 1034.695
52, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, open, 2.030643, -2.178284, -246.9972, 1.294922, 1038.637
53, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, closed, -2.164459, -5.17807, -165.0928, 1.545288, 1063.057
54, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -2.720093, -3.885956, 262.0921, 1.47583, 1067.484
55, Hop4, -3, Hop4, -93, -90, left, 1, open, open, 0.8406493, -4.998108, -164.153, 1.44812, 1071.703
56, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, -1.343689, -3.553406, 349.9548, 1.044189, 1075.197
57, Hop4, -3, Hop4, -93, -90, left, 1, open, open, -0.6026306, -5.020477, -160.4888, 1.127319, 1079.054
58, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, open, 1.516485, -6.37561, -157.5285, 0.8912354, 1082.548
59, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, -2.690704, -7.289825, 65.13947, 1.419922, 1086.418
