49, neutral, 0, MarketColorado, -90, -90, none, 0, open, open, 0.6475597, 6.678401, -163.6244, 1.183136, 341.0313
50, Rotman, 0, Rotman, 90, 90, none, 1, open, open, -1.962067, 12.80119, 165.6433, 1.291168, 343.5027
51, neutral, 0, ViaAgency, 90, 90, none, 0, open, open, -2.280243, 13.37353, 170.1909, 1.393768, 346.0768
52, TrescaBoston, 0, TrescaBoston, -90, -90, none, 1, open, open, 2.263613, 8.940123, -166.9612, 1.471863, 348.7982
53, Reykjavik, 0, Reykjavik, 90, 90, none, 1, open, open, -1.68515, 11.1848, 161.3664, 1.207977, 351.2141
54, ChiltonArch, 0, NewHavenMuseum2, 162, -90, none, 0, open, open, 1.835815, 7.21759, 89.74091, 1.207977, 353.8799
55, DiningHall, 80, DiningHall, -10, -90, none, 1, closed, closed, 0.4665813, 11.54888, -81.50513, 1.208069, 356.5181
56, CottageAve, 0, CottageAve, 90, 90, none, 1, closed, open, -2.516937, 11.61192, 165.9368, 1.319214, 359.2674
57, neutral, 0, FenningStEngland, -90, -90, none, 0, open, open, 0.4439968, 6.730887, -162.8004, 1.305267, 362.3634
58, NorthPlaza, 0, NorthPlaza, -90, -90, none, 1, closed, closed, 1.045966, 9.40617, -162.5504, 1.194122, 365.1404
59, SwarthmoreFriends, 140, SwarthmoreFriends, 230, 90, none, 1, open, open, -0.3539734, 12.57948, 309.4193, 1.471802, 367.9311
60, neutral, 0, ZebraEntry, 90, 90, none, 0, open, closed, -1.745697, 13.21325, 170.2902, 1.186401, 370.9084
61, neutral, 0, 31stStNewYork, 90, 90, none, 0, closed, closed, -2.529785, 10.1977, 170.2108, 1.54129, 373.8105
62, FuFoundationHall, 0, FuFoundationHall, -90, -90, none, 1, open, open, 0.5608531, 7.480041, -163.559, 1.263306, 376.5873
63, SwarthmoreFriends, 140, Portland3, -90, -90, none, 0, closed, closed, 3.300728, 5.147902, -164.7217, 1.13855, 379.4615
64, ViaAgency, 0, ViaAgency, -90, -90, none, 1, closed, closed, 0.2674787, 12.22722, -165.8198, 1.277527, 381.9329
65, neutral, 0, MountVernon, -90, -90, none, 0, open, open, -0.02471924, 10.72973, -166.2656, 1.291229, 385.1818
66, RosaPortsmouth, 0, WallOfHonor, 0, -90, none, 0, closed, closed, 0.04195097, 4.825794, -76.21933, 0.9721375, 387.6812
67, CottageAve, 0, Rotman, -90, -90, none, 0, closed, closed, 0.1514101, 7.743315, -167.256, 1.555206, 390.6941
68, OceanLot, 0, OceanLot, -90, -90, none, 1, closed, closed, 0.3495485, 11.1579, -163.5281, 1.194244, 393.1934
69, ZebraEntry, 0, ZebraEntry, -90, -90, none, 1, closed, open, 0.5401151, 10.49725, -169.2062, 1.777435, 396.5256
70, NorthPlaza, 0, YellowHallway, 90, 90, none, 0, closed, closed, -0.8792114, 14.04472, 168.3173, 1.305023, 399.1914
71, FuFoundationHall, 0, WoodshopDoorway, 90, 90, none, 0, open, open, -2.297729, 13.07045, 166.3063, 1.263397, 413.0621
72, MarketColorado, 0, MarketColorado, 90, 90, none, 1, closed, closed, -1.684052, 10.89096, 166.5718, 1.221802, 415.7141
73, KnoxCollege, 84, KnoxCollege, 174, 90, none, 1, closed, closed, 1.574741, 15.08043, 254.4153, 1.180389, 418.3799
74, TriangleArchway, 0, TriangleArchway, 90, 90, none, 1, closed, closed, -0.968811, 13.39849, 166.649, 1.29129, 421.4068
