49, neutral, 0, MarketColorado, -90, -90, none, 0, open, open, -1.124298, 2.518435, -191.8152, 1.014221, 364.6606
50, Rotman, 0, Rotman, 90, 90, none, 1, open, open, -6.907959, 14.27392, 179.2548, 1.489777, 367.4453
51, neutral, 0, ViaAgency, 90, 90, none, 0, open, open, -3.491852, 10.98453, 195.3067, 4.182526, 372.811
52, TrescaBoston, 0, TrescaBoston, -90, -90, none, 1, open, open, -1.999084, 10.13385, -182.0868, 1.810089, 375.8741
53, Reykjavik, 0, Reykjavik, 90, 90, none, 1, open, open, -5.030548, 10.87331, 191.2806, 1.434021, 378.4634
54, ChiltonArch, 0, NewHavenMuseum2, 162, -90, none, 0, open, open, -1.218506, 9.382333, 59.75403, 1.531586, 381.6518
55, DiningHall, 80, DiningHall, -10, -90, none, 1, closed, open, -1.188354, 8.92795, -94.47449, 1.545471, 384.7425
56, CottageAve, 0, CottageAve, 90, 90, none, 1, closed, closed, -5.603882, 10.69319, 186.5832, 1.795868, 387.8472
57, neutral, 0, FenningStEngland, -90, -90, none, 0, open, open, -3.457092, 5.839567, -161.4401, 2.33902, 391.467
58, NorthPlaza, 0, NorthPlaza, -90, -90, none, 1, closed, closed, 0.2526288, 8.025879, -173.9268, 1.239197, 394.0009
59, SwarthmoreFriends, 140, SwarthmoreFriends, 230, 90, none, 1, open, open, -5.744476, 8.852462, 327.0336, 1.392761, 396.744
60, neutral, 0, ZebraEntry, 90, 90, none, 0, open, closed, -8.557922, 13.19833, 185.091, 1.88385, 399.8803
61, neutral, 0, 31stStNewYork, 90, 90, none, 0, closed, closed, -8.003815, 11.40279, 184.6367, 1.559265, 402.8181
62, FuFoundationHall, 0, FuFoundationHall, -90, -90, none, 1, open, open, -0.2781982, 7.448617, -181.6006, 1.113892, 405.3102
63, SwarthmoreFriends, 140, Portland3, -90, -90, none, 0, closed, closed, 1.740678, 10.75725, -175.5944, 2.158173, 408.8743
64, ViaAgency, 0, ViaAgency, -90, -90, none, 1, closed, closed, -1.235352, 7.980917, -183.9439, 1.837799, 412.0067
65, neutral, 0, MountVernon, -90, -90, none, 0, open, open, -1.76413, 4.791622, -183.7211, 1.266968, 414.5685
66, RosaPortsmouth, 0, WallOfHonor, 0, -90, none, 0, closed, closed, -0.8076477, 9.302228, -103.304, 1.183624, 417.1581
67, CottageAve, 0, Rotman, -90, -90, none, 0, closed, closed, 0.3345128, 6.172389, -185.4705, 1.392395, 419.9425
68, OceanLot, 0, OceanLot, -90, -90, none, 1, closed, closed, -1.156616, 7.462141, -186.8168, 1.26712, 422.727
67, CottageAve, 0, Rotman, -90, -90, none, 0, closed, closed, 0.3345128, 6.172389, -185.4705, 1.392395, 419.9425
68, OceanLot, 0, OceanLot, -90, -90, none, 1, closed, closed, -1.156616, 7.462141, -186.8168, 1.26712, 422.727
69, ZebraEntry, 0, ZebraEntry, -90, -90, none, 1, closed, open, -2.213898, 4.504739, -178.5115, 1.392334, 425.5392
67, CottageAve, 0, Rotman, -90, -90, none, 0, closed, closed, 0.3345128, 6.172389, -185.4705, 1.392395, 419.9425
