47, BennettPlace, 0, BennettPlace, -90, -90, none, 1, open, open, 5.67797, 3.885557, -173.8662, 1.336639, 449.416
48, FuFoundation, 270, FuFoundation, 360, 90, none, 1, closed, closed, -7.099915, 5.478555, 424.089, 1.657013, 452.3258
49, neutral, 0, MarketColorado, -90, -90, none, 0, open, open, 6.015007, 1.638703, -177.8763, 1.585297, 455.2196
50, Rotman, 0, Rotman, 90, 90, none, 1, open, open, -10.65802, -1.627258, 132.4006, 2.492126, 459.0621
51, neutral, 0, ViaAgency, 90, 90, none, 0, open, closed, -5.822662, 18.33453, 168.427, 2.150787, 462.6747
52, TrescaBoston, 0, TrescaBoston, -90, -90, none, 1, open, open, 5.532408, 3.450048, -178.1628, 2.979431, 467.9235
53, Reykjavik, 0, Reykjavik, 90, 90, none, 1, open, open, -4.300812, 5.835016, 139.5697, 4.552521, 473.7987
54, ChiltonArch, 0, NewHavenMuseum2, 162, -90, none, 0, open, open, 3.814832, 0.5167105, 84.77545, 1.475861, 478.3652
55, DiningHall, 80, DiningHall, -10, -90, none, 1, closed, closed, 2.800434, 1.224948, -75.94803, 1.726563, 481.1497
56, CottageAve, 0, CottageAve, 90, 90, none, 1, closed, closed, -5.414001, 7.317519, 145.7594, 1.308807, 483.6558
57, neutral, 0, FenningStEngland, -90, -90, none, 0, open, open, 6.866709, 2.266719, -161.0984, 4.315948, 489.0854
58, NorthPlaza, 0, NorthPlaza, -90, -90, none, 1, closed, closed, 4.053521, 0.2264434, -159.2778, 1.768188, 492.6216
59, SwarthmoreFriends, 140, SwarthmoreFriends, 230, 90, none, 1, open, open, -4.373169, 1.275581, 291.6797, 2.088287, 498.1767
60, neutral, 0, ZebraEntry, 90, 90, none, 0, open, closed, -8.250336, 5.743671, 151.362, 1.841888, 501.188
61, neutral, 0, 31stStNewYork, 90, 90, none, 0, closed, open, -10.3812, 8.742327, 145.2823, 5.777832, 508.4137
62, FuFoundationHall, 0, FuFoundationHall, -90, -90, none, 1, open, open, 4.141701, -3.629822, -161.4202, 1.155701, 511.5045
63, SwarthmoreFriends, 140, Portland3, -90, -90, none, 0, closed, closed, 2.026165, -2.341644, -158.5508, 1.42041, 514.1638
64, ViaAgency, 0, ViaAgency, -90, -90, none, 1, closed, closed, 3.256101, -3.655426, -158.4467, 1.225281, 516.8229
65, neutral, 0, MountVernon, -90, -90, none, 0, open, open, 5.189827, -1.448456, -162.5768, 1.601563, 519.6912
66, RosaPortsmouth, 0, WallOfHonor, 0, -90, none, 0, closed, closed, 2.839144, -4.974579, -65.81573, 1.893677, 523.1158
67, CottageAve, 0, Rotman, -90, -90, none, 0, closed, closed, 1.964867, -4.891174, -153.5923, 1.698669, 526.318
68, OceanLot, 0, OceanLot, -90, -90, none, 1, closed, closed, 3.903189, -3.032501, -157.0364, 2.56189, 530.5086
69, ZebraEntry, 0, ZebraEntry, -90, -90, none, 1, closed, open, 3.285493, -3.737549, -161.0554, 1.197205, 535.3118
70, NorthPlaza, 0, YellowHallway, 90, 90, none, 0, closed, closed, -7.353638, 5.23058, 154.6809, 1.267029, 537.7482
71, FuFoundationHall, 0, WoodshopDoorway, 90, 90, none, 0, open, open, -7.540009, 4.418676, 170.1662, 1.364624, 569.505
72, MarketColorado, 0, MarketColorado, 90, 90, none, 1, closed, closed, -7.42865, 6.023988, 163.531, 1.33667, 572.6235
