1, YellowHallway, 0, YellowHallway, -90, -90, none, 1, open, open, 1.669023, -2.904694, -169.6935, 1.824005, 286.5933
2, neutral, 0, Dublin2, -90, -90, none, 0, closed, open, 1.045223, -2.063568, -170.0957, 1.325775, 293.126
3, SeattleNeighborhood9, 0, SeattleNeighborhood9, 90, 90, none, 1, open, closed, -4.593719, -0.5630798, 167.1518, 1.448212, 296.8423
4, neutral, 0, TriangleArchway, 90, 90, none, 0, closed, closed, -4.047943, 2.031491, 171.2534, 1.340698, 300.1042
5, ChiltonArch, 0, ChiltonArch, -90, -90, none, 1, open, closed, 2.303069, -1.728851, -166.9447, 1.740509, 303.4544
6, ColumbiaStSeattle, 0, DiningHall, 170, 90, none, 0, open, open, -3.004181, -0.2418213, 252.3316, 1.475891, 306.6568
7, RosaPortsmouth, 0, RosaPortsmouth, -90, -90, none, 1, closed, closed, 1.866521, 1.217404, -172.5322, 1.364655, 309.8791
8, YellowHallway, 0, OceanLot, 90, 90, none, 0, open, open, -2.461609, -0.7929382, 168.2382, 1.343323, 312.8233
9, Dublin2, 0, Dublin2, 90, 90, none, 1, open, open, -2.192169, -0.6002808, 171.0642, 1.37851, 316.3181
11, NewHavenMuseum2, 252, ChurchLot, -90, -90, none, 0, closed, closed, 1.864521, 5.261264, -164.6987, 1.666626, 322.8019
10, neutral, 0, TrescaBoston, 90, 90, none, 0, closed, closed, -2.187042, 1.293471, 169.4579, 1.140076, 319.2121
12, Hollingworth, 0, Hollingworth, -90, -90, none, 1, open, open, 2.606221, 4.009536, -169.5565, 1.907532, 326.4786
13, ColumbiaStSeattle, 0, ColumbiaStSeattle, 90, 90, none, 1, open, open, -2.051453, 0.3214969, 170.3636, 1.253082, 329.2213
14, FenningStEngland, 0, FenningStEngland, 90, 90, none, 1, closed, closed, -2.226257, 0.4208717, 168.6464, 1.378326, 332.2856
