48, FuFoundation, 270, FuFoundation, 360, 90, none, 1, closed, closed, -1.597565, 9.035055, 441.6162, 0.9049683, 286.7138
49, neutral, 0, MarketColorado, -90, -90, none, 0, open, open, 0.34405, 6.227663, -163.5634, 1.116302, 288.9576
50, Rotman, 0, Rotman, 90, 90, none, 1, open, open, -1.648712, 8.530012, 169.344, 1.016663, 291.074
51, neutral, 0, ViaAgency, 90, 90, none, 0, open, closed, -0.1871033, 9.851503, 171.7804, 1.060944, 293.2486
52, TrescaBoston, 0, TrescaBoston, -90, -90, none, 1, open, open, -0.05224609, 7.772601, -166.875, 1.030487, 295.4344
53, Reykjavik, 0, Reykjavik, 90, 90, none, 1, open, open, -0.6699219, 8.683293, 169.1854, 0.9190369, 297.4949
54, ChiltonArch, 0, NewHavenMuseum2, 162, -90, none, 0, open, open, -0.3491821, 7.860791, 86.37405, 0.9607849, 299.5694
55, DiningHall, 80, DiningHall, -10, -90, none, 1, closed, closed, -0.1213989, 7.083845, -81.2095, 1.127777, 301.8108
56, CottageAve, 0, CottageAve, 90, 90, none, 1, closed, closed, -1.320282, 9.466392, 168.482, 1.030273, 303.9689
57, neutral, 0, FenningStEngland, -90, -90, none, 0, open, closed, -0.6910706, 8.521059, -164.2142, 1.12793, 306.2243
58, NorthPlaza, 0, NorthPlaza, -90, -90, none, 1, closed, closed, -0.4418945, 10.17636, -166.5323, 1.141724, 308.4657
59, SwarthmoreFriends, 140, SwarthmoreFriends, 230, 90, none, 1, open, open, 0.2597496, 9.38766, 306.3096, 1.183594, 310.749
60, neutral, 0, ZebraEntry, 90, 90, none, 0, open, closed, 0.1123734, 8.555456, 166.9778, 1.233154, 313.1236
61, neutral, 0, 31stStNewYork, 90, 90, none, 0, closed, closed, -0.5518799, 7.663846, 164.5138, 1.016602, 315.2538
62, FuFoundationHall, 0, FuFoundationHall, -90, -90, none, 1, open, open, -0.7415161, 8.331573, -165.6695, 0.9887085, 317.3282
63, SwarthmoreFriends, 140, Portland3, -90, -90, none, 0, closed, closed, 0.08350755, 10.64709, -161.5771, 1.183502, 319.6254
64, ViaAgency, 0, ViaAgency, -90, -90, none, 1, closed, open, 1.292665, 9.469897, -161.968, 1.280823, 321.9782
65, neutral, 0, MountVernon, -90, -90, none, 0, open, open, 1.773372, 5.62492, -164.8026, 1.072205, 324.2198
66, RosaPortsmouth, 0, WallOfHonor, 0, -90, none, 0, closed, closed, 1.52203, 3.212566, -75.9216, 0.9467468, 326.2802
67, CottageAve, 0, Rotman, -90, -90, none, 0, closed, closed, 1.845141, 7.317358, -160.7152, 1.183594, 328.5914
68, OceanLot, 0, OceanLot, -90, -90, none, 1, closed, closed, 0.6783976, 6.198679, -163.2902, 1.336639, 331.0278
69, ZebraEntry, 0, ZebraEntry, -90, -90, none, 1, closed, open, 0.320301, 6.314704, -166.0033, 1.030243, 333.13
70, NorthPlaza, 0, YellowHallway, 90, 90, none, 0, closed, closed, -0.4242554, 6.369844, 166.1001, 1.099976, 335.3576
71, FuFoundationHall, 0, WoodshopDoorway, 90, 90, none, 0, open, open, -0.1451721, 7.686956, 180.6898, 1.044281, 343.349
72, MarketColorado, 0, MarketColorado, 90, 90, none, 1, closed, closed, -1.040558, 7.160108, 175.2277, 0.933075, 345.5349
73, KnoxCollege, 84, KnoxCollege, 174, 90, none, 1, closed, closed, -0.1374207, 7.700935, 252.9882, 1.211395, 348.027
74, TriangleArchway, 0, TriangleArchway, 90, 90, none, 1, closed, closed, -2.455872, 7.139231, 168.3836, 1.031006, 350.1578
75, WalnutApartment, 0, WalnutApartment, 90, 90, none, 1, open, open, -1.291473, 6.549761, 169.4603, 1.294739, 352.5377
76, neutral, 0, Rotman, 90, 90, none, 0, open, open, -2.232361, 6.496397, 166.5224, 1.002808, 354.6541
77, OceanLot, 0, MarketColorado, 90, 90, none, 0, closed, closed, -2.036072, 6.371814, 163.6057, 0.9468689, 356.7144
78, neutral, 0, TrescaBoston, -90, -90, none, 0, open, open, -1.180542, 4.900059, -153.7644, 1.280975, 359.123
79, neutral, 0, WalnutApartment, -90, -90, none, 0, closed, closed, -0.4668274, 6.887667, -152.3457, 1.113892, 361.3367
80, SketchBurger, 0, TriangleArchway, -90, -90, none, 0, open, closed, -0.789856, 5.436252, -156.9807, 1.086029, 363.5363
81, neutral, 0, MountVernon, 90, 90, none, 0, closed, closed, -3.151215, 8.431622, 164.4743, 1.350555, 366.0005
82, SwarthmoreFriends, 140, SwarthmoreFriends, 50, -90, none, 1, closed, closed, -1.143616, 6.9421, -14.49902, 1.392456, 368.5624
83, FenningStEngland, 0, SketchBurger, 90, 90, none, 0, open, open, -2.5979, 8.17079, 170.6248, 1.086121, 370.7482
84, DownhillDriveway, 0, BennettPlace, -90, -90, none, 0, open, open, -3.170929, 5.157791, -156.9908, 1.072021, 372.9756
85, neutral, 0, DiningHall, -10, -90, none, 0, closed, closed, -0.5662842, 7.435623, -72.22055, 0.9886475, 375.0919
86, 31stStNewYork, 0, WoodshopDoorway, -90, -90, none, 0, closed, open, -1.549683, 7.582399, -156.8069, 1.016418, 377.2498
87, neutral, 0, YellowHallway, -90, -90, none, 0, open, open, -1.958313, 7.294551, -153.2612, 1.127716, 379.505
88, neutral, 0, KnoxCollege, -6, -90, none, 0, open, open, -1.87265, 7.267216, -70.34344, 0.9608154, 381.5657
89, neutral, 0, Hollingworth, -90, -90, none, 0, open, closed, 0.3792296, 6.123443, -152.266, 0.8910828, 383.5565
90, FuFoundationHall, 0, DownhillDriveway, 90, 90, none, 0, closed, closed, -1.812958, 8.853148, 164.3893, 1.155792, 385.812
91, TrescaBoston, 0, TrescaBoston, 90, 90, none, 1, closed, closed, -1.64624, 10.00422, 164.8666, 1.085999, 388.0396
92, SwarthmoreFriends, 140, FuFoundationHall, -90, -90, none, 0, open, open, -0.9567871, 6.795968, -155.4349, 0.9747314, 390.1001
93, YellowHallway, 0, YellowHallway, 90, 90, none, 1, closed, closed, -1.352051, 8.722884, 170.4737, 1.058105, 392.2858
94, Reykjavik, 0, FenningStEngland, 90, 90, none, 0, closed, closed, -4.294678, 9.296256, 164.433, 0.8773193, 394.3186
95, OceanLot, 0, OceanLot, 90, 90, none, 1, open, open, -2.904694, 7.40107, 163.3922, 0.9190369, 396.393
96, Portland3, 0, Portland3, -90, -90, none, 1, closed, closed, -1.470856, 6.113839, -155.8212, 1.113922, 398.6205
97, BennettPlace, 0, Reykjavik, 90, 90, none, 0, open, open, -0.8218689, 8.883841, 165.057, 0.8493958, 400.5976
98, ChurchLot, 0, ChurchLot, -90, -90, none, 1, closed, closed, -3.731598, 8.045489, -154.9196, 1.113861, 402.8112
99, Reykjavik, 0, Reykjavik, -90, -90, none, 1, closed, closed, -1.117432, 6.790535, -159.9791, 1.058136, 404.997
100, DownhillDriveway, 0, DownhillDriveway, -90, -90, none, 1, open, open, -2.094421, 9.220666, -157.6666, 1.085999, 407.2523
101, neutral, 0, ViaAgency, -90, -90, none, 0, closed, closed, -2.069763, 9.999485, -157.8612, 1.058258, 409.4104
102, RueRousseletParis, 0, RueRousseletParis, 90, 90, none, 1, closed, closed, -4.039917, 8.372515, 166.1239, 1.058197, 411.5684
103, FenningStEngland, 0, FenningStEngland, -90, -90, none, 1, open, closed, 0.3702576, 9.223772, -155.7995, 1.113861, 413.7819
104, Dublin2, 0, Dublin2, -90, -90, none, 1, closed, open, -1.461517, 8.098465, -154.6858, 1.309509, 416.2469
105, WallOfHonor, 90, WallOfHonor, 0, -90, none, 1, closed, closed, -1.367157, 8.037526, -67.82614, 1.072113, 418.4737
106, FuFoundation, 270, FuFoundation, 180, -90, none, 1, open, open, -0.2815552, 7.237546, 112.3565, 1.169586, 420.8406
107, CottageAve, 0, CottageAve, -90, -90, none, 1, open, open, -1.640259, 5.66975, -153.4487, 1.01651, 428.6232
108, MarketColorado, 0, MarketColorado, -90, -90, none, 1, open, open, -0.8589478, 6.312797, -151.6528, 0.8632813, 430.6001
109, ZebraEntry, 0, OceanLot, -90, -90, none, 0, closed, closed, -2.198425, 7.394514, -152.4784, 0.9329529, 432.6606
