trialIdx,primeName,primeAngleYaw,targetName,targetAngleYaw,targetSide,sameScenePrime,correctResponse,response,roll,pitch,yaw,rt,timestamp,condition,familiarityPrime,familiarityTarget,subject_id,session_format,explicit_acc_scenewise_prime,explicit_acc_scenewise_target,oc_acc_by_condition,oc_acc
1,PineBackHall,180,MooreLot,270,90,0,open,open,-1.883362,-2.12442,365.9468,1.336243,960.597,3,yes,yes,Q30,remote,1,1,0.967741935483871,0.927927927927928
3,Umplebys,-50,Umplebys,-140,-90,1,open,open,-0.7625122,-6.019104,-232.2905,1.238892,979.3643,1,yes,yes,Q30,remote,1,1,0.914893617021277,0.927927927927928
5,neutral,0,BakerBerryCharter,0,90,0,closed,closed,-4.366913,0.315542,103.5064,1.42041,987.7875,2,na,yes,Q30,remote,NaN,1,0.909090909090909,0.927927927927928
6,Hop2,-1,Hop2,-91,-90,1,closed,closed,0.944622,-5.057037,-185.9305,1.19751,993.3144,1,yes,yes,Q30,remote,1,1,0.914893617021277,0.927927927927928
8,RaunerFirst,0,RaunerFirst,90,90,1,open,open,-3.807007,-0.9588928,176.8584,1.280762,1005.761,1,yes,yes,Q30,remote,1,1,0.914893617021277,0.927927927927928
9,53Commons,0,53Commons,90,90,1,open,open,-3.948364,-2.331177,184.3517,1.015991,1008.503,1,yes,yes,Q30,remote,0.333333333333333,0.333333333333333,0.914893617021277,0.927927927927928
11,neutral,0,Hop4,87,90,0,closed,closed,-2.452606,-0.8628235,177.778,1.503662,1019.099,2,na,yes,Q30,remote,NaN,1,0.909090909090909,0.927927927927928
13,Umplebys,-50,Umplebys,-140,-90,1,open,open,-1.500641,-4.19458,-235.1082,1.030396,1027.939,1,yes,yes,Q30,remote,1,1,0.914893617021277,0.927927927927928
14,BakerBerry2nd,94,BakerBerry2nd,4,-90,1,closed,closed,0.7003819,-2.165375,-93.45413,1.016235,1031.796,1,yes,yes,Q30,remote,1,1,0.914893617021277,0.927927927927928
15,McLaughlinCluster,172,Maynard,-90,-90,0,open,open,2.05381,-4.080078,-178.2403,1.433716,1035.61,3,yes,yes,Q30,remote,1,1,0.967741935483871,0.927927927927928
