trialIdx,primeName,primeAngleYaw,targetName,targetAngleYaw,targetSide,arrowDirection,condition,correctResponse,response,roll,pitch,yaw,rt,timestamp,familiarityTarget,familiarityPrime,subject_id,session_format,explicit_acc_scenewise_prime,explicit_acc_scenewise_target,oc_acc_by_condition,oc_acc,arrowValidity,primeCondition
71,NeutralFairbanks,0,Fairbanks,90,90,right,2,closed,closed,-10.52841,1.055,153.9535,1.308472,1053.4,missing,missing,member007_new,remote,NaN,NaN,0.9375,0.905027932960894,valid,Neutral
72,NeutralPineEntrance,0,PineEntrance,90,90,left,4,closed,closed,-10.87723,2.308576,157.0231,1.935303,1057.967,missing,missing,member007_new,remote,NaN,NaN,0.9,0.905027932960894,invalid,Neutral
73,NeutralRaunerBackHall,0,RaunerBackHall,90,90,left,4,open,open,-9.648926,2.11713,155.6936,1.378418,1061.982,missing,missing,member007_new,remote,NaN,NaN,0.9,0.905027932960894,invalid,Neutral
74,Hop2,-1,Hop2,89,90,right,1,open,open,-11.31378,-0.2355652,150.154,1.350464,1066.005,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
76,BakerBerryHistoric2,180,BakerBerryHistoric2,270,90,right,1,open,open,-10.59225,4.211153,335.2001,1.573486,1074.916,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
77,NeutralMcLaughlinCluster,0,McLaughlinCluster,82,-90,left,2,closed,closed,6.612358,-2.271362,28.63846,1.53186,1079.12,missing,missing,member007_new,remote,NaN,NaN,0.9375,0.905027932960894,valid,Neutral
78,53Commons,0,53Commons,-90,-90,left,1,closed,closed,6.423173,-2.512329,-146.8361,1.350464,1083.241,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
79,NeutralRollinsChapel3,0,RollinsChapel3,267,90,right,2,closed,closed,-10.34042,4.947213,333.1516,1.308716,1087.177,missing,missing,member007_new,remote,NaN,NaN,0.9375,0.905027932960894,valid,Neutral
80,NeutralHop2,0,Hop2,89,90,right,2,open,open,-9.695313,0.8046539,151.8477,1.267212,1091.205,missing,missing,member007_new,remote,NaN,NaN,0.9375,0.905027932960894,valid,Neutral
81,Zimmerman,-100,Zimmerman,-10,90,left,3,open,open,-7.868256,0.2403775,49.44249,1.781982,1095.73,missing,missing,member007_new,remote,NaN,NaN,0.933333333333333,0.905027932960894,invalid,Same-scene
82,Hop2,-1,Hop2,89,90,right,1,open,open,-8.74942,0.7010867,145.4762,1.197266,1099.558,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
85,Zimmerman,-100,Zimmerman,-190,-90,left,1,closed,closed,8.960169,0.1073275,-248.4946,1.434082,1111.991,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
86,53Commons,0,53Commons,90,90,right,1,open,open,-9.14917,2.192674,155.3874,1.266968,1116.028,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
87,NeutralRollinsChapel3,0,RollinsChapel3,87,-90,right,4,open,open,5.962934,0.01454254,25.02225,1.49874424752504,1121.082,missing,missing,member007_new,remote,NaN,NaN,0.9,0.905027932960894,invalid,Neutral
88,AllenSt,0,AllenSt,90,90,right,1,closed,closed,-10.64493,0.7867758,150.9176,1.517578,1125.134,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
90,NeutralAllenSt,0,AllenSt,90,90,right,2,closed,closed,-7.589233,1.149708,142.5547,1.016602,1132.373,missing,missing,member007_new,remote,NaN,NaN,0.9375,0.905027932960894,valid,Neutral
92,Maynard,0,Maynard,90,90,right,1,closed,closed,-9.602509,-1.670776,147.7027,1.072266,1139.78,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
93,AllenSt,0,AllenSt,-90,-90,left,1,open,open,6.535601,-0.8474426,-147.6428,1.141846,1143.469,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
94,BakerBerry2nd,94,BakerBerry2nd,4,-90,left,1,closed,closed,7.378363,-0.7448425,-49.04678,1.364502,1147.395,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
95,NeutralBakerBerryHistoric2,0,BakerBerryHistoric2,270,90,left,4,open,open,-8.667664,0.1061233,340.1415,1.30800482352919,1152.296,missing,missing,member007_new,remote,NaN,NaN,0.9,0.905027932960894,invalid,Neutral
97,PineBackHall,180,PineBackHall,90,-90,left,1,open,open,8.946644,1.594198,34.18204,1.2948,1160.106,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
98,BakerBerry2nd,94,BakerBerry2nd,184,90,right,1,open,open,-10.21472,0.6610485,242.2296,1.169556,1164.13,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
100,NeutralHop2,0,Hop2,-91,-90,right,4,closed,closed,7.68811,2.298715,-151.7231,1.378418,1171.885,missing,missing,member007_new,remote,NaN,NaN,0.9,0.905027932960894,invalid,Neutral
101,MooreLot,180,MooreLot,270,90,left,3,open,open,-8.864044,1.720952,332.3779,1.921509,1176.549,missing,missing,member007_new,remote,NaN,NaN,0.933333333333333,0.905027932960894,invalid,Same-scene
102,RaunerFirst,0,RaunerFirst,-90,-90,left,1,closed,closed,7.12569,2.116271,-151.2706,1.420044,1180.461,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
103,PineBackHall,180,PineBackHall,270,90,left,3,closed,closed,-10.86301,0.442345,330.3095,1.364136,1184.568,missing,missing,member007_new,remote,NaN,NaN,0.933333333333333,0.905027932960894,invalid,Same-scene
104,Hop4,-3,Hop4,87,90,left,3,closed,closed,-10.70007,3.024825,149.4885,1.643066,1188.94,missing,missing,member007_new,remote,NaN,NaN,0.933333333333333,0.905027932960894,invalid,Same-scene
105,NeutralBakerBerry2nd,0,BakerBerry2nd,184,90,left,4,open,open,-8.986816,1.118975,244.3793,1.183472,1192.615,missing,missing,member007_new,remote,NaN,NaN,0.9,0.905027932960894,invalid,Neutral
106,NeutralBakerBerryHistoric2,0,BakerBerryHistoric2,270,90,right,2,open,open,-11.76755,4.725287,328.2167,1.392212,1196.485,missing,missing,member007_new,remote,NaN,NaN,0.9375,0.905027932960894,valid,Neutral
107,NeutralHop4,0,Hop4,-93,-90,right,4,open,open,7.854107,1.284603,-151.9676,1.434082,1227.619,missing,missing,member007_new,remote,NaN,NaN,0.9,0.905027932960894,invalid,Neutral
108,Maynard,0,Maynard,90,90,right,1,closed,closed,-11.12131,1.708623,155.3448,0.9327393,1231.323,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
110,RollinsChapel3,177,RollinsChapel3,267,90,right,1,closed,closed,-9.366974,-0.8928528,323.4872,1.489746,1243.366,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
112,BakerBerryCharter,-90,BakerBerryCharter,0,90,left,3,closed,closed,-9.75592,-5.64151,53.52311,1.504028,1250.814,missing,missing,member007_new,remote,NaN,NaN,0.933333333333333,0.905027932960894,invalid,Same-scene
113,RaunerBackHall,0,RaunerBackHall,90,90,right,1,open,open,-9.791107,-1.333954,148.0956,1.141724,1254.503,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
115,AllenSt,0,AllenSt,-90,-90,left,1,open,open,5.822821,-1.127869,-144.8556,1.002319,1261.632,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
116,Fairbanks,0,Fairbanks,90,90,right,1,closed,closed,-9.625488,0.6537429,143.8946,1.545288,1265.544,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
117,NeutralBakerBerryCharter,0,BakerBerryCharter,0,90,left,4,closed,closed,-11.13062,-0.7824097,63.251,1.281006,1269.261,missing,missing,member007_new,remote,NaN,NaN,0.9,0.905027932960894,invalid,Neutral
