trialIdx,primeName,primeAngleYaw,targetName,targetAngleYaw,targetSide,sameScenePrime,correctResponse,response,roll,pitch,yaw,rt,timestamp,condition,familiarityPrime,familiarityTarget,subject_id,session_format,explicit_acc_scenewise_prime,explicit_acc_scenewise_target,oc_acc_by_condition,oc_acc
53,BakerBerry2nd,94,BakerBerry2nd,184,-90,2,open,open,5.122408,1.353809,94.37653,1.224854,948.3537,3,yes,yes,Q16,remote,1,1,0.863636363636364,0.956043956043956
54,BakerBerryCharter,-90,BakerBerryCharter,180,90,2,open,open,-11.46448,-2.021393,258.2021,1.462036,951.2775,3,yes,yes,Q16,remote,1,1,0.863636363636364,0.956043956043956
56,Maynard,0,Maynard,90,90,1,closed,closed,-12.31638,-0.5328369,168.4685,1.197327,956.5679,1,yes,yes,Q16,remote,1,1,0.978723404255319,0.956043956043956
60,RaunerFirst,0,RaunerFirst,90,90,1,open,open,-12.08676,-3.852081,171.521,1.127502,967.9977,1,yes,yes,Q16,remote,NaN,NaN,0.978723404255319,0.956043956043956
62,MooreLot,180,MooreLot,90,-90,1,closed,closed,0.8460553,-2.336975,5.114349,1.016357,973.2328,1,yes,yes,Q16,remote,1,1,0.978723404255319,0.956043956043956
64,McLaughlinCluster,172,McLaughlinCluster,82,-90,1,closed,closed,1.458485,-7.280823,30.20865,1.309082,978.2866,1,yes,yes,Q16,remote,0.666666666666667,0.666666666666667,0.978723404255319,0.956043956043956
66,RaunerFirst,0,RaunerFirst,90,90,1,open,open,-10.38919,-2.920013,138.8629,0.8633423,983.6048,1,yes,yes,Q16,remote,NaN,NaN,0.978723404255319,0.956043956043956
67,PineEntrance,0,PineEntrance,-90,-90,1,open,open,5.186212,-3.187927,-149.8468,1.169495,986.3615,1,yes,yes,Q16,remote,1,1,0.978723404255319,0.956043956043956
68,neutral,0,RaunerBackHall,-90,-90,0,closed,closed,4.689673,-8.051483,-137.2388,1.211304,988.965,2,na,no,Q16,remote,NaN,1,1,0.956043956043956
71,RollinsChapel3,177,RollinsChapel3,267,90,1,closed,closed,-5.601257,1.350852,325.4046,1.308594,1060.443,1,yes,yes,Q16,remote,1,1,0.978723404255319,0.956043956043956
72,Hop2,-1,Hop2,-91,-90,1,closed,closed,4.710012,-0.7198792,-171.2111,0.807373,1066.387,1,yes,yes,Q16,remote,1,1,0.978723404255319,0.956043956043956
73,neutral,0,BakerBerryHistoric2,270,90,0,open,open,-10.55051,-3.688568,324.9789,0.8770752,1068.726,2,na,yes,Q16,remote,NaN,1,1,0.956043956043956
75,BakerBerryHistoric2,180,BakerBerryHistoric2,90,90,2,closed,closed,-10.29916,-1.810181,149.2836,1.11377,1076.049,3,yes,yes,Q16,remote,1,1,0.863636363636364,0.956043956043956
76,neutral,0,Zimmerman,-190,-90,0,closed,closed,4.734799,-5.14328,-270.2848,1.253174,1079.098,2,na,no,Q16,remote,NaN,0.666666666666667,1,0.956043956043956
77,AllenSt,0,AllenSt,90,90,1,closed,closed,-7.466064,-2.653595,157.1692,0.9327393,1081.368,1,yes,yes,Q16,remote,1,1,0.978723404255319,0.956043956043956
78,PineEntrance,0,PineEntrance,90,-90,2,closed,closed,1.412546,-2.338104,46.84088,1.2948,1085.043,3,yes,yes,Q16,remote,1,1,0.863636363636364,0.956043956043956
81,Hop2,-1,Hop2,89,90,1,open,open,-10.84976,-5.271851,160.2384,0.9470215,1093.007,1,yes,yes,Q16,remote,1,1,0.978723404255319,0.956043956043956
82,MooreLot,180,MooreLot,270,90,1,open,open,-10.30609,-4.127502,342.8871,1.03125,1095.486,1,yes,yes,Q16,remote,1,1,0.978723404255319,0.956043956043956
83,53Commons,0,53Commons,-90,-90,1,closed,closed,3.731616,-5.188385,-160.3512,1.22522,1098.186,1,yes,yes,Q16,remote,0,0,0.978723404255319,0.956043956043956
88,AllenSt,0,AllenSt,90,-90,2,closed,closed,3.17935,-1.771942,8.58374,1.086182,1117.44,3,yes,yes,Q16,remote,1,1,0.863636363636364,0.956043956043956
89,neutral,0,Fairbanks,-90,-90,0,open,open,2.702283,-4.722198,-171.1199,1.155762,1119.946,2,na,yes,Q16,remote,NaN,0.666666666666667,1,0.956043956043956
90,neutral,0,PineEntrance,-90,-90,0,open,open,4.157996,-1.658844,-178.8427,1.099854,1122.077,2,na,yes,Q16,remote,NaN,1,1,0.956043956043956
91,Umplebys,-50,Umplebys,-140,-90,1,open,open,1.014715,-0.9423828,-224.9122,0.8771973,1126.741,1,yes,yes,Q16,remote,1,1,0.978723404255319,0.956043956043956
92,BakerBerry2nd,94,BakerBerry2nd,4,-90,1,closed,closed,7.210412,-0.3673401,-78.32983,0.765625,1130.04,1,yes,yes,Q16,remote,1,1,0.978723404255319,0.956043956043956
94,Maynard,0,Maynard,-90,-90,1,open,open,5.050686,-3.175385,-163.0839,0.6260986,1134.857,1,yes,yes,Q16,remote,1,1,0.978723404255319,0.956043956043956
95,Umplebys,-50,Umplebys,-140,-90,1,open,open,4.226121,-2.885651,-213.2087,0.765625,1136.917,1,yes,yes,Q16,remote,1,1,0.978723404255319,0.956043956043956
99,neutral,0,PineBackHall,90,-90,0,open,open,4.934732,0.5519068,8.648071,1.099976,1148.473,2,na,yes,Q16,remote,NaN,1,1,0.956043956043956
102,neutral,0,53Commons,90,90,0,open,open,-10.70615,-5.357178,175.3079,1.23938,1157.453,2,na,yes,Q16,remote,NaN,0,1,0.956043956043956
104,MooreLot,180,MooreLot,270,-90,2,open,open,7.1495,-2.703918,187.9494,1.336304,1164.219,3,yes,yes,Q16,remote,1,1,0.863636363636364,0.956043956043956
105,BakerBerryCharter,-90,BakerBerryCharter,0,-90,2,closed,closed,5.116168,-3.095306,-76.34601,1.40564,1167.06,3,yes,yes,Q16,remote,1,1,0.863636363636364,0.956043956043956
106,RaunerBackHall,0,RaunerBackHall,-90,-90,1,closed,closed,5.438301,-3.744537,-153.0587,1.002563,1169.579,1,no,no,Q16,remote,1,1,0.978723404255319,0.956043956043956
107,Zimmerman,-100,Zimmerman,350,-90,2,open,open,3.818562,-1.054352,254.0569,0.9743652,1200.807,3,no,no,Q16,remote,0.666666666666667,0.666666666666667,0.863636363636364,0.956043956043956
109,53Commons,0,53Commons,-90,-90,1,closed,closed,4.966707,-1.523254,-177.1795,0.9047852,1205.011,1,yes,yes,Q16,remote,0,0,0.978723404255319,0.956043956043956
110,RaunerFirst,0,RaunerFirst,-90,-90,1,closed,closed,3.847191,-2.850159,-159.5016,1.030273,1207.016,1,yes,yes,Q16,remote,NaN,NaN,0.978723404255319,0.956043956043956
113,PineBackHall,180,PineBackHall,270,-90,2,closed,closed,4.618138,-0.9778748,185.5681,0.9188232,1214.827,3,yes,yes,Q16,remote,1,1,0.863636363636364,0.956043956043956
114,Fairbanks,0,Fairbanks,90,-90,2,closed,closed,2.764831,-4.09552,9.548126,1.23938,1217.444,3,yes,yes,Q16,remote,0.666666666666667,0.666666666666667,0.863636363636364,0.956043956043956
115,RaunerFirst,0,RaunerFirst,270,90,2,closed,closed,-10.61432,-3.423004,347.145,1.420288,1220.159,3,yes,yes,Q16,remote,NaN,NaN,0.863636363636364,0.956043956043956
117,Hop2,-1,Hop2,89,90,1,open,open,-9.57309,-5.167389,163.5634,1.211426,1226.16,1,yes,yes,Q16,remote,1,1,0.978723404255319,0.956043956043956
118,RaunerFirst,0,RaunerFirst,-90,-90,1,closed,closed,3.537391,-0.1255188,-171.0567,0.6821289,1228.053,1,yes,yes,Q16,remote,NaN,NaN,0.978723404255319,0.956043956043956
119,neutral,0,Hop2,-91,-90,0,closed,closed,2.674937,-2.582428,-166.5146,1.141846,1230.406,2,na,yes,Q16,remote,NaN,1,1,0.956043956043956
120,PineEntrance,0,PineEntrance,90,90,1,closed,closed,-10.70987,-0.8944092,165.9362,0.8215332,1232.397,1,yes,yes,Q16,remote,1,1,0.978723404255319,0.956043956043956
123,neutral,0,Umplebys,40,90,0,closed,closed,-8.320068,-4.680542,130.0834,0.9885254,1239.427,2,na,yes,Q16,remote,NaN,1,1,0.956043956043956
125,53Commons,0,53Commons,270,90,2,closed,closed,-8.938599,-4.271362,351.6412,1.266968,1245.136,3,yes,yes,Q16,remote,0,0,0.863636363636364,0.956043956043956
127,PineBackHall,180,PineBackHall,270,90,1,closed,closed,-11.40656,-3.67746,353.4174,0.8493652,1250.9,1,yes,yes,Q16,remote,1,1,0.978723404255319,0.956043956043956
128,neutral,0,RaunerBackHall,90,90,0,open,open,-8.512482,-2.520538,165.6069,1.002319,1253.211,2,na,no,Q16,remote,NaN,1,1,0.956043956043956
130,Fairbanks,0,Fairbanks,90,90,1,closed,closed,-9.321991,-6.774841,165.8401,1.016479,1257.694,1,yes,yes,Q16,remote,0.666666666666667,0.666666666666667,0.978723404255319,0.956043956043956
131,Maynard,0,Maynard,-90,-90,1,open,open,5.894572,-3.289886,-171.1713,1.28125,1260.172,1,yes,yes,Q16,remote,1,1,0.978723404255319,0.956043956043956
133,Hop4,-3,Hop4,-93,-90,1,open,open,3.392962,-2.101379,-166.7059,0.9466553,1265.337,1,yes,yes,Q16,remote,1,1,0.978723404255319,0.956043956043956
137,BakerBerryCharter,-90,BakerBerryCharter,0,90,1,closed,closed,-11.97113,-3.140533,74.88518,0.9604492,1275.514,1,yes,yes,Q16,remote,1,1,0.978723404255319,0.956043956043956
139,Zimmerman,-100,Zimmerman,-10,90,1,open,open,-12.06348,-7.223785,65.64005,1.517578,1282.378,1,no,no,Q16,remote,0.666666666666667,0.666666666666667,0.978723404255319,0.956043956043956
140,neutral,0,Maynard,90,90,0,closed,closed,-10.07608,-5.062408,163.4829,1.113647,1285.274,2,na,yes,Q16,remote,NaN,1,1,0.956043956043956
142,neutral,0,McLaughlinCluster,82,-90,0,closed,closed,1.131496,-6.329742,-0.5236816,1.197388,1290.996,2,na,yes,Q16,remote,NaN,0.666666666666667,1,0.956043956043956
143,neutral,0,Hop4,87,90,0,closed,closed,-9.26062,-6.023346,159.8812,1.141968,1293.474,2,na,yes,Q16,remote,NaN,1,1,0.956043956043956
144,PineEntrance,0,PineEntrance,90,90,1,closed,closed,-9.514496,-3.774872,162.406,0.8493652,1295.688,1,yes,yes,Q16,remote,1,1,0.978723404255319,0.956043956043956
3,neutral,0,Hop4,-93,-90,0,open,open,5.350112,3.875157,-185.1636,1.267029,657.6268,2,na,yes,Q26,remote,NaN,1,0.791666666666667,0.855670103092783
8,RaunerBackHall,0,RaunerBackHall,90,90,1,open,open,0.8700861,7.608517,186.0355,1.795959,673.4424,1,yes,yes,Q26,remote,0.666666666666667,0.666666666666667,0.877551020408163,0.855670103092783
9,Hop2,-1,Hop2,269,90,2,closed,closed,1.204904,10.96088,389.6235,1.545715,676.1302,3,yes,yes,Q26,remote,1,1,0.875,0.855670103092783
11,neutral,0,McLaughlinCluster,262,90,0,open,open,1.53007,7.621492,346.0314,0.8768311,681.2527,2,na,yes,Q26,remote,NaN,0,0.791666666666667,0.855670103092783
12,Zimmerman,-100,Zimmerman,-190,-90,1,closed,closed,6.376297,-4.470734,-294.7226,2.325073,684.6918,1,no,no,Q26,remote,0.666666666666667,0.666666666666667,0.877551020408163,0.855670103092783
13,Hop2,-1,Hop2,-91,-90,1,closed,closed,4.754014,8.334844,-186.4664,1.698242,687.9774,1,yes,yes,Q26,remote,1,1,0.877551020408163,0.855670103092783
14,Hop4,-3,Hop4,87,90,1,closed,closed,-2.005402,12.33535,184.4174,1.531616,692.9341,1,yes,yes,Q26,remote,1,1,0.877551020408163,0.855670103092783
16,53Commons,0,53Commons,90,-90,2,open,open,4.981524,3.410805,-7.069916,1.517334,698.9898,3,yes,yes,Q26,remote,0.333333333333333,0.333333333333333,0.875,0.855670103092783
17,BakerBerryHistoric2,180,BakerBerryHistoric2,270,90,1,open,open,1.062037,18.92343,371.4663,1.837402,702.0389,1,yes,yes,Q26,remote,0.333333333333333,0.333333333333333,0.877551020408163,0.855670103092783
19,Fairbanks,0,Fairbanks,270,90,2,open,open,-1.19696,5.316039,362.2883,1.54541,708.8886,3,yes,yes,Q26,remote,0.333333333333333,0.333333333333333,0.875,0.855670103092783
21,RaunerFirst,0,RaunerFirst,90,-90,2,open,open,3.681102,15.19453,-14.29315,2.186279,716.9639,3,yes,yes,Q26,remote,0.666666666666667,0.666666666666667,0.875,0.855670103092783
23,PineEntrance,0,PineEntrance,270,90,2,open,open,-2.28183,8.037072,351.3889,1.197449,723.9109,3,yes,yes,Q26,remote,1,1,0.875,0.855670103092783
24,neutral,0,Fairbanks,90,90,0,closed,closed,-1.75708,1.935567,166.3732,2.394836,727.4056,2,na,yes,Q26,remote,NaN,0.333333333333333,0.791666666666667,0.855670103092783
25,neutral,0,Umplebys,-140,-90,0,open,open,1.703287,5.12774,-229.7463,1.462219,730.0092,2,na,no,Q26,remote,NaN,0.666666666666667,0.791666666666667,0.855670103092783
27,neutral,0,PineEntrance,90,90,0,closed,closed,1.068592,16.70778,179.9521,1.447937,735.4107,2,na,yes,Q26,remote,NaN,1,0.791666666666667,0.855670103092783
29,neutral,0,MooreLot,270,90,0,open,open,0.570803,2.921066,358.3365,1.322693,740.3672,2,na,yes,Q26,remote,NaN,0.333333333333333,0.791666666666667,0.855670103092783
30,Maynard,0,Maynard,90,-90,2,closed,closed,4.669078,5.955117,9.601898,1.907471,743.5414,3,yes,yes,Q26,remote,0.666666666666667,0.666666666666667,0.875,0.855670103092783
32,Umplebys,-50,Umplebys,40,90,1,closed,closed,0.8361815,6.330029,132.9957,1.322632,750.1962,1,no,no,Q26,remote,0.666666666666667,0.666666666666667,0.877551020408163,0.855670103092783
33,Hop4,-3,Hop4,87,-90,2,closed,closed,2.873376,12.56476,-8.385101,1.337036,752.7164,3,yes,yes,Q26,remote,1,1,0.875,0.855670103092783
34,neutral,0,PineBackHall,270,90,0,closed,closed,-0.1749573,12.48501,350.7114,1.016235,754.8741,2,na,no,Q26,remote,NaN,1,0.791666666666667,0.855670103092783
