trialIdx,primeName,primeAngleYaw,targetName,targetAngleYaw,targetSide,sameScenePrime,correctResponse,response,roll,pitch,yaw,rt,timestamp,condition,familiarityPrime,familiarityTarget,subject_id,session_format,explicit_acc_scenewise_prime,explicit_acc_scenewise_target,oc_acc_by_condition,oc_acc
23,Zimmerman,0,Zimmerman,90,90,1,open,open,-4.89624,5.42775,74.98318,1.183594,698.2083,1,no,no,degas711,inperson,0.666666666666667,0.666666666666667,0.911111111111111,0.895238095238095
24,Fairbanks,0,Fairbanks,-90,-90,1,open,open,2.34719,4.29374,-80.93774,1.266968,700.7003,1,yes,yes,degas711,inperson,1,1,0.911111111111111,0.895238095238095
25,Zimmerman,0,Zimmerman,90,90,1,open,open,-5.181458,5.202888,71.43778,1.099976,703.1368,1,no,no,degas711,inperson,0.666666666666667,0.666666666666667,0.911111111111111,0.895238095238095
26,Maynard,0,Maynard,90,-90,2,closed,closed,1.729704,5.374418,-71.73657,1.014954,705.4896,3,yes,yes,degas711,inperson,1,1,0.892857142857143,0.895238095238095
28,MooreLot,0,MooreLot,90,-90,2,open,open,2.271749,5.916004,-70.18253,1.15564,711.2535,3,yes,yes,degas711,inperson,0.333333333333333,0.333333333333333,0.892857142857143,0.895238095238095
29,neutral,0,Zimmerman,-90,-90,0,closed,closed,2.408337,5.972159,-75.10794,1.113953,713.5925,2,na,no,degas711,inperson,NaN,0.666666666666667,0.875,0.895238095238095
30,RaunerBackHall,0,RaunerBackHall,-90,90,2,closed,closed,-3.551056,8.647498,60.77898,0.9886475,715.848,3,yes,yes,degas711,inperson,0.666666666666667,0.666666666666667,0.892857142857143,0.895238095238095
32,53Commons,0,53Commons,90,90,1,open,open,-4.416016,5.757889,65.21841,1.058105,720.9294,1,yes,yes,degas711,inperson,1,1,0.911111111111111,0.895238095238095
33,neutral,0,Fairbanks,90,90,0,closed,closed,-3.18808,5.415327,59.04015,1.141785,723.1988,2,na,yes,degas711,inperson,NaN,1,0.875,0.895238095238095
34,Hop2,0,Hop2,-90,90,2,closed,closed,-2.33255,5.75028,49.10642,0.7519531,725.0923,3,yes,yes,degas711,inperson,1,1,0.892857142857143,0.895238095238095
35,neutral,0,53Commons,-90,-90,0,closed,closed,2.78568,4.195735,-73.33429,1.099976,736.968,2,na,yes,degas711,inperson,NaN,1,0.875,0.895238095238095
36,MooreLot,0,MooreLot,90,90,1,open,open,-3.141937,5.88794,67.15604,1.197571,741.5207,1,yes,yes,degas711,inperson,0.333333333333333,0.333333333333333,0.911111111111111,0.895238095238095
37,AllenSt,0,AllenSt,90,90,1,closed,closed,-3.109894,5.994036,65.56406,0.9607544,743.6646,1,yes,yes,degas711,inperson,1,1,0.911111111111111,0.895238095238095
39,PineEntrance,0,PineEntrance,90,90,1,closed,closed,-2.792725,6.882211,54.98521,0.7660522,747.7719,1,yes,yes,degas711,inperson,0.666666666666667,0.666666666666667,0.911111111111111,0.895238095238095
42,neutral,0,PineEntrance,-90,-90,0,open,open,1.494195,7.252672,-75.84329,1.127808,754.8582,2,na,yes,degas711,inperson,NaN,0.666666666666667,0.875,0.895238095238095
43,BakerBerry2nd,0,BakerBerry2nd,-90,-90,1,closed,closed,0.9175456,7.549793,-69.185,1.016541,757.0162,1,yes,yes,degas711,inperson,1,1,0.911111111111111,0.895238095238095
45,AllenSt,0,AllenSt,90,-90,2,closed,closed,1.15052,5.75876,-56.35718,0.8910522,761.5408,3,yes,yes,degas711,inperson,1,1,0.892857142857143,0.895238095238095
46,neutral,0,BakerBerry2nd,90,90,0,open,open,-5.556854,6.670034,65.98207,0.8493652,763.6848,2,na,yes,degas711,inperson,NaN,1,0.875,0.895238095238095
47,RollinsChapel3,0,RollinsChapel3,-90,-90,1,open,open,0.3589783,5.630062,-55.56561,0.9466553,765.9402,1,yes,yes,degas711,inperson,1,1,0.911111111111111,0.895238095238095
48,BakerBerry2nd,0,BakerBerry2nd,-90,90,2,closed,closed,-1.707397,5.367629,42.27654,0.710022,767.8058,3,yes,yes,degas711,inperson,1,1,0.892857142857143,0.895238095238095
49,McLaughlinCluster,0,McLaughlinCluster,90,90,1,open,open,-3.693146,7.391764,55.77125,1.281067,770.2562,1,yes,yes,degas711,inperson,0.666666666666667,0.666666666666667,0.911111111111111,0.895238095238095
50,BakerBerry2nd,0,BakerBerry2nd,-90,-90,1,closed,closed,0.6051781,5.434413,-57.42529,1.113892,772.623,1,yes,yes,degas711,inperson,1,1,0.911111111111111,0.895238095238095
51,RaunerFirst,0,RaunerFirst,-90,-90,1,closed,closed,0.857868,6.043618,-50.73843,1.447876,775.296,1,yes,yes,degas711,inperson,1,1,0.911111111111111,0.895238095238095
54,neutral,0,RollinsChapel3,90,90,0,closed,closed,-1.922852,10.7946,53.13309,1.044312,782.313,2,na,yes,degas711,inperson,NaN,1,0.875,0.895238095238095
55,neutral,0,MooreLot,-90,-90,0,closed,closed,0.03250745,6.833972,-69.57184,0.9050903,784.3595,2,na,yes,degas711,inperson,NaN,0.333333333333333,0.875,0.895238095238095
57,Hop4,0,Hop4,-90,-90,1,open,open,1.005553,7.380651,-65.51111,0.7380371,788.2578,1,yes,yes,degas711,inperson,1,1,0.911111111111111,0.895238095238095
58,neutral,0,Maynard,-90,-90,0,open,open,0.9292173,4.993358,-67.90707,0.9605713,790.4296,2,na,yes,degas711,inperson,NaN,1,0.875,0.895238095238095
59,Zimmerman,0,Zimmerman,90,-90,2,open,open,1.40289,6.646031,-68.77948,0.9329834,792.5736,3,no,no,degas711,inperson,0.666666666666667,0.666666666666667,0.892857142857143,0.895238095238095
60,BakerBerryHistoric2,0,BakerBerryHistoric2,-90,-90,1,closed,closed,1.367083,6.492414,-61.04276,0.9329224,794.8708,1,unsure,unsure,degas711,inperson,1,1,0.911111111111111,0.895238095238095
62,neutral,0,McLaughlinCluster,-90,-90,0,closed,closed,0.2436873,4.311207,-40.05072,1.211243,799.5905,2,na,yes,degas711,inperson,NaN,0.666666666666667,0.875,0.895238095238095
63,Hop2,0,Hop2,-90,-90,1,closed,closed,1.152997,6.142969,-60.4744,0.9188232,801.818,1,yes,yes,degas711,inperson,1,1,0.911111111111111,0.895238095238095
65,RollinsChapel3,0,RollinsChapel3,-90,-90,1,open,open,-1.187958,6.898541,-52.77896,0.9459229,806.663,1,yes,yes,degas711,inperson,1,1,0.911111111111111,0.895238095238095
66,neutral,0,RaunerBackHall,90,90,0,open,open,-3.05545,7.162944,58.29106,1.197449,809.1969,2,na,yes,degas711,inperson,NaN,0.666666666666667,0.875,0.895238095238095
