trialIdx, primeName, targetName, targetSide, condition, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, BakerBerry2nd, BakerBerry2nd, -90, ss, closed, closed, 4.40955, 3.503437, -96.01331, 1.280396, 609.3234
2, NeutralZimmerman, Zimmerman, 90, neutral, open, open, -8.040192, 2.712788, 80.36232, 0.9748535, 616.2107
3, BakerBerryHistoric2, BakerBerryHistoric2, 90, ss, open, open, -9.933929, 5.459198, 71.57887, 1.712463, 622.573
4, Fairbanks, Fairbanks_mirror, -90, mirror, open, open, 2.914904, 1.101576, -64.58527, 1.028076, 627.1788
5, Umplebys, Umplebys, 90, ss, closed, closed, -9.941833, 4.25416, 67.13245, 0.9746094, 630.4367
6, NeutralMooreLot, MooreLot, 90, neutral, open, open, -10.36404, 2.918924, 79.35172, 0.9884033, 633.9307
7, Fairbanks, Fairbanks, 90, ss, closed, closed, -10.47467, 1.210251, 78.91325, 1.378296, 638.7062
8, Zimmerman, Zimmerman_mirror, 90, mirror, open, open, -8.103516, 2.523154, 90.86884, 1.190979, 643.6979
9, Maynard, Maynard_mirror, 90, mirror, closed, closed, -9.65097, 1.736931, 68.817, 1.001953, 647.4567
10, RollinsChapel3, RollinsChapel3, 90, ss, closed, closed, -7.819061, 4.412892, 61.69354, 1.308777, 651.4387
11, Zimmerman, Zimmerman, -90, ss, closed, closed, 2.49635, 1.370169, -43.11966, 1.197266, 654.4735
12, 53Commons, 53Commons_mirror, -90, mirror, closed, open, 2.322563, 1.434505, -69.06686, 1.033508, 657.7066
13, NeutralFairbanks, Fairbanks, -90, neutral, open, open, 3.581859, 0.263239, -79.79852, 1.32312, 663.2239
14, PineBackHall, PineBackHall, 90, ss, closed, closed, -9.437378, 5.999837, 56.28614, 0.8496094, 666.3703
15, RaunerFirst, RaunerFirst, 90, ss, open, closed, -10.55637, 6.533752, 64.05228, 0.8354492, 670.3658
16, Hop2, Hop2, -90, ss, closed, closed, 1.472038, 2.698774, -63.73932, 1.545288, 674.0831
17, Maynard, Maynard, -90, ss, open, open, 3.709258, 3.154873, -79.13132, 1.280762, 677.2713
18, NeutralBakerBerryCharter, BakerBerryCharter, 90, neutral, closed, closed, -10.79388, 5.196682, 48.51927, 1.085754, 680.4007
19, Hop4, Hop4, -90, ss, open, open, 2.577401, 3.017691, -58.89407, 0.765625, 683.5888
20, Hop2, Hop2, -90, ss, closed, closed, 3.144601, 4.684812, -74.7836, 1.057983, 686.9304
21, NeutralHop4, Hop4, 90, neutral, closed, closed, -8.123108, 5.744042, 61.17975, 1.337097, 690.0974
22, NeutralPineEntrance, PineEntrance, 90, neutral, closed, closed, -9.56955, 4.865321, 57.03689, 1.016296, 692.7148
23, Umplebys, Umplebys, 90, ss, closed, closed, -8.98056, 4.221053, 61.51411, 0.779541, 695.4572
24, AllenSt, AllenSt, 90, ss, closed, closed, -10.59277, 2.78275, 69.84158, 1.15564, 698.7431
25, 53Commons, 53Commons, 90, ss, open, open, -11.14877, 2.623688, 71.4328, 0.9472046, 701.2493
26, BakerBerryCharter, BakerBerryCharter_mirror, 90, mirror, closed, closed, -8.898254, 4.054543, 66.3643, 0.7643433, 703.7675
27, PineEntrance, PineEntrance_mirror, 90, mirror, closed, closed, -8.584137, 3.384993, 52.87133, 0.6172485, 706.6404
28, NeutralAllenSt, AllenSt, -90, neutral, open, open, 3.988833, 1.531944, -76.83411, 1.253113, 710.5885
29, RaunerFirst, RaunerFirst, 90, ss, open, closed, -9.187531, 4.206779, 51.72324, 1.100098, 713.4847
30, NeutralMaynard, Maynard, 90, neutral, closed, closed, -9.765381, 0.7191396, 45.82655, 1.308777, 716.5252
31, NeutralPineBackHall, PineBackHall, -90, neutral, open, open, 3.07548, 4.11044, -81.35181, 1.447937, 719.4711
32, MooreLot, MooreLot, -90, ss, closed, closed, 1.204645, 2.0788, -68.62112, 1.197021, 722.8679
33, AllenSt, AllenSt_mirror, -90, mirror, open, open, 1.476177, 3.385055, -58.36691, 1.143372, 726.5171
34, RaunerBackHall, RaunerBackHall, -90, ss, closed, closed, 2.869114, 1.350985, -70.25131, 1.266846, 730.7635
35, McLaughlinCluster, McLaughlinCluster_mirror, -90, mirror, closed, closed, -0.9573059, 0.7961879, -39.9494, 1.218506, 748.1879
36, NeutralRaunerBackHall, RaunerBackHall, 90, neutral, open, open, -8.668152, 1.610131, 72.28036, 1.253418, 751.4209
37, BakerBerryHistoric2, BakerBerryHistoric2_mirror, -90, mirror, closed, closed, 2.212912, 2.840797, -59.69211, 0.9090576, 754.1815
38, MooreLot, MooreLot_mirror, 90, mirror, open, open, -7.909668, 2.946319, 63.13851, 1.441711, 757.1547
39, BakerBerryHistoric2, BakerBerryHistoric2, 90, ss, open, open, -9.019135, 2.446673, 56.89526, 1.155334, 760.2592
40, BakerBerryCharter, BakerBerryCharter, -90, ss, open, closed, -0.2658386, 1.819019, -32.96274, 0.710083, 762.7652
41, RollinsChapel3, RollinsChapel3, 90, ss, closed, closed, -8.409424, 4.104954, 67.56636, 1.169556, 766.246
