trialIdx, primeName, targetName, targetSide, condition, correctResponse, response, roll, pitch, yaw, rt, timestamp
52, NeutralMcLaughlinCluster, McLaughlinCluster, -90, neutral, closed, closed, 1.999409, -0.5760803, -75.10797, 2.380859, 1080.802
53, BakerBerryCharter, BakerBerryCharter, -90, ss, open, closed, 6.598657, 1.096196, -78.54245, 1.851563, 1084.115
54, Neutral53Commons, 53Commons, -90, neutral, closed, closed, 3.199701, -2.08316, -77.78574, 2.64502, 1088.126
55, Hop4, Hop4, -90, ss, open, closed, 3.709039, -2.297455, -76.55832, 1.851563, 1091.523
56, PineBackHall, PineBackHall_mirror, -90, mirror, open, closed, 2.948172, -1.18985, -61.47211, 1.075562, 1094.492
57, Hop4, Hop4_mirror, 90, mirror, closed, closed, -7.42865, -0.27771, 53.77555, 1.851685, 1097.931
58, AllenSt, AllenSt, 90, ss, closed, closed, -5.658722, -3.126221, 53.73383, 1.935059, 1101.871
59, NeutralHop2, Hop2, 90, neutral, open, closed, -5.331146, 3.497269, 69.84689, 2.854126, 1107.51
60, RaunerBackHall, RaunerBackHall, -90, ss, closed, closed, 5.44452, -2.955139, -72.87521, 1.016479, 1110.1
61, NeutralBakerBerry2nd, BakerBerry2nd, 90, neutral, open, closed, -6.431122, 3.11601, 67.91733, 1.517822, 1112.947
62, NeutralRollinsChapel3, RollinsChapel3, -90, neutral, open, open, 3.087848, 0.777853, -75.436, 1.893311, 1116.442
63, McLaughlinCluster, McLaughlinCluster, 90, ss, open, closed, -7.690826, 7.421747, 67.4649, 1.071777, 1119.115
64, Fairbanks, Fairbanks, 90, ss, closed, closed, -7.941833, 2.983942, 71.999, 1.907837, 1122.526
65, McLaughlinCluster, McLaughlinCluster, 90, ss, open, closed, -3.346771, 7.708442, 67.36423, 1.628906, 1125.547
66, MooreLot, MooreLot, -90, ss, closed, closed, 4.485048, -6.967224, -74.47763, 1.155396, 1128.109
67, Hop2, Hop2_mirror, 90, mirror, open, closed, -8.740204, 0.8117192, 60.47515, 1.334839, 1131.128
68, RaunerFirst, RaunerFirst_mirror, -90, mirror, closed, closed, 5.259155, -2.359039, -69.55212, 1.383545, 1133.723
69, PineEntrance, PineEntrance, -90, ss, open, closed, 7.586705, -4.124237, -77.40695, 2.102539, 1137.218
70, Maynard, Maynard, -90, ss, open, open, 5.530819, -1.502441, -77.74484, 1.809937, 1140.434
71, NeutralBakerBerryHistoric2, BakerBerryHistoric2, -90, neutral, closed, closed, 3.348421, -0.6726379, -71.10074, 1.127808, 1168.787
72, Umplebys, Umplebys_mirror, -90, mirror, open, open, 4.926734, 0.007250246, -72.13708, 1.733765, 1171.732
73, BakerBerryHistoric2, BakerBerryHistoric2_mirror, 90, mirror, open, closed, -6.874359, 6.227502, 61.07269, 1.058105, 1174.308
74, RollinsChapel3, RollinsChapel3, -90, ss, open, open, -0.3554382, -3.389709, -72.12262, 1.40625, 1176.98
75, AllenSt, AllenSt, -90, ss, open, open, 4.025485, -4.542511, -72.20422, 1.963623, 1180.127
76, PineBackHall, PineBackHall, -90, ss, open, closed, 6.037806, 1.586887, -81.78076, 1.642822, 1182.967
77, BakerBerryCharter, BakerBerryCharter_mirror, -90, mirror, open, open, 8.016684, -2.505096, -78.37067, 1.837646, 1186.322
78, Zimmerman, Zimmerman, 90, ss, open, open, -10.29071, 2.347078, 71.77084, 1.614868, 1189.079
79, BakerBerry2nd, BakerBerry2nd, 90, ss, open, open, -7.823914, 3.335443, 65.73796, 2.352539, 1192.726
80, NeutralPineBackHall, PineBackHall, 90, neutral, closed, closed, -5.92392, 1.944417, 65.57281, 3.021362, 1198.045
81, NeutralRaunerBackHall, RaunerBackHall, -90, neutral, closed, closed, 6.402112, -7.445129, -69.13739, 1.100098, 1200.746
82, RollinsChapel3, RollinsChapel3_mirror, 90, mirror, closed, closed, -8.455139, -5.019165, 47.52629, 0.807373, 1202.792
83, NeutralBakerBerryCharter, BakerBerryCharter, -90, neutral, open, open, 2.697808, 5.312201, -78.4559, 1.684692, 1205.646
84, McLaughlinCluster, McLaughlinCluster, -90, ss, closed, closed, 1.844973, -3.317108, -71.96295, 1.879639, 1208.751
85, Maynard, Maynard_mirror, -90, mirror, open, open, 3.228385, -3.212402, -67.75156, 1.55896, 1211.605
86, Fairbanks, Fairbanks_mirror, 90, mirror, closed, closed, -9.828094, -0.08834839, 56.70388, 0.9608154, 1213.986
87, NeutralMcLaughlinCluster, McLaughlinCluster, 90, neutral, open, closed, -3.697968, -0.8780518, 42.51632, 2.464355, 1218.093
88, Fairbanks, Fairbanks, -90, ss, open, open, 5.323338, -5.090759, -71.9592, 1.447632, 1221.128
89, BakerBerry2nd, BakerBerry2nd, 90, ss, open, closed, -8.155731, 0.3176229, 61.41262, 1.531494, 1223.857
90, RaunerBackHall, RaunerBackHall_mirror, -90, mirror, closed, closed, 7.508199, -4.159668, -72.2262, 1.26709, 1226.433
91, Maynard, Maynard, 90, ss, closed, closed, -8.889069, 2.286425, 68.47418, 1.601318, 1229.496
92, RaunerBackHall, RaunerBackHall, 90, ss, open, closed, -8.303497, 3.572136, 63.35428, 2.65918, 1233.7
93, Hop4, Hop4, 90, ss, closed, closed, -7.038208, -1.565216, 58.70198, 1.253052, 1236.429
94, Umplebys, Umplebys, -90, ss, open, open, 5.729972, -0.690918, -75.82761, 1.266602, 1240.898
95, MooreLot, MooreLot_mirror, -90, mirror, closed, closed, 2.709625, -3.669556, -40.43677, 2.798462, 1245.228
96, PineEntrance, PineEntrance, 90, ss, closed, open, -5.55191, 8.844766, 65.07672, 1.545288, 1249.697
97, NeutralZimmerman, Zimmerman, -90, neutral, closed, closed, 5.66057, -4.340271, -76.88251, 1.239746, 1252.495
98, 53Commons, 53Commons_mirror, 90, mirror, open, closed, -6.684204, -7.558868, 51.73575, 2.686646, 1256.769
99, RaunerBackHall, RaunerBackHall, 90, ss, open, closed, -15.68799, 2.127439, 67.30765, 2.102417, 1260.389
100, BakerBerryHistoric2, BakerBerryHistoric2, -90, ss, closed, closed, 6.931748, -2.379852, -73.6608, 1.05835, 1263.271
101, PineBackHall, PineBackHall, -90, ss, open, closed, 5.206204, 6.553665, -86.72922, 1.962891, 1267.044
102, PineEntrance, PineEntrance, 90, ss, closed, closed, -14.93158, 1.255717, 68.76879, 1.295044, 1269.606
103, MooreLot, MooreLot, 90, ss, open, closed, -10.8172, -0.1352844, 64.69709, 1.37854, 1272.432
104, Neutral53Commons, 53Commons, 90, neutral, open, open, -10.63303, 1.260459, 69.24773, 1.531494, 1275.328
105, McLaughlinCluster, McLaughlinCluster, -90, ss, closed, closed, 3.781066, -3.010498, -75.52454, 1.420288, 1277.987
106, 53Commons, 53Commons, -90, ss, closed, closed, 3.132071, -5.408691, -61.54501, 1.879395, 1281.063
107, Hop2, Hop2_mirror, -90, mirror, closed, closed, 3.442199, -1.583344, -74.41785, 1.043945, 1301.209
108, BakerBerry2nd, BakerBerry2nd_mirror, -90, mirror, closed, closed, 4.666145, -3.257568, -71.12888, 1.002197, 1303.367
109, NeutralHop2, Hop2, -90, neutral, closed, closed, -0.04302979, -8.62323, -60.47876, 0.8634033, 1305.442
110, NeutralHop4, Hop4, -90, neutral, open, closed, 1.036738, -2.39801, -65.53662, 1.058228, 1307.795
111, NeutralMaynard, Maynard, -90, neutral, open, open, 4.392566, -1.238403, -69.92291, 1.071899, 1310.092
112, NeutralUmplebys, Umplebys, 90, neutral, closed, closed, -6.547455, 1.073227, 70.54607, 1.962646, 1313.266
113, AllenSt, AllenSt_mirror, 90, mirror, closed, closed, -8.242065, -0.7064514, 56.40343, 1.23877, 1315.744
114, RaunerFirst, RaunerFirst, -90, ss, closed, closed, 3.201174, -1.004028, -71.30212, 1.53125, 1318.306
115, McLaughlinCluster, McLaughlinCluster_mirror, 90, mirror, open, closed, -8.413422, 3.51351, 66.76222, 1.016357, 1320.534
116, MooreLot, MooreLot, 90, ss, open, open, -9.277069, 2.163733, 67.38321, 1.53186, 1323.262
117, RaunerFirst, RaunerFirst_mirror, 90, mirror, open, open, -6.714355, -1.348969, 64.60133, 1.781982, 1326.2
118, NeutralAllenSt, AllenSt, 90, neutral, closed, closed, -8.243774, -4.361572, 54.82064, 1.086182, 1328.901
119, NeutralBakerBerry2nd, BakerBerry2nd, -90, neutral, closed, closed, 5.033339, -3.051605, -73.17896, 1.23938, 1331.393
120, BakerBerryCharter, BakerBerryCharter, 90, ss, closed, closed, -9.831543, -1.359711, 63.11238, 0.723999, 1333.384
121, Hop4, Hop4_mirror, -90, mirror, open, closed, 6.190481, -3.570313, -70.561, 1.322754, 1335.973
122, NeutralRaunerFirst, RaunerFirst, 90, neutral, open, open, -8.591919, -0.4996338, 65.16245, 1.226563, 1338.508
123, Hop2, Hop2, 90, ss, open, closed, -8.89325, -0.04510498, 65.33727, 1.280884, 1341.013
124, Zimmerman, Zimmerman, 90, ss, open, closed, -9.169647, -5.740204, 52.77539, 0.9887695, 1343.171
125, RollinsChapel3, RollinsChapel3, -90, ss, open, open, 4.511201, -1.483887, -71.04959, 1.55957, 1346.011
126, PineBackHall, PineBackHall_mirror, 90, mirror, closed, closed, -8.661407, 0.5934253, 57.58944, 1.211304, 1348.364
127, Hop4, Hop4, 90, ss, closed, closed, -3.994904, -3.744812, 46.82494, 1.336914, 1350.842
128, NeutralFairbanks, Fairbanks, 90, neutral, closed, closed, -12.30194, -6.263062, 56.51875, 0.9741211, 1353.404
129, Umplebys, Umplebys, -90, ss, open, open, 6.472238, -5.600037, -72.21298, 1.53186, 1356.105
130, NeutralMooreLot, MooreLot, -90, neutral, closed, open, 2.236789, -5.91217, -53.02377, 2.408325, 1359.641
131, NeutralBakerBerryHistoric2, BakerBerryHistoric2, 90, neutral, open, closed, -8.143616, -1.573486, 63.02509, 1.990723, 1362.996
132, Fairbanks, Fairbanks, -90, ss, open, open, 5.076368, -8.685791, -65.89575, 1.489502, 1365.558
133, 53Commons, 53Commons, -90, ss, closed, closed, 4.893133, -6.395386, -66.61786, 1.545166, 1368.05
134, Hop2, Hop2, 90, ss, open, closed, -12.49762, 0.6591145, 64.76144, 1.169312, 1370.96
135, AllenSt, AllenSt, -90, ss, open, open, 6.309989, -3.207397, -73.3299, 1.114014, 1373.076
136, NeutralPineEntrance, PineEntrance, -90, neutral, open, closed, 8.777728, -1.559418, -76.67783, 1.72644, 1376.042
137, NeutralRollinsChapel3, RollinsChapel3, 90, neutral, closed, closed, -12.05893, -0.6564941, 55.64113, 1.25293, 1378.297
138, Maynard, Maynard, 90, ss, closed, open, -12.2103, -2.942108, 47.49351, 1.587646, 1381.332
139, BakerBerryCharter, BakerBerryCharter, 90, ss, closed, closed, -11.95032, 1.007902, 54.76117, 0.9802246, 1383.699
140, RaunerFirst, RaunerFirst, -90, ss, closed, closed, 9.008693, -7.867218, -76.08148, 1.295166, 1386.372
141, PineEntrance, PineEntrance_mirror, -90, mirror, open, closed, 5.080854, -4.231018, -67.38034, 1.322876, 1389.63
142, BakerBerryHistoric2, BakerBerryHistoric2, -90, ss, closed, closed, 6.52479, -3.004883, -65.60794, 1.225464, 1392.359
143, Umplebys, Umplebys_mirror, 90, mirror, closed, closed, -11.6102, -1.28363, 57.62899, 0.8769531, 1394.155
144, Zimmerman, Zimmerman_mirror, -90, mirror, closed, closed, 5.363653, -6.531189, -58.47855, 0.737793, 1395.825
